seriescode,unit,StatVar
DC.DAC.NLDL.CD,dcs:USDollar,worldBank/DC_DAC_NLDL_CD
DC.DAC.NORL.CD,dcs:USDollar,worldBank/DC_DAC_NORL_CD
DC.DAC.NZLL.CD,dcs:USDollar,worldBank/DC_DAC_NZLL_CD
DC.DAC.POLL.CD,dcs:USDollar,worldBank/DC_DAC_POLL_CD
DC.DAC.PRTL.CD,dcs:USDollar,worldBank/DC_DAC_PRTL_CD
DC.DAC.SVKL.CD,dcs:USDollar,worldBank/DC_DAC_SVKL_CD
DC.DAC.SVNL.CD,dcs:USDollar,worldBank/DC_DAC_SVNL_CD
DC.DAC.SWEL.CD,dcs:USDollar,worldBank/DC_DAC_SWEL_CD
DC.DAC.TOTL.CD,dcs:USDollar,worldBank/DC_DAC_TOTL_CD
DC.DAC.USAL.CD,dcs:USDollar,worldBank/DC_DAC_USAL_CD
DC.ODA.COMM.SA.CD,dcs:USDollar,worldBank/DC_ODA_COMM_SA_CD
DC.ODA.TLDC.CD,dcs:USDollar,worldBank/DC_ODA_TLDC_CD
DC.ODA.TLDC.GN.ZS,dcs:Percent,worldBank/DC_ODA_TLDC_GN_ZS
DC.ODA.TOTL.CD,dcs:USDollar,worldBank/DC_ODA_TOTL_CD
DC.ODA.TOTL.GN.ZS,dcs:Percent,worldBank/DC_ODA_TOTL_GN_ZS
DC.ODA.TOTL.KD,,worldBank/DC_ODA_TOTL_KD
DT.DOD.DECT.CD,dcs:USDollar,worldBank/DT_DOD_DECT_CD
DT.DOD.DECT.GN.ZS,dcs:Percent,worldBank/DT_DOD_DECT_GN_ZS
DT.DOD.DIMF.CD,dcs:USDollar,worldBank/DT_DOD_DIMF_CD
DT.DOD.DLXF.CD,dcs:USDollar,worldBank/DT_DOD_DLXF_CD
DT.DOD.DPNG.CD,dcs:USDollar,worldBank/DT_DOD_DPNG_CD
DT.DOD.DPPG.CD,dcs:USDollar,worldBank/DT_DOD_DPPG_CD
DT.DOD.DSTC.CD,dcs:USDollar,worldBank/DT_DOD_DSTC_CD
DT.DOD.DSTC.IR.ZS,dcs:Percent,worldBank/DT_DOD_DSTC_IR_ZS
DT.DOD.DSTC.XP.ZS,dcs:Percent,worldBank/DT_DOD_DSTC_XP_ZS
DT.DOD.DSTC.ZS,dcs:Percent,worldBank/DT_DOD_DSTC_ZS
DT.DOD.MIBR.CD,dcs:USDollar,worldBank/DT_DOD_MIBR_CD
DT.DOD.MIDA.CD,dcs:USDollar,worldBank/DT_DOD_MIDA_CD
DT.DOD.MWBG.CD,dcs:USDollar,worldBank/DT_DOD_MWBG_CD
DT.NFL.BLAT.CD,dcs:USDollar,worldBank/DT_NFL_BLAT_CD
DT.NFL.BOND.CD,dcs:USDollar,worldBank/DT_NFL_BOND_CD
DT.NFL.DPNG.CD,dcs:USDollar,worldBank/DT_NFL_DPNG_CD
DT.NFL.FAOG.CD,dcs:USDollar,worldBank/DT_NFL_FAOG_CD
DT.NFL.IAEA.CD,dcs:USDollar,worldBank/DT_NFL_IAEA_CD
DT.NFL.IFAD.CD,dcs:USDollar,worldBank/DT_NFL_IFAD_CD
DT.NFL.ILOG.CD,dcs:USDollar,worldBank/DT_NFL_ILOG_CD
DT.NFL.IMFC.CD,dcs:USDollar,worldBank/DT_NFL_IMFC_CD
DT.NFL.IMFN.CD,dcs:USDollar,worldBank/DT_NFL_IMFN_CD
DT.NFL.MIBR.CD,dcs:USDollar,worldBank/DT_NFL_MIBR_CD
DT.NFL.MIDA.CD,dcs:USDollar,worldBank/DT_NFL_MIDA_CD
DT.NFL.MLAT.CD,dcs:USDollar,worldBank/DT_NFL_MLAT_CD
DT.NFL.MOTH.CD,dcs:USDollar,worldBank/DT_NFL_MOTH_CD
DT.NFL.NIFC.CD,dcs:USDollar,worldBank/DT_NFL_NIFC_CD
DT.NFL.OFFT.CD,dcs:USDollar,worldBank/DT_NFL_OFFT_CD
DT.NFL.PBND.CD,dcs:USDollar,worldBank/DT_NFL_PBND_CD
DT.NFL.PCBK.CD,dcs:USDollar,worldBank/DT_NFL_PCBK_CD
DT.NFL.PCBO.CD,dcs:USDollar,worldBank/DT_NFL_PCBO_CD
DT.NFL.PNGB.CD,dcs:USDollar,worldBank/DT_NFL_PNGB_CD
DT.NFL.PNGC.CD,dcs:USDollar,worldBank/DT_NFL_PNGC_CD
DT.NFL.PROP.CD,dcs:USDollar,worldBank/DT_NFL_PROP_CD
DT.NFL.PRVT.CD,dcs:USDollar,worldBank/DT_NFL_PRVT_CD
DT.NFL.RDBC.CD,dcs:USDollar,worldBank/DT_NFL_RDBC_CD
DT.NFL.RDBN.CD,dcs:USDollar,worldBank/DT_NFL_RDBN_CD
DT.NFL.UNAI.CD,dcs:USDollar,worldBank/DT_NFL_UNAI_CD
DT.NFL.UNCF.CD,dcs:USDollar,worldBank/DT_NFL_UNCF_CD
DT.NFL.UNCR.CD,dcs:USDollar,worldBank/DT_NFL_UNCR_CD
DT.NFL.UNDP.CD,dcs:USDollar,worldBank/DT_NFL_UNDP_CD
DT.NFL.UNFP.CD,dcs:USDollar,worldBank/DT_NFL_UNFP_CD
DT.NFL.UNPB.CD,dcs:USDollar,worldBank/DT_NFL_UNPB_CD
DT.NFL.UNRW.CD,dcs:USDollar,worldBank/DT_NFL_UNRW_CD
DT.NFL.UNTA.CD,dcs:USDollar,worldBank/DT_NFL_UNTA_CD
DT.NFL.WFPG.CD,dcs:USDollar,worldBank/DT_NFL_WFPG_CD
DT.NFL.WHOL.CD,dcs:USDollar,worldBank/DT_NFL_WHOL_CD
DT.ODA.ALLD.CD,dcs:USDollar,worldBank/DT_ODA_ALLD_CD
DT.ODA.ALLD.KD,,worldBank/DT_ODA_ALLD_KD
DT.ODA.OATL.CD,dcs:USDollar,worldBank/DT_ODA_OATL_CD
DT.ODA.OATL.KD,,worldBank/DT_ODA_OATL_KD
DT.ODA.ODAT.CD,dcs:USDollar,worldBank/DT_ODA_ODAT_CD
DT.ODA.ODAT.CD1,dcs:USDollar,worldBank/DT_ODA_ODAT_CD1
DT.ODA.ODAT.GI.ZS,dcs:Percent,worldBank/DT_ODA_ODAT_GI_ZS
DT.ODA.ODAT.GN.ZS,dcs:Percent,worldBank/DT_ODA_ODAT_GN_ZS
DT.ODA.ODAT.KD,,worldBank/DT_ODA_ODAT_KD
DT.ODA.ODAT.MP.ZS,dcs:Percent,worldBank/DT_ODA_ODAT_MP_ZS
DT.ODA.ODAT.PC.ZS,dcs:Percent,worldBank/DT_ODA_ODAT_PC_ZS
DT.ODA.ODAT.XP.ZS,dcs:Percent,worldBank/DT_ODA_ODAT_XP_ZS
DT.TDS.DECT.CD,dcs:USDollar,worldBank/DT_TDS_DECT_CD
DT.TDS.DECT.EX.ZS,dcs:Percent,worldBank/DT_TDS_DECT_EX_ZS
DT.TDS.DECT.GN.ZS,dcs:Percent,worldBank/DT_TDS_DECT_GN_ZS
DT.TDS.DIMF.CD,dcs:USDollar,worldBank/DT_TDS_DIMF_CD
DT.TDS.DPPF.XP.ZS,dcs:Percent,worldBank/DT_TDS_DPPF_XP_ZS
DT.TDS.DPPG.CD,dcs:USDollar,worldBank/DT_TDS_DPPG_CD
DT.TDS.DPPG.GN.ZS,dcs:Percent,worldBank/DT_TDS_DPPG_GN_ZS
DT.TDS.DPPG.XP.ZS,dcs:Percent,worldBank/DT_TDS_DPPG_XP_ZS
DT.TDS.MLAT.CD,dcs:USDollar,worldBank/DT_TDS_MLAT_CD
DT.TDS.MLAT.PG.ZS,dcs:Percent,worldBank/DT_TDS_MLAT_PG_ZS
EA.PRD.AGRI.KD,,worldBank/EA_PRD_AGRI_KD
EF.EFM.OVRL.XD,,worldBank/EF_EFM_OVRL_XD
EF.EFM.RANK.XD,,worldBank/EF_EFM_RANK_XD
EG.CFT.ACCS.RU.ZS,dcs:Percent,worldBank/EG_CFT_ACCS_RU_ZS
EG.CFT.ACCS.UR.ZS,dcs:Percent,worldBank/EG_CFT_ACCS_UR_ZS
EG.CFT.ACCS.ZS,dcs:Percent,worldBank/EG_CFT_ACCS_ZS
EG.EGY.PRIM.PP.KD,,worldBank/EG_EGY_PRIM_PP_KD
EG.ELC.ACCS.RU.ZS,dcs:Percent,worldBank/EG_ELC_ACCS_RU_ZS
EG.ELC.ACCS.UR.ZS,dcs:Percent,worldBank/EG_ELC_ACCS_UR_ZS
EG.ELC.ACCS.ZS,dcs:Percent,worldBank/EG_ELC_ACCS_ZS
EG.FEC.RNEW.ZS,dcs:Percent,worldBank/EG_FEC_RNEW_ZS
EN.ATM.CO2E.EG.ZS,dcs:Percent,worldBank/EN_ATM_CO2E_EG_ZS
EN.ATM.CO2E.GF.KT,,worldBank/EN_ATM_CO2E_GF_KT
EN.ATM.CO2E.GF.ZS,dcs:Percent,worldBank/EN_ATM_CO2E_GF_ZS
EN.ATM.CO2E.LF.KT,,worldBank/EN_ATM_CO2E_LF_KT
EN.ATM.CO2E.LF.ZS,dcs:Percent,worldBank/EN_ATM_CO2E_LF_ZS
EN.ATM.CO2E.SF.KT,,worldBank/EN_ATM_CO2E_SF_KT
EN.ATM.CO2E.SF.ZS,dcs:Percent,worldBank/EN_ATM_CO2E_SF_ZS
EN.ATM.GHGO.KT.CE,,worldBank/EN_ATM_GHGO_KT_CE
EN.ATM.GHGO.ZG,,worldBank/EN_ATM_GHGO_ZG
EN.ATM.GHGT.ZG,,worldBank/EN_ATM_GHGT_ZG
EN.ATM.HFCG.KT.CE,,worldBank/EN_ATM_HFCG_KT_CE
EN.ATM.METH.AG.ZS,dcs:Percent,worldBank/EN_ATM_METH_AG_ZS
EN.ATM.METH.EG.ZS,dcs:Percent,worldBank/EN_ATM_METH_EG_ZS
EN.ATM.METH.ZG,,worldBank/EN_ATM_METH_ZG
EN.ATM.NOXE.AG.ZS,dcs:Percent,worldBank/EN_ATM_NOXE_AG_ZS
EN.ATM.NOXE.EG.ZS,dcs:Percent,worldBank/EN_ATM_NOXE_EG_ZS
EN.ATM.NOXE.ZG,,worldBank/EN_ATM_NOXE_ZG
EN.ATM.PFCG.KT.CE,,worldBank/EN_ATM_PFCG_KT_CE
EN.ATM.PM25.MC.M3,,worldBank/EN_ATM_PM25_MC_M3
EN.ATM.PM25.MC.T1.ZS,dcs:Percent,worldBank/EN_ATM_PM25_MC_T1_ZS
EN.ATM.PM25.MC.T2.ZS,dcs:Percent,worldBank/EN_ATM_PM25_MC_T2_ZS
EN.ATM.PM25.MC.T3.ZS,dcs:Percent,worldBank/EN_ATM_PM25_MC_T3_ZS
EN.ATM.PM25.MC.ZS,dcs:Percent,worldBank/EN_ATM_PM25_MC_ZS
EN.ATM.SF6G.KT.CE,,worldBank/EN_ATM_SF6G_KT_CE
EN.BIR.THRD.NO,,worldBank/EN_BIR_THRD_NO
EN.CLC.CDDY.XD,dcs:Celsius,worldBank/EN_CLC_CDDY_XD
EN.CLC.CSTP.ZS,,worldBank/EN_CLC_CSTP_ZS
EN.CLC.GHGR.MT.CE,,worldBank/EN_CLC_GHGR_MT_CE
EN.CLC.HDDY.XD,dcs:Celsius,worldBank/EN_CLC_HDDY_XD
EN.CLC.HEAT.XD,,worldBank/EN_CLC_HEAT_XD
EN.CLC.SPEI.XD,,worldBank/EN_CLC_SPEI_XD
EN.FSH.THRD.NO,,worldBank/EN_FSH_THRD_NO
EN.HPT.THRD.NO,,worldBank/EN_HPT_THRD_NO
EN.LND.LTMP.DC,dcs:Celsius,worldBank/EN_LND_LTMP_DC
EN.MAM.THRD.NO,,worldBank/EN_MAM_THRD_NO
EN.POP.DNST,,worldBank/EN_POP_DNST
EN.POP.EL5M.RU.ZS,dcs:Percent,worldBank/EN_POP_EL5M_RU_ZS
EN.POP.EL5M.UR.ZS,dcs:Percent,worldBank/EN_POP_EL5M_UR_ZS
EN.POP.EL5M.ZS,dcs:Percent,worldBank/EN_POP_EL5M_ZS
EN.POP.SLUM.UR.ZS,dcs:Percent,worldBank/EN_POP_SLUM_UR_ZS
EN.URB.LCTY,,worldBank/EN_URB_LCTY
EN.URB.LCTY.UR.ZS,dcs:Percent,worldBank/EN_URB_LCTY_UR_ZS
EN.URB.MCTY,,worldBank/EN_URB_MCTY
EN.URB.MCTY.TL.ZS,dcs:Percent,worldBank/EN_URB_MCTY_TL_ZS
ENF.CONT.COEN.ATFE.PR,,worldBank/ENF_CONT_COEN_ATFE_PR
ENF.CONT.COEN.COST.ZS,dcs:Percent,worldBank/ENF_CONT_COEN_COST_ZS
ENF.CONT.COEN.COST.ZS.DFRN,dcs:Percent,worldBank/ENF_CONT_COEN_COST_ZS_DFRN
ENF.CONT.COEN.CSMG,,worldBank/ENF_CONT_COEN_CSMG
ENF.CONT.COEN.CTAU,,worldBank/ENF_CONT_COEN_CTAU
ENF.CONT.COEN.CTFE.PR,,worldBank/ENF_CONT_COEN_CTFE_PR
ENF.CONT.COEN.CTSP.DB1719,,worldBank/ENF_CONT_COEN_CTSP_DB1719
ENF.CONT.COEN.DB0415.DFRN,,worldBank/ENF_CONT_COEN_DB0415_DFRN
ENF.CONT.COEN.DB1719.DFRN,,worldBank/ENF_CONT_COEN_DB1719_DFRN
ENF.CONT.COEN.ENFE.PR,,worldBank/ENF_CONT_COEN_ENFE_PR
EP.PMP.DESL.CD,dcs:USDollar,worldBank/EP_PMP_DESL_CD
EP.PMP.SGAS.CD,dcs:USDollar,worldBank/EP_PMP_SGAS_CD
ER.FSH.AQUA.MT,,worldBank/ER_FSH_AQUA_MT
ER.FSH.CAPT.MT,,worldBank/ER_FSH_CAPT_MT
ER.FSH.PROD.MT,,worldBank/ER_FSH_PROD_MT
ER.FST.DFST.ZG,,worldBank/ER_FST_DFST_ZG
ER.GDP.FWTL.M3.KD,,worldBank/ER_GDP_FWTL_M3_KD
ER.H2O.FWAG.ZS,dcs:Percent,worldBank/ER_H2O_FWAG_ZS
ER.H2O.FWDM.ZS,dcs:Percent,worldBank/ER_H2O_FWDM_ZS
ER.H2O.FWIN.ZS,dcs:Percent,worldBank/ER_H2O_FWIN_ZS
ER.H2O.FWST.ZS,dcs:Percent,worldBank/ER_H2O_FWST_ZS
ER.H2O.FWTL.K3,,worldBank/ER_H2O_FWTL_K3
ER.H2O.FWTL.ZS,dcs:Percent,worldBank/ER_H2O_FWTL_ZS
ER.H2O.INTR.K3,,worldBank/ER_H2O_INTR_K3
ER.H2O.INTR.PC,,worldBank/ER_H2O_INTR_PC
FB.AST.NPER.ZS,dcs:Percent,worldBank/FB_AST_NPER_ZS
FB.ATM.TOTL.P5,,worldBank/FB_ATM_TOTL_P5
FB.BNK.CAPA.ZS,dcs:Percent,worldBank/FB_BNK_CAPA_ZS
FB.CBK.BRCH.P5,,worldBank/FB_CBK_BRCH_P5
FB.CBK.BRWR.P3,,worldBank/FB_CBK_BRWR_P3
FB.CBK.DPTR.P3,,worldBank/FB_CBK_DPTR_P3
FD.AST.PRVT.GD.ZS,dcs:Percent,worldBank/FD_AST_PRVT_GD_ZS
FD.RES.LIQU.AS.ZS,dcs:Percent,worldBank/FD_RES_LIQU_AS_ZS
FI.RES.TOTL.CD,dcs:USDollar,worldBank/FI_RES_TOTL_CD
FI.RES.TOTL.DT.ZS,dcs:Percent,worldBank/FI_RES_TOTL_DT_ZS
FI.RES.TOTL.MO,,worldBank/FI_RES_TOTL_MO
FI.RES.XGLD.CD,dcs:USDollar,worldBank/FI_RES_XGLD_CD
fin1.t.d,,worldBank/fin1_t_d
fin1.t.d.1,,worldBank/fin1_t_d_1
fin1.t.d.11,,worldBank/fin1_t_d_11
fin1.t.d.12,,worldBank/fin1_t_d_12
fin1.t.d.2,,worldBank/fin1_t_d_2
fin1.t.d.3,,worldBank/fin1_t_d_3
fin1.t.d.4,,worldBank/fin1_t_d_4
fin1.t.d.5,,worldBank/fin1_t_d_5
fin1.t.d.6,,worldBank/fin1_t_d_6
fin1.t.d.7,,worldBank/fin1_t_d_7
fin1.t.d.8,,worldBank/fin1_t_d_8
fin14a.t.d,,worldBank/fin14a_t_d
fin14a.t.d.1,,worldBank/fin14a_t_d_1
fin14a.t.d.2,,worldBank/fin14a_t_d_2
fin14b.t.d,,worldBank/fin14b_t_d
fin14b.t.d.1,,worldBank/fin14b_t_d_1
fin14b.t.d.2,,worldBank/fin14b_t_d_2
fin15.t.d.2017,,worldBank/fin15_t_d_2017
fin15.t.d.2017.1,,worldBank/fin15_t_d_2017_1
fin15.t.d.2017.2,,worldBank/fin15_t_d_2017_2
fin16.t.d,,worldBank/fin16_t_d
fin16.t.d.1,,worldBank/fin16_t_d_1
fin16.t.d.2,,worldBank/fin16_t_d_2
fin17a.t.d,,worldBank/fin17a_t_d
fin17a.t.d.1,,worldBank/fin17a_t_d_1
fin17a.t.d.11,,worldBank/fin17a_t_d_11
fin17a.t.d.12,,worldBank/fin17a_t_d_12
fin17a.t.d.2,,worldBank/fin17a_t_d_2
fin17a.t.d.3,,worldBank/fin17a_t_d_3
fin17a.t.d.4,,worldBank/fin17a_t_d_4
fin17a.t.d.5,,worldBank/fin17a_t_d_5
fin17a.t.d.6,,worldBank/fin17a_t_d_6
fin17a.t.d.7,,worldBank/fin17a_t_d_7
fin17a.t.d.8,,worldBank/fin17a_t_d_8
fin17b.t.d,,worldBank/fin17b_t_d
fin17b.t.d.1,,worldBank/fin17b_t_d_1
fin17b.t.d.2,,worldBank/fin17b_t_d_2
fin2.7.t.d,,worldBank/fin2_7_t_d
fin2.7.t.d.1,,worldBank/fin2_7_t_d_1
fin2.7.t.d.11,,worldBank/fin2_7_t_d_11
fin2.7.t.d.12,,worldBank/fin2_7_t_d_12
fin2.7.t.d.2,,worldBank/fin2_7_t_d_2
fin2.7.t.d.3,,worldBank/fin2_7_t_d_3
fin2.7.t.d.4,,worldBank/fin2_7_t_d_4
fin2.7.t.d.5,,worldBank/fin2_7_t_d_5
fin2.7.t.d.6,,worldBank/fin2_7_t_d_6
fin2.7.t.d.7,,worldBank/fin2_7_t_d_7
fin2.7.t.d.8,,worldBank/fin2_7_t_d_8
fin2.t.d,,worldBank/fin2_t_d
fin2.t.d.1,,worldBank/fin2_t_d_1
fin2.t.d.11,,worldBank/fin2_t_d_11
fin2.t.d.12,,worldBank/fin2_t_d_12
fin2.t.d.2,,worldBank/fin2_t_d_2
fin2.t.d.3,,worldBank/fin2_t_d_3
fin2.t.d.4,,worldBank/fin2_t_d_4
fin2.t.d.5,,worldBank/fin2_t_d_5
fin2.t.d.6,,worldBank/fin2_t_d_6
fin2.t.d.7,,worldBank/fin2_t_d_7
fin2.t.d.8,,worldBank/fin2_t_d_8
fin20.t.d,,worldBank/fin20_t_d
fin20.t.d.1,,worldBank/fin20_t_d_1
fin20.t.d.2,,worldBank/fin20_t_d_2
fin21.t.d.2017,,worldBank/fin21_t_d_2017
fin21.t.d.2017.1,,worldBank/fin21_t_d_2017_1
fin21.t.d.2017.2,,worldBank/fin21_t_d_2017_2
fin21b.2014,,worldBank/fin21b_2014
fin21b.2014.1,,worldBank/fin21b_2014_1
fin21b.2014.2,,worldBank/fin21b_2014_2
fin22a.c.t.d,,worldBank/fin22a_c_t_d
fin22a.c.t.d.1,,worldBank/fin22a_c_t_d_1
fin22a.c.t.d.11,,worldBank/fin22a_c_t_d_11
fin22a.c.t.d.12,,worldBank/fin22a_c_t_d_12
fin22a.c.t.d.2,,worldBank/fin22a_c_t_d_2
fin22a.c.t.d.3,,worldBank/fin22a_c_t_d_3
fin22a.c.t.d.4,,worldBank/fin22a_c_t_d_4
fin22a.c.t.d.5,,worldBank/fin22a_c_t_d_5
fin22a.c.t.d.6,,worldBank/fin22a_c_t_d_6
fin22a.c.t.d.7,,worldBank/fin22a_c_t_d_7
fin22a.c.t.d.8,,worldBank/fin22a_c_t_d_8
fin22b.t.d,,worldBank/fin22b_t_d
fin22b.t.d.1,,worldBank/fin22b_t_d_1
fin22b.t.d.11,,worldBank/fin22b_t_d_11
fin22b.t.d.12,,worldBank/fin22b_t_d_12
fin22b.t.d.2,,worldBank/fin22b_t_d_2
fin22b.t.d.3,,worldBank/fin22b_t_d_3
fin22b.t.d.4,,worldBank/fin22b_t_d_4
fin22b.t.d.5,,worldBank/fin22b_t_d_5
fin22b.t.d.6,,worldBank/fin22b_t_d_6
fin22b.t.d.7,,worldBank/fin22b_t_d_7
fin22b.t.d.8,,worldBank/fin22b_t_d_8
fin26.28.t.d,,worldBank/fin26_28_t_d
fin26.28.t.d.1,,worldBank/fin26_28_t_d_1
fin26.28.t.d.2,,worldBank/fin26_28_t_d_2
fin26.t.d,,worldBank/fin26_t_d
fin26.t.d.1,,worldBank/fin26_t_d_1
fin26.t.d.2,,worldBank/fin26_t_d_2
fin28.t.d,,worldBank/fin28_t_d
fin28.t.d.1,,worldBank/fin28_t_d_1
fin28.t.d.2,,worldBank/fin28_t_d_2
fin30.t.d,,worldBank/fin30_t_d
fin30.t.d.1,,worldBank/fin30_t_d_1
fin30.t.d.2,,worldBank/fin30_t_d_2
fin37.38.t.d,,worldBank/fin37_38_t_d
fin37.38.t.d.1,,worldBank/fin37_38_t_d_1
fin37.38.t.d.2,,worldBank/fin37_38_t_d_2
fin37.t.d,,worldBank/fin37_t_d
fin37.t.d.1,,worldBank/fin37_t_d_1
fin37.t.d.2,,worldBank/fin37_t_d_2
fin38.t.d,,worldBank/fin38_t_d
fin38.t.d.1,,worldBank/fin38_t_d_1
fin38.t.d.2,,worldBank/fin38_t_d_2
fin42.t.d,,worldBank/fin42_t_d
fin42.t.d.1,,worldBank/fin42_t_d_1
fin42.t.d.2,,worldBank/fin42_t_d_2
fin7.t.d,,worldBank/fin7_t_d
fin7.t.d.1,,worldBank/fin7_t_d_1
fin7.t.d.11,,worldBank/fin7_t_d_11
fin7.t.d.12,,worldBank/fin7_t_d_12
fin7.t.d.2,,worldBank/fin7_t_d_2
fin7.t.d.3,,worldBank/fin7_t_d_3
fin7.t.d.4,,worldBank/fin7_t_d_4
fin7.t.d.5,,worldBank/fin7_t_d_5
fin7.t.d.6,,worldBank/fin7_t_d_6
fin7.t.d.7,,worldBank/fin7_t_d_7
fin7.t.d.8,,worldBank/fin7_t_d_8
fin9N.10N.t.d,,worldBank/fin9N_10N_t_d
fin9N.10N.t.d.1,,worldBank/fin9N_10N_t_d_1
fin9N.10N.t.d.2,,worldBank/fin9N_10N_t_d_2
fing2p.t.d,,worldBank/fing2p_t_d
fing2p.t.d.1,,worldBank/fing2p_t_d_1
fing2p.t.d.2,,worldBank/fing2p_t_d_2
FM.AST.CGOV.ZG.M3,,worldBank/FM_AST_CGOV_ZG_M3
FM.AST.DOMO.ZG.M3,,worldBank/FM_AST_DOMO_ZG_M3
FM.AST.DOMS.CN,,worldBank/FM_AST_DOMS_CN
FM.AST.NFRG.CN,,worldBank/FM_AST_NFRG_CN
FM.AST.PRVT.GD.ZS,dcs:Percent,worldBank/FM_AST_PRVT_GD_ZS
FM.AST.PRVT.ZG.M3,,worldBank/FM_AST_PRVT_ZG_M3
FM.LBL.BMNY.CN,,worldBank/FM_LBL_BMNY_CN
FM.LBL.BMNY.GD.ZS,dcs:Percent,worldBank/FM_LBL_BMNY_GD_ZS
FM.LBL.BMNY.IR.ZS,dcs:Percent,worldBank/FM_LBL_BMNY_IR_ZS
FM.LBL.BMNY.ZG,,worldBank/FM_LBL_BMNY_ZG
FP.CPI.TOTL,,worldBank/FP_CPI_TOTL
FP.CPI.TOTL.ZG,,worldBank/FP_CPI_TOTL_ZG
FP.WPI.TOTL,,worldBank/FP_WPI_TOTL
FR.INR.DPST,dcs:Percent,worldBank/FR_INR_DPST
FR.INR.LEND,dcs:Percent,worldBank/FR_INR_LEND
FR.INR.LNDP,,worldBank/FR_INR_LNDP
FR.INR.RINR,dcs:Percent,worldBank/FR_INR_RINR
FR.INR.RISK,,worldBank/FR_INR_RISK
FS.AST.CGOV.GD.ZS,dcs:Percent,worldBank/FS_AST_CGOV_GD_ZS
FS.AST.DOMO.GD.ZS,dcs:Percent,worldBank/FS_AST_DOMO_GD_ZS
FS.AST.DOMS.GD.ZS,dcs:Percent,worldBank/FS_AST_DOMS_GD_ZS
FS.AST.PRVT.GD.ZS,dcs:Percent,worldBank/FS_AST_PRVT_GD_ZS
FX.OWN.TOTL.40.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_40_ZS
FX.OWN.TOTL.60.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_60_ZS
FX.OWN.TOTL.FE.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_FE_ZS
FX.OWN.TOTL.MA.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_MA_ZS
FX.OWN.TOTL.OL.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_OL_ZS
FX.OWN.TOTL.PL.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_PL_ZS
FX.OWN.TOTL.SO.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_SO_ZS
FX.OWN.TOTL.YG.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_YG_ZS
FX.OWN.TOTL.ZS,dcs:Percent,worldBank/FX_OWN_TOTL_ZS
g20.made.t.d,,worldBank/g20_made_t_d
g20.made.t.d.1,,worldBank/g20_made_t_d_1
g20.made.t.d.2,,worldBank/g20_made_t_d_2
g20.receive.t.d,,worldBank/g20_receive_t_d
g20.receive.t.d.1,,worldBank/g20_receive_t_d_1
g20.receive.t.d.2,,worldBank/g20_receive_t_d_2
g20.t.d,,worldBank/g20_t_d
g20.t.d.1,,worldBank/g20_t_d_1
g20.t.d.2,,worldBank/g20_t_d_2
GB.XPD.RSDV.GD.ZS,dcs:Percent,worldBank/GB_XPD_RSDV_GD_ZS
GC.AST.TOTL.CN,,worldBank/GC_AST_TOTL_CN
GC.AST.TOTL.GD.ZS,dcs:Percent,worldBank/GC_AST_TOTL_GD_ZS
GC.DOD.TOTL.CN,,worldBank/GC_DOD_TOTL_CN
GC.DOD.TOTL.GD.ZS,dcs:Percent,worldBank/GC_DOD_TOTL_GD_ZS
GC.LBL.TOTL.CN,,worldBank/GC_LBL_TOTL_CN
GC.LBL.TOTL.GD.ZS,dcs:Percent,worldBank/GC_LBL_TOTL_GD_ZS
GC.NFN.TOTL.CN,,worldBank/GC_NFN_TOTL_CN
GC.NFN.TOTL.GD.ZS,dcs:Percent,worldBank/GC_NFN_TOTL_GD_ZS
GC.NLD.TOTL.CN,,worldBank/GC_NLD_TOTL_CN
GC.NLD.TOTL.GD.ZS,dcs:Percent,worldBank/GC_NLD_TOTL_GD_ZS
GC.REV.GOTR.CN,,worldBank/GC_REV_GOTR_CN
GC.REV.GOTR.ZS,dcs:Percent,worldBank/GC_REV_GOTR_ZS
GC.REV.SOCL.CN,,worldBank/GC_REV_SOCL_CN
GC.REV.SOCL.ZS,dcs:Percent,worldBank/GC_REV_SOCL_ZS
GC.REV.XGRT.CN,,worldBank/GC_REV_XGRT_CN
GC.REV.XGRT.GD.ZS,dcs:Percent,worldBank/GC_REV_XGRT_GD_ZS
GC.TAX.EXPT.CN,,worldBank/GC_TAX_EXPT_CN
GC.TAX.EXPT.ZS,dcs:Percent,worldBank/GC_TAX_EXPT_ZS
GC.TAX.GSRV.CN,,worldBank/GC_TAX_GSRV_CN
GC.TAX.GSRV.RV.ZS,dcs:Percent,worldBank/GC_TAX_GSRV_RV_ZS
GC.TAX.GSRV.VA.ZS,dcs:Percent,worldBank/GC_TAX_GSRV_VA_ZS
GC.TAX.IMPT.CN,,worldBank/GC_TAX_IMPT_CN
GC.TAX.IMPT.ZS,dcs:Percent,worldBank/GC_TAX_IMPT_ZS
GC.TAX.INTT.CN,,worldBank/GC_TAX_INTT_CN
GC.TAX.INTT.RV.ZS,dcs:Percent,worldBank/GC_TAX_INTT_RV_ZS
