ApplNo	ProductNo	MarketingStatusID	TECode
020475	002	1	AB
020478	001	1	AN
020479	001	1	AA
020487	001	1	AB
020487	002	1	AB
020488	001	1	AP
020491	001	1	AP
020496	001	1	AB
020496	002	1	AB
020496	003	1	AB
020497	001	1	AB
020498	001	1	AB
020500	001	1	AB
020503	001	1	AB1
020504	001	1	AB
020505	001	1	AB
020505	002	1	AB
020505	004	1	AB
020505	005	1	AB
020509	001	1	AP
020509	002	1	AP
020519	001	1	AB
020531	001	1	AB
020533	001	1	AP
020533	002	1	AP
020533	003	1	AP
020533	004	1	AP
020533	005	1	AP
020533	006	1	AP
020533	007	1	AP
020533	008	1	AP
020533	009	1	AP
020533	010	1	AP
020533	011	1	AP
020538	005	1	AB1
020538	006	1	AB1
020538	007	1	AB1
020538	008	1	AB1
020538	009	1	AB1
020539	001	1	AB
020541	001	1	AB
020547	001	1	AB
020547	003	1	AB
020551	001	1	AP
020551	002	1	AP
020551	003	1	AP
020554	001	1	AB
020560	005	1	AB
020564	001	1	AB
020564	003	1	AB
020571	001	1	AP
020571	002	1	AP
020571	003	1	AP
020572	001	1	AB
020573	001	1	AB
020579	001	1	AB
020583	001	1	AB
020588	001	1	AA
020591	001	1	AB
020591	002	1	AB
020591	004	1	AB
020592	001	1	AB
020592	002	1	AB
020592	003	1	AB
020592	004	1	AB
020592	005	1	AB
020592	006	1	AB
020596	001	1	AA
020597	001	1	AT
020599	001	1	AB
020604	001	1	
020604	002	1	
020605	001	1	AA
020607	001	1	AB
020607	002	1	AB
020610	001	1	AB
020612	001	1	AB
020615	001	1	AP
020615	002	1	AP
020616	001	1	AB
020616	002	1	AB
020616	003	1	AB
020616	004	1	AB
020616	005	1	AB
020616	006	1	AB
020616	008	1	AB
020616	009	1	AB
020622	002	1	AP
020622	003	1	AP
020626	001	1	AB
020626	003	1	AB
020630	001	1	AP
020630	002	1	AP
020630	003	1	AP
020636	001	1	AB
020639	001	1	AB
020639	002	1	AB
020639	003	1	AB
020639	005	1	AB
020639	006	1	AB
020639	007	1	AB
020645	001	1	AP
020646	001	1	AB
020646	002	1	AB
020646	003	1	AB
020646	005	1	AB
020649	002	1	AP
020649	003	1	AP
020649	004	1	AP
020655	001	1	BX
020655	002	1	BX
020655	003	1	BX
020655	004	1	BX
020657	001	1	AA
020658	001	1	AB
020658	002	1	AB
020658	003	1	AB
020658	004	1	AB
020658	005	1	AB
020658	006	1	AB
020658	007	1	AB
020666	001	1	AB
020667	001	1	AB
020667	002	1	AB
020667	003	1	AB
020667	005	1	AB
020667	006	1	AB
020667	007	1	AB
020671	001	1	AP
020675	001	1	AB
020675	002	1	AB
020682	001	1	AB
020682	002	1	AB
020682	003	1	AB
020687	001	1	AB
020690	001	1	AB
020690	002	1	AB
020697	001	1	AB
020699	001	1	AB
020699	002	1	AB
020699	004	1	AB
020702	001	1	AB
020702	002	1	AB
020702	003	1	AB
020702	004	1	AB
020712	001	1	AB
020712	002	1	AB
020712	003	1	AB
020717	001	1	AB
020717	002	1	AB
020718	001	1	AP
020718	002	1	AP
020723	001	1	AB
020726	001	1	AB
020742	001	1	AT
020746	001	1	AB
020747	001	1	AB
020747	002	1	AB
020747	003	1	AB
020747	004	1	AB
020747	005	1	AB
020747	006	1	AB
020748	001	1	AB
020753	001	1	AB
020757	001	1	AB
020757	002	1	AB
020757	003	1	AB
020758	002	1	AB
020758	003	1	AB
020762	001	1	AB
020763	001	1	AB
020763	002	1	AB
020764	001	1	AB
020764	002	1	AB
020764	004	1	AB
020768	001	1	AB
020768	002	1	AB
020769	001	1	AB2
020771	001	1	AB
020771	002	1	AB
020781	001	1	AB
020781	002	1	AB
020788	001	1	AB
020789	001	1	AB
020789	003	1	AB
020793	001	1	AP
020793	002	1	AA
020796	001	1	AB
020800	003	1	BX
020800	004	1	BX
020815	001	1	AB
020818	001	1	AB
020818	002	1	AB
020818	003	1	AB
020818	004	1	AB
020818	005	1	AB
020819	001	1	AP
020819	002	1	AP
020819	003	1	AP
020822	001	1	AB
020822	002	1	AB
020822	003	1	AB
020825	001	1	AB
020825	002	1	AB
020825	003	1	AB
020825	004	1	AB
020829	002	1	AB
020830	001	1	AB
020830	002	1	AB
020835	001	1	AB
020835	002	1	AB
020835	003	1	AB
020835	005	1	AB
020837	001	1	AN
020837	002	1	AN
020837	003	1	AN
020837	004	1	AN
020838	001	1	AB
020838	002	1	AB
020838	003	1	AB
020838	004	1	AB
020839	001	1	AB
020839	002	1	AB
020844	001	1	AB
020844	002	1	AB
020845	003	1	AA
020850	001	1	AB
020850	002	1	AB
020850	003	1	AB
020857	001	1	AB
020859	001	1	AB
020859	002	1	AB
020862	001	1	AB
020862	002	1	AB
020862	003	1	AB
020864	002	1	AB
020865	002	1	AB
020869	001	1	AT
020873	001	1	AP
020882	001	1	AB
020882	002	1	AB
020883	001	1	AP
020884	001	1	AB
020892	001	1	AO
020895	001	1	AB
020895	002	1	AB
020895	003	1	AB
020896	001	1	AB
020896	002	1	AB
020897	001	1	AB
020897	002	1	AB
020901	001	1	AB
020903	002	1	AB
020905	001	1	AB
020905	002	1	AB
020907	001	1	AB
020907	002	1	AB
020908	002	1	AB
020919	001	1	AP
020929	001	1	AN
020929	002	1	AN
020929	003	1	AN
020931	001	1	AB
020931	002	1	AB
020931	003	1	AB
020933	001	1	AA
020934	001	1	AB
020936	001	1	AB
020936	002	1	AB
020936	003	1	AB
020938	001	1	AB
020938	002	1	AB
020949	001	1	AN
020949	002	1	AN
020954	001	1	AP
020955	001	1	AB
020963	001	1	AB
020963	002	1	AB
020972	001	1	AB
020972	003	1	AB
020973	002	1	AB
020977	001	1	AB
020978	001	1	AA
020983	001	1	BX
020985	001	1	AB
020987	001	1	AB
020987	002	1	AB
020988	001	1	AP
020989	002	1	AB
020990	001	1	AA
020998	001	1	AB
020998	002	1	AB
020998	003	1	AB
020998	004	1	AB
021003	001	1	AB
021005	001	1	AB
021006	001	1	AB
021009	001	1	AT
021011	001	1	AB
021011	002	1	AB
021011	003	1	AB
021014	001	1	AB
021014	002	1	AB
021014	003	1	AB
021015	001	1	AB1
021015	002	1	AB1
021016	001	1	AB
021016	002	1	AB
