Country,Flow,Unit,Product,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Saint Kitts and Nevis,Exports,Millions of USD,113--Forestry Products,,1,,,,,,,,,,,,
Namibia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Slovakia,Exports,Millions of USD,113--Forestry Products,,,1,2,1,,,,,,,,,
Tunisia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Montserrat,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Cyprus,Exports,Millions of USD,113--Forestry Products,1,1,,,,,,,,,,,,
Samoa,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Côte d'Ivoire,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Fiji,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Senegal,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Equatorial Guinea,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Congo,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Zimbabwe,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Zambia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Yemen,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
West Bank,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Vatican City,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Vanuatu,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Uzbekistan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Uganda,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Turkmenistan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Tonga,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Tokelau Islands,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Togo,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
"Tanzania, United Republic of",Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Tajikistan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Sudan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Solomon Islands,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Sierra Leone,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Seychelles,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Sao Tome and Principe,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
San Marino,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Saint Helena,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Rwanda,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Reunion,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Papua New Guinea,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Palau,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Nigeria,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Niger,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
New Caledonia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Netherlands Antilles,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Nepal,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Mozambique,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Montenegro,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Mongolia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
"Moldova, Republic of",Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Micronesia (Federated States of),Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Mayotte,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Mauritius,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Mauritania,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Martinique,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Marshall Islands,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Mali,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Maldives,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Malawi,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Madagascar,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Macedonia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
"Macau, SAR of China",Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Libyan Arab Jamahiriya,Exports,Millions of USD,113--Forestry Products,5,3,,4,8,3,1,,,,,,,
Liberia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Lao People's Democratic Republic,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Kyrgyzstan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Kiribati,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Iraq,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Guinea,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Gibraltar,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Georgia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Gambia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Gabon,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
French Southern Territories,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
French Guiana,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Faroe Islands,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Ethiopia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Djibouti,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Democratic Republic of Congo,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Cuba,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Christmas Island,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Chad,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Cape Verde,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Cameroon,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Burma (Myanmar),Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Brunei,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
British Indian Ocean Territory,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Botswana,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Bosnia and Herzegovina,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Benin,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Belarus,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Azerbaijan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Armenia,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Angola,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Andorra,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Albania,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
Afghanistan,Exports,Millions of USD,113--Forestry Products,,,,,,,,,,,,,,
