"StatVar","MinDate","NumPlaces","observationPeriods","ScalingFactors","Units","MeasurementMethods"
"Count_MedicalConditionIncident_CyclosporaEtiology_PatientDeceased_SuspectedCase_FoodborneTransmission","2019-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EscherichiaEtiology_FoodborneTransmission","2021-05","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusGenogroupII_Indeterminate_Other_UnknownTramissionMode","2009-01","46","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NORSUnknownChemical_Toxin_PatientDeceased_SuspectedCase_WaterborneTransmission","2007-05","5","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CryptosporidiumParvumEtiology_PatientDeceased_PersonToPersonTransmission","2010-06","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_PatientDeceased_SuspectedCase_FoodborneTransmission","1998-12","9","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_ConfirmedCase_FoodborneTransmission","2009-01","22","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_AmnesicShellfishPoison_PatientDeceased_FoodborneTransmission","2013-07","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Adenovirus_PatientHospitalized_PersonToPersonTransmission","2018-04","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SapovirusUnknown_SuspectedCase_PersonToPersonTransmission","2012-11","10","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ClostridiumPerfringensEtiology_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2015-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NORSOtherVirus_PatientHospitalized_PersonToPersonTransmission","2020-05","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Cholera_PatientHospitalized_ConfirmedCase_FoodborneTransmission","1998-09","6","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2009-01","45","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EntamoebaHistolyticaEtiology_PatientHospitalized_ConfirmedCase_WaterborneTransmission","1984-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
