Date,GeoId,Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years
2001,dcid:nuts/HU,3.1,2.2,2.7
2002,dcid:nuts/HU,3.3,2.6,2.9
2003,dcid:nuts/HU,4.9,4.0,4.5
2004,dcid:nuts/HU,4.6,3.4,4.0
2005,dcid:nuts/HU,4.6,3.2,3.9
2006,dcid:nuts/HU,4.6,3.4,4.0
2007,dcid:nuts/HU,4.5,3.3,3.9
2008,dcid:nuts/HU,3.8,2.9,3.4
2009,dcid:nuts/HU,3.4,2.7,3.0
2010,dcid:nuts/HU,3.1,2.9,3.0
2011,dcid:nuts/HU,3.1,2.8,3.0
2012,dcid:nuts/HU,3.1,2.7,2.9
2013,dcid:nuts/HU,3.2,3.1,3.2
2014,dcid:nuts/HU,3.6,3.0,3.3
2015,dcid:nuts/HU,7.5,6.8,7.1
2016,dcid:nuts/HU,7.0,5.6,6.3
2017,dcid:nuts/HU,6.4,5.9,6.2
2018,dcid:nuts/HU,6.4,5.6,6.0
2019,dcid:nuts/HU,6.0,5.6,5.8
2000,dcid:nuts/HU1,4.5,3.4,4.0
2001,dcid:nuts/HU1,4.0,2.9,3.5
2002,dcid:nuts/HU1,4.6,3.7,4.2
2003,dcid:nuts/HU1,6.8,5.8,6.3
2004,dcid:nuts/HU1,6.8,5.1,6.0
2005,dcid:nuts/HU1,6.5,4.7,5.6
2006,dcid:nuts/HU1,6.2,4.9,5.6
2007,dcid:nuts/HU1,6.5,4.9,5.7
2008,dcid:nuts/HU1,5.2,4.3,4.8
2009,dcid:nuts/HU1,4.8,4.0,4.4
2010,dcid:nuts/HU1,3.8,3.6,3.7
2011,dcid:nuts/HU1,4.0,3.7,3.9
2012,dcid:nuts/HU1,3.7,3.3,3.5
2013,dcid:nuts/HU1,4.4,4.6,4.5
2014,dcid:nuts/HU1,4.4,3.5,4.0
2015,dcid:nuts/HU1,10.4,8.1,9.3
2016,dcid:nuts/HU1,9.3,6.5,7.9
2017,dcid:nuts/HU1,8.3,7.4,7.8
2018,dcid:nuts/HU1,8.2,7.2,7.7
2019,dcid:nuts/HU1,6.9,7.1,7.0
2000,dcid:nuts/HU10,4.5,3.4,4.0
2001,dcid:nuts/HU10,4.0,2.9,3.5
2002,dcid:nuts/HU10,4.6,3.7,4.2
2003,dcid:nuts/HU10,6.8,5.8,6.3
2004,dcid:nuts/HU10,6.8,5.1,6.0
2005,dcid:nuts/HU10,6.5,4.7,5.6
2006,dcid:nuts/HU10,6.2,4.9,5.6
2007,dcid:nuts/HU10,6.5,4.9,5.7
2008,dcid:nuts/HU10,5.2,4.3,4.8
2009,dcid:nuts/HU10,4.8,4.0,4.4
2010,dcid:nuts/HU10,3.8,3.6,3.7
2011,dcid:nuts/HU10,4.0,3.7,3.9
2012,dcid:nuts/HU10,3.7,3.3,3.5
2013,dcid:nuts/HU11,5.6,5.6,5.6
2014,dcid:nuts/HU11,5.5,4.0,4.7
2015,dcid:nuts/HU11,11.7,9.2,10.6
2016,dcid:nuts/HU11,11.3,7.6,9.6
2017,dcid:nuts/HU11,9.7,8.4,9.1
2018,dcid:nuts/HU11,10.1,8.7,9.4
2019,dcid:nuts/HU11,7.8,8.2,8.0
2013,dcid:nuts/HU12,2.5,3.2,2.9
2014,dcid:nuts/HU12,2.9,2.8,2.8
2015,dcid:nuts/HU12,8.4,6.6,7.5
2016,dcid:nuts/HU12,6.2,5.0,5.6
2017,dcid:nuts/HU12,6.2,6.1,6.1
2018,dcid:nuts/HU12,5.5,5.3,5.4
2019,dcid:nuts/HU12,5.5,5.5,5.5
2000,dcid:nuts/HU2,3.1,2.4,2.7
2001,dcid:nuts/HU2,3.1,2.0,2.6
2002,dcid:nuts/HU2,2.9,2.2,2.6
2003,dcid:nuts/HU2,4.6,3.8,4.2
2004,dcid:nuts/HU2,4.1,2.9,3.5
2005,dcid:nuts/HU2,4.2,2.7,3.4
2006,dcid:nuts/HU2,4.1,2.9,3.5
2007,dcid:nuts/HU2,3.4,2.7,3.1
2008,dcid:nuts/HU2,2.9,2.1,2.5
2009,dcid:nuts/HU2,2.7,1.7,2.2
2010,dcid:nuts/HU2,3.0,2.6,2.8
2011,dcid:nuts/HU2,3.1,2.5,2.8
2012,dcid:nuts/HU2,3.0,2.6,2.8
2013,dcid:nuts/HU2,2.3,2.1,2.2
2014,dcid:nuts/HU2,2.8,2.4,2.6
2015,dcid:nuts/HU2,5.9,6.0,6.0
2016,dcid:nuts/HU2,5.9,5.5,5.7
2017,dcid:nuts/HU2,4.9,4.8,4.9
2018,dcid:nuts/HU2,4.7,4.3,4.5
2019,dcid:nuts/HU2,4.5,3.6,4.1
2000,dcid:nuts/HU21,3.1,2.0,2.5
2001,dcid:nuts/HU21,3.1,2.1,2.6
2002,dcid:nuts/HU21,3.4,2.2,2.8
2003,dcid:nuts/HU21,4.9,3.8,4.3
2004,dcid:nuts/HU21,4.4,3.2,3.8
2005,dcid:nuts/HU21,4.1,2.7,3.4
2006,dcid:nuts/HU21,4.9,2.8,3.9
2007,dcid:nuts/HU21,3.7,2.4,3.1
2008,dcid:nuts/HU21,3.1,2.3,2.7
2009,dcid:nuts/HU21,2.6,1.7,2.1
2010,dcid:nuts/HU21,3.3,3.0,3.2
2011,dcid:nuts/HU21,2.8,2.1,2.5
2012,dcid:nuts/HU21,3.0,2.3,2.6
2013,dcid:nuts/HU21,2.2,1.9,2.0
2014,dcid:nuts/HU21,2.6,2.3,2.5
2015,dcid:nuts/HU21,9.1,9.8,9.4
2016,dcid:nuts/HU21,7.1,7.9,7.5
2017,dcid:nuts/HU21,4.8,5.2,5.0
2018,dcid:nuts/HU21,4.8,4.5,4.7
2019,dcid:nuts/HU21,4.6,3.7,4.1
2000,dcid:nuts/HU22,3.2,3.2,3.2
2001,dcid:nuts/HU22,3.2,2.3,2.7
2002,dcid:nuts/HU22,2.6,2.2,2.4
2003,dcid:nuts/HU22,4.1,2.8,3.5
2004,dcid:nuts/HU22,3.9,2.2,3.1
2005,dcid:nuts/HU22,3.4,2.3,2.9
2006,dcid:nuts/HU22,3.1,2.6,2.8
2007,dcid:nuts/HU22,3.3,2.5,2.9
2008,dcid:nuts/HU22,2.6,1.7,2.2
2009,dcid:nuts/HU22,2.8,1.5,2.2
2010,dcid:nuts/HU22,2.8,2.1,2.4
2011,dcid:nuts/HU22,3.5,2.5,3.0
2012,dcid:nuts/HU22,2.8,2.4,2.6
2013,dcid:nuts/HU22,1.9,2.2,2.0
2014,dcid:nuts/HU22,2.0,1.8,1.9
2015,dcid:nuts/HU22,4.7,4.7,4.7
2016,dcid:nuts/HU22,5.4,3.8,4.6
2017,dcid:nuts/HU22,5.2,4.3,4.7
2018,dcid:nuts/HU22,4.6,4.2,4.4
2019,dcid:nuts/HU22,4.6,3.9,4.2
2000,dcid:nuts/HU23,3.0,1.9,2.5
2001,dcid:nuts/HU23,3.0,1.7,2.4
2002,dcid:nuts/HU23,2.7,2.3,2.5
2003,dcid:nuts/HU23,4.8,5.0,4.9
2004,dcid:nuts/HU23,3.9,3.4,3.6
2005,dcid:nuts/HU23,5.0,3.1,4.0
2006,dcid:nuts/HU23,4.3,3.2,3.7
2007,dcid:nuts/HU23,3.2,3.3,3.3
2008,dcid:nuts/HU23,3.0,2.4,2.7
2009,dcid:nuts/HU23,2.8,2.1,2.5
2010,dcid:nuts/HU23,2.9,2.7,2.8
2011,dcid:nuts/HU23,3.2,3.0,3.1
2012,dcid:nuts/HU23,3.3,3.0,3.2
2013,dcid:nuts/HU23,3.0,2.4,2.7
2014,dcid:nuts/HU23,3.8,3.2,3.5
2015,dcid:nuts/HU23,3.7,2.9,3.3
2016,dcid:nuts/HU23,5.0,4.6,4.8
2017,dcid:nuts/HU23,4.7,4.9,4.8
2018,dcid:nuts/HU23,4.5,4.1,4.3
2019,dcid:nuts/HU23,4.3,3.3,3.8
2000,dcid:nuts/HU3,2.6,1.8,2.2
2001,dcid:nuts/HU3,2.4,1.8,2.1
2002,dcid:nuts/HU3,2.5,2.1,2.3
2003,dcid:nuts/HU3,3.8,3.0,3.4
2004,dcid:nuts/HU3,3.4,2.5,3.0
2005,dcid:nuts/HU3,3.4,2.6,3.0
2006,dcid:nuts/HU3,3.9,2.7,3.3
2007,dcid:nuts/HU3,3.8,2.6,3.2
2008,dcid:nuts/HU3,3.5,2.6,3.0
2009,dcid:nuts/HU3,2.8,2.4,2.6
2010,dcid:nuts/HU3,2.6,2.5,2.6
2011,dcid:nuts/HU3,2.4,2.3,2.4
2012,dcid:nuts/HU3,2.7,2.3,2.5
2013,dcid:nuts/HU3,3.0,2.8,2.9
2014,dcid:nuts/HU3,3.7,3.1,3.4
2015,dcid:nuts/HU3,6.3,6.4,6.4
2016,dcid:nuts/HU3,6.1,5.0,5.5
2017,dcid:nuts/HU3,6.1,5.5,5.8
2018,dcid:nuts/HU3,6.3,5.5,5.9
2019,dcid:nuts/HU3,6.5,6.0,6.3
2000,dcid:nuts/HU31,2.8,2.1,2.5
2001,dcid:nuts/HU31,2.8,2.0,2.4
2002,dcid:nuts/HU31,2.6,2.6,2.6
2003,dcid:nuts/HU31,4.0,3.1,3.6
2004,dcid:nuts/HU31,3.8,2.9,3.4
2005,dcid:nuts/HU31,3.4,2.9,3.1
2006,dcid:nuts/HU31,3.1,2.5,2.8
2007,dcid:nuts/HU31,3.0,2.7,2.8
2008,dcid:nuts/HU31,2.8,2.3,2.6
2009,dcid:nuts/HU31,2.7,2.7,2.7
2010,dcid:nuts/HU31,2.6,2.4,2.5
2011,dcid:nuts/HU31,2.6,2.2,2.4
2012,dcid:nuts/HU31,2.1,1.9,2.0
2013,dcid:nuts/HU31,2.1,2.3,2.2
2014,dcid:nuts/HU31,2.9,2.9,2.9
2015,dcid:nuts/HU31,5.8,5.6,5.7
2016,dcid:nuts/HU31,4.4,4.0,4.2
2017,dcid:nuts/HU31,4.6,3.8,4.2
2018,dcid:nuts/HU31,4.9,3.9,4.4
2019,dcid:nuts/HU31,4.4,4.7,4.5
2000,dcid:nuts/HU32,2.7,1.8,2.3
2001,dcid:nuts/HU32,2.3,1.9,2.1
2002,dcid:nuts/HU32,2.5,1.9,2.2
2003,dcid:nuts/HU32,3.7,2.8,3.2
2004,dcid:nuts/HU32,3.2,2.3,2.8
2005,dcid:nuts/HU32,3.5,2.6,3.0
2006,dcid:nuts/HU32,4.3,2.9,3.6
2007,dcid:nuts/HU32,4.0,2.8,3.4
2008,dcid:nuts/HU32,3.9,3.0,3.4
2009,dcid:nuts/HU32,2.9,2.7,2.8
2010,dcid:nuts/HU32,2.7,2.7,2.7
2011,dcid:nuts/HU32,2.2,2.4,2.3
2012,dcid:nuts/HU32,3.1,2.6,2.9
2013,dcid:nuts/HU32,3.7,3.5,3.6
2014,dcid:nuts/HU32,4.8,4.2,4.5
2015,dcid:nuts/HU32,7.0,7.2,7.1
2016,dcid:nuts/HU32,7.0,5.5,6.3
2017,dcid:nuts/HU32,7.3,6.3,6.8
2018,dcid:nuts/HU32,6.7,5.7,6.2
2019,dcid:nuts/HU32,8.5,8.2,8.3
2000,dcid:nuts/HU33,2.2,1.7,1.9
2001,dcid:nuts/HU33,2.3,1.7,2.0
2002,dcid:nuts/HU33,2.5,1.9,2.2
2003,dcid:nuts/HU33,3.8,3.1,3.5
2004,dcid:nuts/HU33,3.3,2.5,2.9
2005,dcid:nuts/HU33,3.4,2.5,3.0
2006,dcid:nuts/HU33,4.1,2.7,3.4
2007,dcid:nuts/HU33,4.3,2.3,3.3
2008,dcid:nuts/HU33,3.6,2.4,3.0
2009,dcid:nuts/HU33,2.6,1.9,2.3
2010,dcid:nuts/HU33,2.6,2.5,2.5
2011,dcid:nuts/HU33,2.5,2.3,2.4
2012,dcid:nuts/HU33,2.9,2.3,2.6
2013,dcid:nuts/HU33,3.0,2.5,2.8
2014,dcid:nuts/HU33,3.1,2.1,2.6
2015,dcid:nuts/HU33,6.0,6.1,6.1
2016,dcid:nuts/HU33,6.5,5.3,5.9
2017,dcid:nuts/HU33,6.2,6.1,6.2
2018,dcid:nuts/HU33,7.0,6.6,6.8
2019,dcid:nuts/HU33,6.1,4.7,5.4
2002,dcid:nuts/IE,6.4,4.7,5.5
2003,dcid:nuts/IE,6.8,5.1,5.9
2004,dcid:nuts/IE,7.1,5.1,6.1
2005,dcid:nuts/IE,8.6,6.2,7.4
2006,dcid:nuts/IE,8.9,6.0,7.4
2007,dcid:nuts/IE,9.2,6.5,7.8
2008,dcid:nuts/IE,8.2,6.2,7.2
2009,dcid:nuts/IE,7.3,6.0,6.6
2010,dcid:nuts/IE,7.5,6.8,7.1
2011,dcid:nuts/IE,7.6,6.9,7.2
2012,dcid:nuts/IE,7.8,7.1,7.5
2013,dcid:nuts/IE,7.9,7.2,7.6
2014,dcid:nuts/IE,7.6,6.4,7.0
2015,dcid:nuts/IE,7.1,6.0,6.5
2016,dcid:nuts/IE,6.8,6.1,6.5
2017,dcid:nuts/IE,10.0,7.9,9.0
2018,dcid:nuts/IE,14.6,10.3,12.5
2019,dcid:nuts/IE,14.5,10.7,12.6
2002,dcid:nuts/IE0,6.4,4.7,5.5
2003,dcid:nuts/IE0,6.8,5.1,5.9
2004,dcid:nuts/IE0,7.1,5.1,6.1
2005,dcid:nuts/IE0,8.6,6.2,7.4
2006,dcid:nuts/IE0,8.9,6.0,7.4
2007,dcid:nuts/IE0,9.2,6.5,7.8
2008,dcid:nuts/IE0,8.2,6.2,7.2
2009,dcid:nuts/IE0,7.3,6.0,6.6
2010,dcid:nuts/IE0,7.5,6.8,7.1
2011,dcid:nuts/IE0,7.6,6.9,7.2
2012,dcid:nuts/IE0,7.8,7.1,7.5
2013,dcid:nuts/IE0,7.9,7.2,7.6
2014,dcid:nuts/IE0,7.6,6.4,7.0
2015,dcid:nuts/IE0,7.1,6.0,6.5
2016,dcid:nuts/IE0,6.8,6.1,6.5
2017,dcid:nuts/IE0,10.0,7.9,9.0
2018,dcid:nuts/IE0,14.6,10.3,12.5
2019,dcid:nuts/IE0,14.5,10.7,12.6
2002,dcid:nuts/IE01,5.6,3.4,4.5
2003,dcid:nuts/IE01,5.9,3.7,4.7
2004,dcid:nuts/IE01,6.5,3.8,5.1
2005,dcid:nuts/IE01,7.2,4.4,5.8
2006,dcid:nuts/IE01,7.7,4.7,6.2
2007,dcid:nuts/IE01,8.3,4.8,6.5
2008,dcid:nuts/IE01,7.2,4.7,5.9
2009,dcid:nuts/IE01,6.1,4.5,5.3
2010,dcid:nuts/IE01,6.3,5.5,5.9
2011,dcid:nuts/IE01,5.9,5.7,5.8
2002,dcid:nuts/IE02,6.6,5.2,5.9
2003,dcid:nuts/IE02,7.0,5.6,6.3
2004,dcid:nuts/IE02,7.3,5.5,6.5
2005,dcid:nuts/IE02,9.1,6.8,7.9
2006,dcid:nuts/IE02,9.3,6.5,7.9
2007,dcid:nuts/IE02,9.5,7.1,8.3
2008,dcid:nuts/IE02,8.6,6.7,7.6
2009,dcid:nuts/IE02,7.7,6.5,7.1
2010,dcid:nuts/IE02,7.9,7.2,7.6
2011,dcid:nuts/IE02,8.1,7.3,7.7
2012,dcid:nuts/IE04,7.5,6.5,7.0
2013,dcid:nuts/IE04,7.3,6.3,6.8
2014,dcid:nuts/IE04,7.3,5.2,6.3
2015,dcid:nuts/IE04,6.2,4.7,5.5
2016,dcid:nuts/IE04,5.9,4.9,5.4
2017,dcid:nuts/IE04,8.8,6.1,7.5
2018,dcid:nuts/IE04,12.2,8.4,10.4
2019,dcid:nuts/IE04,12.9,9.3,11.1
2012,dcid:nuts/IE05,6.5,6.1,6.3
2013,dcid:nuts/IE05,6.7,6.0,6.4
2014,dcid:nuts/IE05,6.7,5.6,6.2
2015,dcid:nuts/IE05,6.3,5.2,5.7
2016,dcid:nuts/IE05,6.4,5.9,6.2
2017,dcid:nuts/IE05,9.6,7.4,8.5
2018,dcid:nuts/IE05,13.3,9.4,11.3
2019,dcid:nuts/IE05,12.4,8.6,10.5
2012,dcid:nuts/IE06,8.7,8.1,8.4
2013,dcid:nuts/IE06,8.9,8.4,8.7
2014,dcid:nuts/IE06,8.3,7.4,7.9
2015,dcid:nuts/IE06,7.9,7.0,7.5
2016,dcid:nuts/IE06,7.4,6.6,7.0
2017,dcid:nuts/IE06,10.8,8.8,9.8
2018,dcid:nuts/IE06,16.3,11.6,14.0
2019,dcid:nuts/IE06,16.4,12.6,14.5
2000,dcid:nuts/IS,26.7,20.4,23.5
2001,dcid:nuts/IS,28.1,19.0,23.5
2002,dcid:nuts/IS,27.7,20.4,24.0
2003,dcid:nuts/IS,34.1,25.0,29.5
2004,dcid:nuts/IS,28.9,19.6,24.2
2005,dcid:nuts/IS,29.8,21.6,25.7
2006,dcid:nuts/IS,33.7,22.4,27.9
2007,dcid:nuts/IS,32.0,22.4,27.0
2008,dcid:nuts/IS,30.5,20.1,25.1
2009,dcid:nuts/IS,30.1,20.4,25.1
2010,dcid:nuts/IS,29.6,21.3,25.4
2011,dcid:nuts/IS,29.5,23.3,26.4
2012,dcid:nuts/IS,32.0,24.2,28.1
2013,dcid:nuts/IS,29.8,22.9,26.3
2014,dcid:nuts/IS,30.6,21.9,26.3
2015,dcid:nuts/IS,32.7,23.5,28.1
2016,dcid:nuts/IS,28.3,21.3,24.7
2017,dcid:nuts/IS,26.8,20.4,23.6
2018,dcid:nuts/IS,25.0,18.3,21.5
2019,dcid:nuts/IS,25.7,18.8,22.2
2000,dcid:nuts/IS0,26.7,20.4,23.5
2001,dcid:nuts/IS0,28.1,19.0,23.5
2002,dcid:nuts/IS0,27.7,20.4,24.0
2003,dcid:nuts/IS0,34.1,25.0,29.5
2004,dcid:nuts/IS0,28.9,19.6,24.2
2005,dcid:nuts/IS0,29.8,21.6,25.7
2006,dcid:nuts/IS0,33.7,22.4,27.9
2007,dcid:nuts/IS0,32.0,22.4,27.0
2008,dcid:nuts/IS0,30.5,20.1,25.1
2009,dcid:nuts/IS0,30.1,20.4,25.1
2010,dcid:nuts/IS0,29.6,21.3,25.4
2011,dcid:nuts/IS0,29.5,23.3,26.4
2012,dcid:nuts/IS0,32.0,24.2,28.1
2013,dcid:nuts/IS0,29.8,22.9,26.3
2014,dcid:nuts/IS0,30.6,21.9,26.3
2015,dcid:nuts/IS0,32.7,23.5,28.1
2016,dcid:nuts/IS0,28.3,21.3,24.7
2017,dcid:nuts/IS0,26.8,20.4,23.6
2018,dcid:nuts/IS0,25.0,18.3,21.5
2019,dcid:nuts/IS0,25.7,18.8,22.2
2000,dcid:nuts/IS00,26.7,20.4,23.5
2001,dcid:nuts/IS00,28.1,19.0,23.5
2002,dcid:nuts/IS00,27.7,20.4,24.0
2003,dcid:nuts/IS00,34.1,25.0,29.5
2004,dcid:nuts/IS00,28.9,19.6,24.2
2005,dcid:nuts/IS00,29.8,21.6,25.7
2006,dcid:nuts/IS00,33.7,22.4,27.9
2007,dcid:nuts/IS00,32.0,22.4,27.0
2008,dcid:nuts/IS00,30.5,20.1,25.1
2009,dcid:nuts/IS00,30.1,20.4,25.1
2010,dcid:nuts/IS00,29.6,21.3,25.4
2011,dcid:nuts/IS00,29.5,23.3,26.4
2012,dcid:nuts/IS00,32.0,24.2,28.1
2013,dcid:nuts/IS00,29.8,22.9,26.3
2014,dcid:nuts/IS00,30.6,21.9,26.3
2015,dcid:nuts/IS00,32.7,23.5,28.1
2016,dcid:nuts/IS00,28.3,21.3,24.7
2017,dcid:nuts/IS00,26.8,20.4,23.6
2018,dcid:nuts/IS00,25.0,18.3,21.5
2019,dcid:nuts/IS00,25.7,18.8,22.2
2000,dcid:nuts/IT,4.8,4.8,4.8
2001,dcid:nuts/IT,4.6,4.4,4.5
2002,dcid:nuts/IT,4.6,4.2,4.4
2003,dcid:nuts/IT,4.8,4.2,4.5
2004,dcid:nuts/IT,6.7,5.9,6.3
2005,dcid:nuts/IT,6.2,5.4,5.8
2006,dcid:nuts/IT,6.5,5.7,6.1
2007,dcid:nuts/IT,6.5,5.8,6.2
2008,dcid:nuts/IT,6.6,6.0,6.3
2009,dcid:nuts/IT,6.4,5.7,6.0
2010,dcid:nuts/IT,6.5,5.9,6.2
2011,dcid:nuts/IT,6.1,5.3,5.7
2012,dcid:nuts/IT,7.0,6.1,6.6
2013,dcid:nuts/IT,6.5,5.8,6.2
2014,dcid:nuts/IT,8.3,7.8,8.1
2015,dcid:nuts/IT,7.7,6.9,7.3
2016,dcid:nuts/IT,8.7,7.8,8.3
2017,dcid:nuts/IT,8.4,7.5,7.9
2018,dcid:nuts/IT,8.6,7.6,8.1
2019,dcid:nuts/IT,8.6,7.7,8.1
2000,dcid:nuts/ITC,4.6,4.6,4.6
2001,dcid:nuts/ITC,4.1,4.1,4.1
2002,dcid:nuts/ITC,4.1,3.8,3.9
2003,dcid:nuts/ITC,4.2,3.8,4.0
2004,dcid:nuts/ITC,6.3,5.4,5.8
2005,dcid:nuts/ITC,5.7,5.0,5.3
2006,dcid:nuts/ITC,6.1,5.4,5.8
2007,dcid:nuts/ITC,6.2,5.6,5.9
2008,dcid:nuts/ITC,6.0,5.7,5.8
2009,dcid:nuts/ITC,6.2,5.3,5.8
2010,dcid:nuts/ITC,6.6,5.8,6.2
2011,dcid:nuts/ITC,6.1,5.2,5.6
2012,dcid:nuts/ITC,7.1,6.2,6.6
2013,dcid:nuts/ITC,6.8,6.1,6.4
2014,dcid:nuts/ITC,9.2,8.2,8.7
2015,dcid:nuts/ITC,8.5,7.1,7.8
2016,dcid:nuts/ITC,9.5,8.6,9.1
2017,dcid:nuts/ITC,9.2,7.9,8.5
2018,dcid:nuts/ITC,9.3,8.4,8.9
2019,dcid:nuts/ITC,9.6,8.6,9.1
2000,dcid:nuts/ITC1,4.9,4.8,4.9
2001,dcid:nuts/ITC1,4.2,4.1,4.1
2002,dcid:nuts/ITC1,4.1,3.7,3.9
2003,dcid:nuts/ITC1,4.1,3.4,3.8
2004,dcid:nuts/ITC1,5.5,5.0,5.2
2005,dcid:nuts/ITC1,5.2,4.5,4.9
2006,dcid:nuts/ITC1,5.4,4.7,5.1
2007,dcid:nuts/ITC1,5.7,5.0,5.3
2008,dcid:nuts/ITC1,5.2,5.0,5.1
2009,dcid:nuts/ITC1,5.3,4.9,5.1
2010,dcid:nuts/ITC1,6.6,5.8,6.2
2011,dcid:nuts/ITC1,6.2,5.1,5.6
2012,dcid:nuts/ITC1,7.4,5.5,6.5
2013,dcid:nuts/ITC1,6.8,5.3,6.0
2014,dcid:nuts/ITC1,8.4,7.4,7.9
2015,dcid:nuts/ITC1,8.4,6.3,7.4
2016,dcid:nuts/ITC1,8.8,8.0,8.4
2017,dcid:nuts/ITC1,8.5,7.2,7.9
2018,dcid:nuts/ITC1,9.0,7.8,8.4
2019,dcid:nuts/ITC1,9.3,8.3,8.8
2000,dcid:nuts/ITC2,5.6,5.2,5.4
2001,dcid:nuts/ITC2,4.4,,4.2
2002,dcid:nuts/ITC2,4.9,,4.5
2003,dcid:nuts/ITC2,4.5,,4.1
2004,dcid:nuts/ITC2,5.0,,4.4
2005,dcid:nuts/ITC2,4.8,,4.3
2006,dcid:nuts/ITC2,4.6,4.8,4.7
2007,dcid:nuts/ITC2,5.1,4.7,4.9
2008,dcid:nuts/ITC2,5.4,4.5,4.9
2009,dcid:nuts/ITC2,5.4,,4.4
2010,dcid:nuts/ITC2,4.3,,3.9
2011,dcid:nuts/ITC2,4.5,,4.1
2012,dcid:nuts/ITC2,7.5,6.0,6.7
2013,dcid:nuts/ITC2,7.1,4.9,6.0
2014,dcid:nuts/ITC2,9.1,6.6,7.9
2015,dcid:nuts/ITC2,8.5,6.6,7.6
2016,dcid:nuts/ITC2,8.7,6.9,7.8
2017,dcid:nuts/ITC2,8.4,8.0,8.2
2018,dcid:nuts/ITC2,8.7,8.3,8.5
2019,dcid:nuts/ITC2,10.2,8.1,9.1
2000,dcid:nuts/ITC3,3.6,3.9,3.8
2001,dcid:nuts/ITC3,4.0,2.9,3.4
2002,dcid:nuts/ITC3,3.8,2.7,3.3
2003,dcid:nuts/ITC3,3.9,3.6,3.7
2004,dcid:nuts/ITC3,6.4,6.5,6.4
2005,dcid:nuts/ITC3,6.2,5.4,5.8
2006,dcid:nuts/ITC3,7.3,6.4,6.9
2007,dcid:nuts/ITC3,7.3,5.9,6.6
2008,dcid:nuts/ITC3,6.9,7.1,7.0
2009,dcid:nuts/ITC3,8.0,6.4,7.2
2010,dcid:nuts/ITC3,7.0,6.4,6.7
2011,dcid:nuts/ITC3,6.5,5.1,5.8
2012,dcid:nuts/ITC3,7.7,6.7,7.2
2013,dcid:nuts/ITC3,6.6,6.1,6.3
2014,dcid:nuts/ITC3,9.8,7.6,8.7
2015,dcid:nuts/ITC3,7.6,6.7,7.2
2016,dcid:nuts/ITC3,8.7,9.8,9.2
2017,dcid:nuts/ITC3,9.8,8.8,9.3
2018,dcid:nuts/ITC3,9.4,8.8,9.1
2019,dcid:nuts/ITC3,10.3,9.2,9.8
2000,dcid:nuts/ITC4,4.6,4.6,4.6
2001,dcid:nuts/ITC4,4.1,4.3,4.2
2002,dcid:nuts/ITC4,4.2,4.0,4.1
2003,dcid:nuts/ITC4,4.3,3.9,4.1
2004,dcid:nuts/ITC4,6.6,5.5,6.1
2005,dcid:nuts/ITC4,5.9,5.2,5.5
2006,dcid:nuts/ITC4,6.2,5.6,5.9
2007,dcid:nuts/ITC4,6.3,5.8,6.1
2008,dcid:nuts/ITC4,6.2,5.8,6.0
2009,dcid:nuts/ITC4,6.3,5.4,5.9
2010,dcid:nuts/ITC4,6.6,5.8,6.2
2011,dcid:nuts/ITC4,6.0,5.3,5.6
2012,dcid:nuts/ITC4,6.8,6.4,6.6
2013,dcid:nuts/ITC4,6.8,6.5,6.6
2014,dcid:nuts/ITC4,9.4,8.7,9.0
2015,dcid:nuts/ITC4,8.7,7.5,8.1
2016,dcid:nuts/ITC4,9.9,8.8,9.3
2017,dcid:nuts/ITC4,9.5,8.0,8.7
2018,dcid:nuts/ITC4,9.5,8.6,9.0
2019,dcid:nuts/ITC4,9.6,8.6,9.1
2000,dcid:nuts/ITF,4.3,4.6,4.5
2001,dcid:nuts/ITF,4.3,4.3,4.3
2002,dcid:nuts/ITF,4.1,4.0,4.1
2003,dcid:nuts/ITF,4.2,3.8,4.0
2004,dcid:nuts/ITF,6.1,5.7,5.9
2005,dcid:nuts/ITF,5.6,5.1,5.3
2006,dcid:nuts/ITF,5.7,5.3,5.5
2007,dcid:nuts/ITF,5.7,5.4,5.5
2008,dcid:nuts/ITF,6.0,5.6,5.8
2009,dcid:nuts/ITF,5.6,5.0,5.3
2010,dcid:nuts/ITF,5.6,5.5,5.6
2011,dcid:nuts/ITF,5.4,4.9,5.2
2012,dcid:nuts/ITF,6.0,5.4,5.7
2013,dcid:nuts/ITF,5.3,5.1,5.2
2014,dcid:nuts/ITF,6.3,6.4,6.4
2015,dcid:nuts/ITF,5.9,5.6,5.8
2016,dcid:nuts/ITF,6.4,5.9,6.2
2017,dcid:nuts/ITF,6.1,5.9,6.0
2018,dcid:nuts/ITF,6.1,5.4,5.8
2019,dcid:nuts/ITF,5.9,5.7,5.8
2000,dcid:nuts/ITF1,4.1,3.9,4.0
2001,dcid:nuts/ITF1,4.9,4.0,4.5
2002,dcid:nuts/ITF1,4.8,4.6,4.7
2003,dcid:nuts/ITF1,4.7,4.7,4.7
2004,dcid:nuts/ITF1,8.2,6.9,7.6
2005,dcid:nuts/ITF1,7.5,6.7,7.1
2006,dcid:nuts/ITF1,7.5,6.4,7.0
