key,prop,val,,,,,,,,,,
RCDTS,observationAbout,{Data},measuredProperty,count,populationType,Student,assessmentType,DynamicLearningMaps,observationDate,2022,measurementDenominator,"-schoolSubject,-educationalAchievementLevel"
% Low Income students DLM Mathematics Approaching Target Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade11,,
% Low Income students DLM Mathematics At Target Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade11,,
% Low Income students DLM Mathematics Advanced Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade11,,
% Low Income students DLM Science Emerging Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade11,,
% Low Income students DLM Science Approaching Target Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade11,,
% Low Income students DLM Science At Target Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade11,,
% Low Income students DLM Science Advanced Grade 11,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM ELA Emerging Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM ELA Approaching Target Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM ELA At Target Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM ELA Advanced Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Mathematics Emerging Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Mathematics Approaching Target Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Mathematics At Target Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Mathematics Advanced Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Science Emerging Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Science Approaching Target Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Science At Target Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade11,,
% Non-Low Income students DLM Science Advanced Grade 11,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade11,,
# DLM Math Participation,,,,,,,,,,,,
# DLM Math Participation - Female,,,,,,,,,,,,
# DLM Math Participation - Male,,,,,,,,,,,,
# DLM Math Participation - White,,,,,,,,,,,,
# DLM Math Participation - Black or African American,,,,,,,,,,,,
# DLM Math Participation - Hispanic or Latino,,,,,,,,,,,,
# DLM Math Participation - Asian,,,,,,,,,,,,
# DLM Math Participation - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
# DLM Math Participation - American Indian or Alaska Native,,,,,,,,,,,,
# DLM Math Participation - Two or More Race,,,,,,,,,,,,
# DLM Math Participation - IEP,,,,,,,,,,,,
# DLM Math Participation - EL,,,,,,,,,,,,
# DLM Math Participation - Low Income,,,,,,,,,,,,
% DLM Math Participation,,,,,,,,,,,,
% DLM Math Participation - Female,,,,,,,,,,,,
% DLM Math Participation - Male,,,,,,,,,,,,
% DLM Math Participation - White,,,,,,,,,,,,
% DLM Math Participation - Black or African American,,,,,,,,,,,,
% DLM Math Participation - Hispanic or Latino,,,,,,,,,,,,
% DLM Math Participation - Asian,,,,,,,,,,,,
% DLM Math Participation - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
% DLM Math Participation - American Indian or Alaska Native,,,,,,,,,,,,
% DLM Math Participation - Two or More Race,,,,,,,,,,,,
% DLM Math Participation - IEP,,,,,,,,,,,,
% DLM Math Participation - EL,,,,,,,,,,,,
% DLM Math Participation - Low Income,,,,,,,,,,,,
# DLM ELA Participation,,,,,,,,,,,,
# DLM ELA Participation - Female,,,,,,,,,,,,
# DLM ELA Participation - Male,,,,,,,,,,,,
# DLM ELA Participation - White,,,,,,,,,,,,
# DLM ELA Participation - Black or African American,,,,,,,,,,,,
# DLM ELA Participation - Hispanic or Latino,,,,,,,,,,,,
# DLM ELA Participation - Asian,,,,,,,,,,,,
# DLM ELA Participation - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
# DLM ELA Participation - American Indian or Alaska Native,,,,,,,,,,,,
# DLM ELA Participation - Two or More Race,,,,,,,,,,,,
# DLM ELA Participation - IEP,,,,,,,,,,,,
# DLM ELA Participation - EL,,,,,,,,,,,,
# DLM ELA Participation - Low Income,,,,,,,,,,,,
% DLM ELA Participation,,,,,,,,,,,,
% DLM ELA Participation - Female,,,,,,,,,,,,
% DLM ELA Participation - Male,,,,,,,,,,,,
% DLM ELA Participation - White,,,,,,,,,,,,
% DLM ELA Participation - Black or African American,,,,,,,,,,,,
% DLM ELA Participation - Hispanic or Latino,,,,,,,,,,,,
% DLM ELA Participation - Asian,,,,,,,,,,,,
% DLM ELA Participation - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
% DLM ELA Participation - American Indian or Alaska Native,,,,,,,,,,,,
% DLM ELA Participation - Two or More Race,,,,,,,,,,,,
% DLM ELA Participation - IEP,,,,,,,,,,,,
% DLM ELA Participation - EL,,,,,,,,,,,,
% DLM ELA Participation - Low Income,,,,,,,,,,,,
# DLM Science Participation,,,,,,,,,,,,
# DLM Science Participation - Female,,,,,,,,,,,,
# DLM Science Participation - Male,,,,,,,,,,,,
# DLM Science Participation - White,,,,,,,,,,,,
# DLM Science Participation - Black or African American,,,,,,,,,,,,
# DLM Science Participation - Hispanic or Latino,,,,,,,,,,,,
# DLM Science Participation - Asian,,,,,,,,,,,,
# DLM Science Participation - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
# DLM Science Participation - American Indian or Alaska Native,,,,,,,,,,,,
# DLM Science Participation - Two or More Race,,,,,,,,,,,,
# DLM Science Participation - IEP,,,,,,,,,,,,
# DLM Science Participation - EL,,,,,,,,,,,,
# DLM Science Participation - Low Income,,,,,,,,,,,,
% DLM Science Participation,,,,,,,,,,,,
% DLM Science Participation - Female,,,,,,,,,,,,
% DLM Science Participation - Male,,,,,,,,,,,,
% DLM Science Participation - White,,,,,,,,,,,,
% DLM Science Participation - Black or African American,,,,,,,,,,,,
% DLM Science Participation - Hispanic or Latino,,,,,,,,,,,,
% DLM Science Participation - Asian,,,,,,,,,,,,
% DLM Science Participation - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
% DLM Science Participation - American Indian or Alaska Native,,,,,,,,,,,,
% DLM Science Participation - Two or More Race,,,,,,,,,,,,
% DLM Science Participation - IEP,,,,,,,,,,,,
% DLM Science Participation - EL,,,,,,,,,,,,
% DLM Science Participation - Low Income,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Total,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - White,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Black or African American,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Hispanic or Latino,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Asian,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - American Indian or Alaska Native,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Two or More Races,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Male,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Female,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - CWD,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - IEP,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - EL,,,,,,,,,,,,
DLM-AA ELA No Participation Rate - Low Income,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Total,,,,,,,,,,,,
DLM-AA Math No Participation Rate - White,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Black or African American,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Hispanic or Latino,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Asian,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
DLM-AA Math No Participation Rate - American Indian or Alaska Native,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Two or More Races,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Male,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Female,,,,,,,,,,,,
DLM-AA Math No Participation Rate - CWD,,,,,,,,,,,,
DLM-AA Math No Participation Rate - IEP,,,,,,,,,,,,
DLM-AA Math No Participation Rate - EL,,,,,,,,,,,,
DLM-AA Math No Participation Rate - Low Income,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Total,,,,,,,,,,,,
DLM-AA Science No Participation Rate - White,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Black or African American,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Hispanic or Latino,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Asian,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,
DLM-AA Science No Participation Rate - American Indian or Alaska Native,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Two or More Races,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Male,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Female,,,,,,,,,,,,
DLM-AA Science No Participation Rate - CWD,,,,,,,,,,,,
DLM-AA Science No Participation Rate - IEP,,,,,,,,,,,,
DLM-AA Science No Participation Rate - EL,,,,,,,,,,,,
DLM-AA Science No Participation Rate - Low Income,,,,,,,,,,,,
