unit,smoking,quant_inc,sex,age,geo\time	2019 	2014 
PC,NSM,QU1,F,Y18-64,EE	: 	69.4 
PC,NSM,QU1,F,Y18-64,EL	: 	66.8 
PC,NSM,QU1,F,Y18-64,ES	: 	71.4 
PC,NSM,QU1,F,Y18-64,EU27_2020	: 	71.0 
PC,NSM,QU1,F,Y18-64,EU28	: 	71.1 
PC,NSM,QU1,F,Y18-64,FI	: 	70.4 
PC,NSM,QU1,F,Y18-64,FR	: 	62.9 
PC,NSM,QU1,F,Y18-64,HR	: 	61.0 
PC,NSM,QU1,F,Y18-64,HU	: 	61.8 
PC,NSM,QU1,F,Y18-64,IE	: 	74.9 
PC,NSM,QU1,F,Y18-64,IS	: 	73.3 
PC,NSM,QU1,F,Y18-64,IT	: 	77.7 
PC,NSM,QU1,F,Y18-64,LT	: 	76.8 
PC,NSM,QU1,F,Y18-64,LU	: 	71.0 
PC,NSM,QU1,F,Y18-64,LV	: 	68.2 
PC,NSM,QU1,F,Y18-64,MT	: 	65.2 
PC,NSM,QU1,F,Y18-64,NL	: 	67.7 
PC,NSM,QU1,F,Y18-64,NO	: 	76.1 
PC,NSM,QU1,F,Y18-64,PL	: 	69.5 
PC,NSM,QU1,F,Y18-64,PT	: 	81.3 
PC,NSM,QU1,F,Y18-64,RO	: 	86.1 
PC,NSM,QU1,F,Y18-64,SE	: 	83.8 
PC,NSM,QU1,F,Y18-64,SI	: 	70.3 
PC,NSM,QU1,F,Y18-64,SK	: 	69.2 
PC,NSM,QU1,F,Y18-64,TR	: 	81.0 
PC,NSM,QU1,F,Y18-64,UK	: 	71.8 
PC,NSM,QU1,F,Y20-24,AT	72.4 	66.5 
PC,NSM,QU1,F,Y20-24,BE	86.0 u	: u
PC,NSM,QU1,F,Y20-24,BG	75.4 u	67.3 u
PC,NSM,QU1,F,Y20-24,CY	79.4 u	83.5 
PC,NSM,QU1,F,Y20-24,CZ	70.2 u	80.8 u
PC,NSM,QU1,F,Y20-24,DE	62.8 	74.0 
PC,NSM,QU1,F,Y20-24,DK	66.7 	75.7 
PC,NSM,QU1,F,Y20-24,EE	76.0 u	65.3 u
PC,NSM,QU1,F,Y20-24,EL	88.4 u	66.8 
PC,NSM,QU1,F,Y20-24,ES	72.6 	69.6 
PC,NSM,QU1,F,Y20-24,EU27_2020	71.3 	: 
PC,NSM,QU1,F,Y20-24,EU28	: 	73.9 
PC,NSM,QU1,F,Y20-24,FI	80.8 	72.7 
PC,NSM,QU1,F,Y20-24,FR	71.2 	68.8 
PC,NSM,QU1,F,Y20-24,HR	: u	45.9 u
PC,NSM,QU1,F,Y20-24,HU	65.0 	57.5 u
PC,NSM,QU1,F,Y20-24,IE	66.0 u	: u
PC,NSM,QU1,F,Y20-24,IS	92.6 	65.6 u
PC,NSM,QU1,F,Y20-24,IT	75.3 	80.8 
PC,NSM,QU1,F,Y20-24,LT	: u	65.9 u
PC,NSM,QU1,F,Y20-24,LU	73.0 u	67.3 u
PC,NSM,QU1,F,Y20-24,LV	74.3 u	52.3 u
PC,NSM,QU1,F,Y20-24,MT	: u	: u
PC,NSM,QU1,F,Y20-24,NL	72.7 	61.7 
PC,NSM,QU1,F,Y20-24,NO	87.6 	79.8 
PC,NSM,QU1,F,Y20-24,PL	81.0 	84.9 
PC,NSM,QU1,F,Y20-24,PT	85.6 	75.7 
PC,NSM,QU1,F,Y20-24,RO	87.2 	84.4 
PC,NSM,QU1,F,Y20-24,RS	69.1 	: 
PC,NSM,QU1,F,Y20-24,SE	76.3 u	82.8 
PC,NSM,QU1,F,Y20-24,SI	79.2 u	74.1 u
PC,NSM,QU1,F,Y20-24,SK	70.3 	65.3 u
PC,NSM,QU1,F,Y20-24,TR	90.6 	87.4 
PC,NSM,QU1,F,Y20-24,UK	: 	76.7 
PC,NSM,QU1,F,Y25-29,AT	70.5 	48.8 
PC,NSM,QU1,F,Y25-29,BE	81.5 u	59.5 u
PC,NSM,QU1,F,Y25-29,BG	86.2 u	64.3 u
PC,NSM,QU1,F,Y25-29,CY	71.5 u	60.6 u
PC,NSM,QU1,F,Y25-29,CZ	59.6 u	66.4 u
PC,NSM,QU1,F,Y25-29,DE	67.8 	68.5 
PC,NSM,QU1,F,Y25-29,DK	61.3 u	65.1 u
PC,NSM,QU1,F,Y25-29,EE	: u	63.0 u
PC,NSM,QU1,F,Y25-29,EL	72.6 u	69.7 
PC,NSM,QU1,F,Y25-29,ES	75.5 	68.4 
PC,NSM,QU1,F,Y25-29,EU27_2020	70.6 	: 
PC,NSM,QU1,F,Y25-29,EU28	: 	66.9 
PC,NSM,QU1,F,Y25-29,FI	80.3 	64.3 u
PC,NSM,QU1,F,Y25-29,FR	58.0 	49.5 
PC,NSM,QU1,F,Y25-29,HR	: u	: u
PC,NSM,QU1,F,Y25-29,HU	60.5 u	58.5 u
PC,NSM,QU1,F,Y25-29,IE	77.2 u	70.4 u
PC,NSM,QU1,F,Y25-29,IS	76.0 u	75.6 u
PC,NSM,QU1,F,Y25-29,IT	80.2 	75.6 
PC,NSM,QU1,F,Y25-29,LT	: u	83.3 u
PC,NSM,QU1,F,Y25-29,LU	77.3 u	80.2 u
PC,NSM,QU1,F,Y25-29,LV	: u	47.5 u
PC,NSM,QU1,F,Y25-29,MT	: u	: u
PC,NSM,QU1,F,Y25-29,NL	71.9 	65.9 u
PC,NSM,QU1,F,Y25-29,NO	83.6 	86.2 
PC,NSM,QU1,F,Y25-29,PL	62.8 u	79.0 
PC,NSM,QU1,F,Y25-29,PT	83.7 	76.0 
PC,NSM,QU1,F,Y25-29,RO	72.1 	76.3 
PC,NSM,QU1,F,Y25-29,RS	86.5 u	: 
PC,NSM,QU1,F,Y25-29,SE	84.8 u	88.3 
PC,NSM,QU1,F,Y25-29,SI	: u	76.9 u
PC,NSM,QU1,F,Y25-29,SK	61.0 u	58.3 
PC,NSM,QU1,F,Y25-29,TR	82.8 	76.1 
PC,NSM,QU1,F,Y25-29,UK	: 	61.5 
PC,NSM,QU1,F,Y25-34,AT	61.6 	50.9 
PC,NSM,QU1,F,Y25-34,BE	72.6 	63.8 u
PC,NSM,QU1,F,Y25-34,BG	71.8 u	60.2 
PC,NSM,QU1,F,Y25-34,CY	75.4 	70.2 
PC,NSM,QU1,F,Y25-34,CZ	59.9 	67.1 
PC,NSM,QU1,F,Y25-34,DE	59.8 	68.6 
PC,NSM,QU1,F,Y25-34,DK	64.4 	68.3 
PC,NSM,QU1,F,Y25-34,EE	66.8 u	60.2 
PC,NSM,QU1,F,Y25-34,EL	74.0 u	64.8 
PC,NSM,QU1,F,Y25-34,ES	71.8 	70.2 
PC,NSM,QU1,F,Y25-34,EU27_2020	69.3 	68.3 
PC,NSM,QU1,F,Y25-34,EU28	: 	67.9 
PC,NSM,QU1,F,Y25-34,FI	82.3 	61.7 
PC,NSM,QU1,F,Y25-34,FR	62.9 	53.7 
PC,NSM,QU1,F,Y25-34,HR	: u	67.1 u
PC,NSM,QU1,F,Y25-34,HU	53.6 	52.9 
PC,NSM,QU1,F,Y25-34,IE	74.6 	74.3 
PC,NSM,QU1,F,Y25-34,IS	78.7 	68.5 
PC,NSM,QU1,F,Y25-34,IT	79.4 	79.6 
PC,NSM,QU1,F,Y25-34,LT	: u	73.9 
PC,NSM,QU1,F,Y25-34,LU	76.9 	74.7 
PC,NSM,QU1,F,Y25-34,LV	71.1 u	54.0 
PC,NSM,QU1,F,Y25-34,MT	63.7 u	53.0 u
PC,NSM,QU1,F,Y25-34,NL	72.0 	66.0 
PC,NSM,QU1,F,Y25-34,NO	81.6 	85.2 
PC,NSM,QU1,F,Y25-34,PL	74.2 	73.6 
PC,NSM,QU1,F,Y25-34,PT	83.0 	75.9 
PC,NSM,QU1,F,Y25-34,RO	75.0 	81.7 
PC,NSM,QU1,F,Y25-34,RS	82.2 	: 
PC,NSM,QU1,F,Y25-34,SE	80.2 	86.8 
PC,NSM,QU1,F,Y25-34,SI	72.5 u	67.8 
PC,NSM,QU1,F,Y25-34,SK	66.7 	59.5 
PC,NSM,QU1,F,Y25-34,TR	80.3 	74.7 
PC,NSM,QU1,F,Y25-34,UK	: 	65.3 
PC,NSM,QU1,F,Y25-64,AT	: 	61.9 
PC,NSM,QU1,F,Y25-64,BE	: 	60.9 u
PC,NSM,QU1,F,Y25-64,BG	: 	64.1 
PC,NSM,QU1,F,Y25-64,CY	: 	79.0 
PC,NSM,QU1,F,Y25-64,CZ	: 	65.7 
PC,NSM,QU1,F,Y25-64,DE	: 	69.4 
PC,NSM,QU1,F,Y25-64,DK	: 	64.1 
PC,NSM,QU1,F,Y25-64,EE	: 	69.9 
PC,NSM,QU1,F,Y25-64,EL	: 	65.3 
PC,NSM,QU1,F,Y25-64,ES	: 	70.7 
PC,NSM,QU1,F,Y25-64,EU27_2020	: 	70.1 
PC,NSM,QU1,F,Y25-64,EU28	: 	70.1 
PC,NSM,QU1,F,Y25-64,FI	: 	69.4 
PC,NSM,QU1,F,Y25-64,FR	: 	61.1 
PC,NSM,QU1,F,Y25-64,HR	: 	63.5 
PC,NSM,QU1,F,Y25-64,HU	: 	61.1 
PC,NSM,QU1,F,Y25-64,IE	: 	76.4 
PC,NSM,QU1,F,Y25-64,IS	: 	73.1 
PC,NSM,QU1,F,Y25-64,IT	: 	77.5 
PC,NSM,QU1,F,Y25-64,LT	: 	78.2 
PC,NSM,QU1,F,Y25-64,LU	: 	71.0 
PC,NSM,QU1,F,Y25-64,LV	: 	69.6 
PC,NSM,QU1,F,Y25-64,MT	: 	65.3 
PC,NSM,QU1,F,Y25-64,NL	: 	69.2 
PC,NSM,QU1,F,Y25-64,NO	: 	74.6 
PC,NSM,QU1,F,Y25-64,PL	: 	66.6 
PC,NSM,QU1,F,Y25-64,PT	: 	81.9 
PC,NSM,QU1,F,Y25-64,RO	: 	86.3 
PC,NSM,QU1,F,Y25-64,SE	: 	88.0 
PC,NSM,QU1,F,Y25-64,SI	: 	70.4 
PC,NSM,QU1,F,Y25-64,SK	: 	69.4 
PC,NSM,QU1,F,Y25-64,TR	: 	79.6 
PC,NSM,QU1,F,Y25-64,UK	: 	70.3 
PC,NSM,QU1,F,Y35-44,AT	65.3 	59.5 
PC,NSM,QU1,F,Y35-44,BE	81.9 	60.8 u
