RESIDENT POPULATION OF STATES (by single year to 85+ and sex):
July 1, 1982 estimates
Source: Population Distribution Branch and Population Estimates Branch
         U.S. Bureau of the Census
Release date:  June 4, 1996 

The July 1982 intercensal estimates in this file are consistent
with and described in Current Population Reports, Series P25-1106.

--------------------------------------------------------------------------------
File Layout

Field
Location         Length        Field

1-2              2             FIPS Code state
3-6              4             Blank
7-8              2             State postal abbreviation
9-10             3             Blank
11-12            2             Age  (85 = 85+)
13-24            12            4/1/80 census both sexes population
25-36            12            4/1/80 census male population
37-48            12            4/1/80 census female population
------------------------------------------------------------------------


FIPS             7/1/82      7/1/82      7/1/82
Code    Age  Both sexes        Male      Female

06    CA 61      227787      108109      119678
06    CA 62      205737       97154      108583
06    CA 63      195609       91359      104250
06    CA 64      197604       91915      105689
06    CA 65      190223       87607      102616
06    CA 66      178504       81819       96685
06    CA 67      174832       79002       95830
06    CA 68      167267       74879       92388
06    CA 69      162606       71306       91300
06    CA 70      151914       66473       85441
06    CA 71      143194       62216       80978
06    CA 72      134946       57905       77041
06    CA 73      125271       52701       72570
06    CA 74      119261       49139       70122
06    CA 75      111002       45515       65487
06    CA 76      102389       41164       61225
06    CA 77       94498       37101       57397
06    CA 78       87535       33733       53802
06    CA 79       80578       30231       50347
06    CA 80       72950       26768       46182
06    CA 81       64987       23016       41971
06    CA 82       57352       20140       37212
06    CA 83       52920       17823       35097
06    CA 84       47738       15633       32105
06    CA 85      235779       67514      168265
08    CO  0       53883       27576       26307
08    CO  1       49957       25614       24343
08    CO  2       47713       24286       23427
08    CO  3       45853       23493       22360
08    CO  4       44322       22771       21551
08    CO  5       43748       22414       21334
08    CO  6       41562       21262       20300
08    CO  7       42612       21852       20760
08    CO  8       40029       20524       19505
08    CO  9       42386       21647       20739
08    CO 10       45485       23329       22156
08    CO 11       49243       25191       24052
08    CO 12       48368       24596       23772
08    CO 13       47607       24190       23417
08    CO 14       45941       23467       22474
08    CO 15       46016       23550       22466
08    CO 16       46486       23750       22736
08    CO 17       50034       25518       24516
08    CO 18       52497       27003       25494
08    CO 19       56483       29212       27271
08    CO 20       59021       30437       28584
08    CO 21       60357       31343       29014
08    CO 22       59917       30723       29194
08    CO 23       60625       30755       29870
08    CO 24       62867       31872       30995
08    CO 25       64655       32839       31816
08    CO 26       63728       32157       31571
08    CO 27       64943       32924       32019
08    CO 28       62366       31514       30852
08    CO 29       66592       33849       32743
08    CO 30       64541       32989       31552
08    CO 31       61902       31394       30508
08    CO 32       59530       30371       29159
08    CO 33       58007       29141       28866
08    CO 34       58485       29735       28750
08    CO 35       61223       31018       30205
08    CO 36       42573       21368       21205
08    CO 37       42642       21410       21232
08    CO 38       40818       20329       20489
08    CO 39       43821       21980       21841
08    CO 40       38481       19253       19228
08    CO 41       34613       17180       17433
08    CO 42       32936       16527       16409
08    CO 43       32671       16395       16276
08    CO 44       32152       16127       16025
08    CO 45       30132       15138       14994
08    CO 46       29899       14954       14945
08    CO 47       29710       14697       15013
08    CO 48       27024       13607       13417
08    CO 49       27905       14000       13905
08    CO 50       28455       14091       14364
08    CO 51       28000       13811       14189
08    CO 52       27631       13572       14059
08    CO 53       27762       13495       14267
08    CO 54       27966       13615       14351
08    CO 55       26438       12650       13788
08    CO 56       25648       12316       13332
08    CO 57       26537       12797       13740
08    CO 58       25560       12246       13314
08    CO 59       25256       12051       13205
08    CO 60       25964       12507       13457
08    CO 61       24296       11737       12559
08    CO 62       21945       10439       11506
08    CO 63       21225       10023       11202
08    CO 64       21510       10100       11410
08    CO 65       19447        9006       10441
08    CO 66       18679        8587       10092
08    CO 67       17281        7695        9586
08    CO 68       16671        7590        9081
08    CO 69       16442        7186        9256
08    CO 70       15375        6712        8663
08    CO 71       14580        6265        8315
08    CO 72       13797        5787        8010
08    CO 73       12797        5463        7334
08    CO 74       12283        5147        7136
08    CO 75       11218        4527        6691
08    CO 76       10667        4288        6379
08    CO 77        9817        3788        6029
08    CO 78        8995        3484        5511
08    CO 79        8069        3058        5011
08    CO 80        7480        2650        4830
08    CO 81        6798        2409        4389
08    CO 82        5936        1979        3957
08    CO 83        5517        1882        3635
08    CO 84        5101        1684        3417
08    CO 85       26065        7482       18583
09    CT  0       40354       20770       19584
09    CT  1       38100       19430       18670
09    CT  2       37862       19261       18601
09    CT  3       37707       19141       18566
09    CT  4       37316       19090       18226
09    CT  5       37153       19161       17992
09    CT  6       36180       18628       17552
09    CT  7       37896       19250       18646
09    CT  8       36090       18448       17642
09    CT  9       39037       20110       18927
09    CT 10       43372       22031       21341
09    CT 11       48602       24800       23802
09    CT 12       49268       25150       24118
09    CT 13       49329       25169       24160
09    CT 14       49180       25116       24064
09    CT 15       51470       26213       25257
09    CT 16       54204       27644       26560
09    CT 17       57384       29213       28171
09    CT 18       57734       29444       28290
09    CT 19       59585       29922       29663
09    CT 20       57365       28562       28803
09    CT 21       55690       27674       28016
09    CT 22       53315       26777       26538
09    CT 23       54683       27333       27350
09    CT 24       55281       27435       27846
09    CT 25       55152       27678       27474
09    CT 26       53096       26359       26737
09    CT 27       52554       26098       26456
09    CT 28       49945       24617       25328
09    CT 29       52988       26141       26847
09    CT 30       51227       25203       26024
09    CT 31       48598       23830       24768
09    CT 32       47906       23441       24465
09    CT 33       48458       23366       25092
09    CT 34       51215       25042       26173
09    CT 35       56307       27579       28728
09    CT 36       41089       20021       21068
09    CT 37       41766       20372       21394
09    CT 38       41734       20317       21417
09    CT 39       47854       23433       24421
09    CT 40       40749       19629       21120
09    CT 41       35621       17303       18318
09    CT 42       33811       16445       17366
09    CT 43       33802       16309       17493
09    CT 44       34027       16628       17399
09    CT 45       31696       15381       16315
09    CT 46       31426       15211       16215
09    CT 47       31977       15528       16449
09    CT 48       29396       14342       15054
09    CT 49       31165       15136       16029
09    CT 50       32660       15693       16967
09    CT 51       33398       16144       17254
09    CT 52       33583       16454       17129
09    CT 53       34389       16752       17637
09    CT 54       36153       17396       18757
09    CT 55       34817       16663       18154
09    CT 56       34112       16225       17887
09    CT 57       35976       17121       18855
09    CT 58       34234       16294       17940
09    CT 59       34004       16113       17891
09    CT 60       34832       16501       18331
09    CT 61       33514       15814       17700
09    CT 62       30882       14377       16505
09    CT 63       30328       14215       16113
09    CT 64       31154       14421       16733
09    CT 65       30130       13889       16241
09    CT 66       28019       12715       15304
09    CT 67       26205       11756       14449
09    CT 68       25321       11309       14012
09    CT 69       23979       10262       13717
09    CT 70       22529        9532       12997
09    CT 71       21056        8886       12170
09    CT 72       20188        8359       11829
09    CT 73       18739        7677       11062
09    CT 74       17544        6936       10608
09    CT 75       16580        6410       10170
09    CT 76       15190        5819        9371
09    CT 77       13947        5157        8790
09    CT 78       13101        4745        8356
09    CT 79       11603        3918        7685
09    CT 80       10489        3570        6919
09    CT 81        9577        3126        6451
09    CT 82        8666        2818        5848
09    CT 83        8173        2648        5525
09    CT 84        7465        2295        5170
09    CT 85       38759       10641       28118
10    DE  0        9174        4736        4438
10    DE  1        8958        4558        4400
10    DE  2        8724        4431        4293
10    DE  3        8565        4370        4195
10    DE  4        8322        4219        4103
10    DE  5        8095        4106        3989
10    DE  6        7700        3936        3764
10    DE  7        7923        4024        3899
10    DE  8        7363        3760        3603
10    DE  9        7966        4101        3865
10    DE 10        8848        4511        4337
10    DE 11        9539        4923        4616
10    DE 12        9429        4726        4703
10    DE 13        9250        4695        4555
10    DE 14        9265        4774        4491
10    DE 15        9847        4986        4861
10    DE 16       10319        5242        5077
10    DE 17       10765        5406        5359
10    DE 18       11347        5529        5818
10    DE 19       12102        5770        6332
10    DE 20       12576        6056        6520
10    DE 21       12747        6137        6610
10    DE 22       12042        5936        6106
10    DE 23       12018        5902        6116
10    DE 24       11847        5884        5963
10    DE 25       11297        5583        5714
10    DE 26       10547        5216        5331
10    DE 27       10394        5071        5323
10    DE 28        9547        4644        4903
10    DE 29       10158        5012        5146
10    DE 30        9641        4727        4914
10    DE 31        9295        4529        4766
10    DE 32        9040        4365        4675
10    DE 33        9137        4514        4623
10    DE 34        9479        4682        4797
10    DE 35       10182        4965        5217
10    DE 36        7278        3530        3748
10    DE 37        7317        3560        3757
10    DE 38        7312        3561        3751
10    DE 39        8201        4001        4200
10    DE 40        7329        3589        3740
10    DE 41        6598        3227        3371
10    DE 42        6260        3078        3182
10    DE 43        6286        3060        3226
10    DE 44        6353        3065        3288
10    DE 45        5908        2897        3011
10    DE 46        5844        2824        3020
10    DE 47        6043        2947        3096
10    DE 48        5614        2735        2879
10    DE 49        5959        2927        3032
10    DE 50        6178        2960        3218
10    DE 51        6187        3012        3175
10    DE 52        6143        2959        3184
10    DE 53        6230        3024        3206
10    DE 54        6431        3108        3323
10    DE 55        6159        2915        3244
10    DE 56        6165        2943        3222
10    DE 57        6345        2969        3376
10    DE 58        6139        2876        3263
10    DE 59        6060        2866        3194
10    DE 60        6210        2963        3247
10    DE 61        5880        2815        3065
10    DE 62        5568        2642        2926
10    DE 63        5224        2488        2736
10    DE 64        5269        2468        2801
10    DE 65        5081        2369        2712
10    DE 66        4661        2190        2471
10    DE 67        4548        2062        2486
10    DE 68        4317        1889        2428
10    DE 69        4027        1728        2299
10    DE 70        3621        1578        2043
10    DE 71        3549        1490        2059
10    DE 72        3203        1321        1882
10    DE 73        3121        1215        1906
10    DE 74        2972        1131        1841
10    DE 75        2626        1018        1608
10    DE 76        2443         962        1481
10    DE 77        2215         822        1393
10    DE 78        2019         737        1282
10    DE 79        1917         678        1239
10    DE 80        1705         574        1131
10    DE 81        1578         519        1059
10    DE 82        1370         441         929
10    DE 83        1302         413         889
10    DE 84        1120         334         786
10    DE 85        5803        1564        4239
11    DC  0        8748        4442        4306
11    DC  1        8222        4131        4091
11    DC  2        7012        3548        3464
11    DC  3        6541        3236        3305
11    DC  4        6384        3235        3149
11    DC  5        6246        3176        3070
11    DC  6        5894        3039        2855
11    DC  7        6109        3111        2998
11    DC  8        5873        2983        2890
11    DC  9        6441        3291        3150
11    DC 10        7645        3837        3808
11    DC 11        8392        4250        4142
11    DC 12        8144        4039        4105
11    DC 13        7884        3941        3943
11    DC 14        7948        4031        3917
11    DC 15        8462        4195        4267
11    DC 16        8979        4487        4492
11    DC 17        9511        4730        4781
11    DC 18       10564        5115        5449
11    DC 19       11700        5461        6239
11    DC 20       13437        6399        7038
11    DC 21       15027        6987        8040
11    DC 22       14551        6652        7899
11    DC 23       14727        6757        7970
11    DC 24       14905        6912        7993
11    DC 25       15272        7075        8197
11    DC 26       14441        6806        7635
11    DC 27       14378        6848        7530
11    DC 28       13039        6141        6898
11    DC 29       13418        6480        6938
11    DC 30       13007        6280        6727
11    DC 31       12515        5936        6579
11    DC 32       12041        5729        6312
11    DC 33       11301        5399        5902
11    DC 34       11328        5510        5818
11    DC 35       11324        5533        5791
11    DC 36        8282        3942        4340
11    DC 37        8496        4042        4454
11    DC 38        7889        3802        4087
11    DC 39        8609        4203        4406
11    DC 40        7582        3654        3928
11    DC 41        6974        3311        3663
11    DC 42        6724        3237        3487
11    DC 43        6491        3072        3419
11    DC 44        6393        3079        3314
11    DC 45        5847        2784        3063
11    DC 46        5826        2688        3138
11    DC 47        5868        2770        3098
11    DC 48        5484        2539        2945
11    DC 49        5898        2766        3132
11    DC 50        5729        2657        3072
11    DC 51        5783        2691        3092
11    DC 52        6101        2829        3272
11    DC 53        6291        2889        3402
11    DC 54        6454        2931        3523
11    DC 55        6321        2836        3485
11    DC 56        6354        2846        3508
11    DC 57        6668        2950        3718
11    DC 58        6338        2776        3562
11    DC 59        6609        3027        3582
11    DC 60        6479        2852        3627
11    DC 61        6191        2815        3376
11    DC 62        5951        2523        3428
11    DC 63        5530        2363        3167
11    DC 64        5592        2298        3294
11    DC 65        5377        2240        3137
11    DC 66        4983        2068        2915
11    DC 67        5133        1989        3144
11    DC 68        4761        1914        2847
11    DC 69        4861        1999        2862
11    DC 70        4456        1769        2687
11    DC 71        4185        1632        2553
11    DC 72        3984        1483        2501
11    DC 73        3634        1384        2250
11    DC 74        3679        1387        2292
11    DC 75        3212        1201        2011
11    DC 76        2929        1037        1892
11    DC 77        2748         939        1809
11    DC 78        2496         853        1643
11    DC 79        2380         796        1584
