ochaPCode,name,dcid,errors
CN043040,"Hengyang Prefecture, China",wikidataId/Q144663,
CN043070,"Shaoyang Prefecture, China",wikidataId/Q194531,
CN043110,"Yongzhou Prefecture, China",wikidataId/Q266014,
CN044140,"Shaoguan Prefecture, China",wikidataId/Q59107,
CN044060,"Huizhou Prefecture, China",wikidataId/Q59173,
CN044030,"Foshan Prefecture, China",wikidataId/Q34412,
CN044170,"Yunfu Prefecture, China",wikidataId/Q59233,
CN044150,"Shenzhen Prefecture, China",wikidataId/Q15174,
CN044130,"Shanwei Prefecture, China",wikidataId/Q59189,
CN044050,"Heyuan Prefecture, China",wikidataId/Q59205,
CN044080,"Jieyang Prefecture, China",wikidataId/Q26323,
CN044120,"Shantou Prefecture, China",wikidataId/Q59100,
CN044010,"Chaozhou Prefecture, China",wikidataId/Q59227,
CN044100,"Meizhou Prefecture, China",wikidataId/Q59184,
CN035090,"Zhangzhou Prefecture, China",wikidataId/Q68814,
CN035080,"Xiamen Prefecture, China",wikidataId/Q68744,
CN035020,"Longyan Prefecture, China",wikidataId/Q68862,
CN035060,"Quanzhou Prefecture, China",wikidataId/Q68695,
CN035050,"Putian Prefecture, China",wikidataId/Q68579,
CN035010,"Fuzhou Prefecture, China",wikidataId/Q68481,
CN035070,"Sanming Prefecture, China",wikidataId/Q68614,
CN035030,"Nanping Prefecture, China",wikidataId/Q68534,
CN036010,"Fuzhou Prefecture, China",wikidataId/Q68481,
CN036110,"Yingtan Prefecture, China",wikidataId/Q363076,
CN036030,"Ji'an Prefecture, China",wikidataId/Q1016720,
CN036020,"Ganzhou Prefecture, China",wikidataId/Q363166,
CN043030,"Chenzhou Prefecture, China",wikidataId/Q416748,
CN036090,"Xinyu Prefecture, China",wikidataId/Q362959,
CN036100,"Yichun Prefecture, China",wikidataId/Q349976,
CN036060,"Nanchang Prefecture, China",wikidataId/Q171943,
CN036050,"Jiujiang Prefecture, China",wikidataId/Q216077,
CN036080,"Shangrao Prefecture, China",wikidataId/Q363479,
CN036040,"Jingdezhen Prefecture, China",wikidataId/Q34405,
CN034100,"Huangshan Prefecture, China",wikidataId/Q180470,
CN034040,"Chizhou Prefecture, China",wikidataId/Q360870,
CN034140,"Tongling Prefecture, China",wikidataId/Q360326,
