Date,StateCode,value,StatVar,unit
2012-03-01,country/IND,13705740000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2013-03-01,country/IND,12253260000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2014-03-01,country/IND,11819910000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2015-03-01,country/IND,10867000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2016-03-01,country/IND,9596590000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2006-03-01,country/IND,1175000000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2007-03-01,country/IND,1377000000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2008-03-01,country/IND,1432000000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2009-03-01,country/IND,1105000000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2010-03-01,country/IND,1264000000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2011-03-01,country/IND,1309000000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2012-03-01,country/IND,1857690000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2013-03-01,country/IND,2485960000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2014-03-01,country/IND,2404660000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2015-03-01,country/IND,2889670000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2016-03-01,country/IND,3733280000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2006-03-01,country/IND,6648840000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2007-03-01,country/IND,8948340000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2008-03-01,country/IND,10932480000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2009-03-01,country/IND,10590840000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2010-03-01,country/IND,11599992000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2011-03-01,country/IND,11758986000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2019-04-01,country/IND,269430000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,129160000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,113750000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,100780000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,79260000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,132100000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,54350000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,1777040000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-04-01,country/IND,-76440000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,269260000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,130949999.99999999,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,113340000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,99000000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,73480000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,147780000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,55480000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,1849620000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-05-01,country/IND,-76560000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,68200000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,4840000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,224860000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,89100000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,137880000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,67750000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,136150000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-04-01,country/IND,1382180000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,68710000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,4240000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,265950000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,91180000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,148820000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,77760000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,143770000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-05-01,country/IND,1446760000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,67820000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,3280000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,262779999.99999997,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,93370000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,156980000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,76050000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,129610000.00000001,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-06-01,country/IND,1484080000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,61840000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,4790000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,244770000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,98870000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,177920000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,76480000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,133020000.00000001,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-07-01,country/IND,1592350000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,77570000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,4210000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,238090000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,115550000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,198090000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,97080000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,113100000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-01-01,country/IND,1709030000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,71790000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,4630000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,229220000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,107330000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,161390000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,86760000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,90640000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-02-01,country/IND,1532390000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,74140000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,5000000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,241820000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,107670000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,179240000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,88630000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,95370000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2020-03-01,country/IND,1565200000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,73440000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,2640000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,263450000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,112670000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,133139999.99999999,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,90400000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,145060000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-06-01,country/IND,1761120000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,77890000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,2950000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,287470000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,114790000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,150790000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,67870000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,148920000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-07-01,country/IND,1811380000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,76930000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,4350000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,286340000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,113660000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,160560000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,96270000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
