udise_district_code,udise_block_code,block_name
3628,udiseCode/362815,Balmoor
2222,udiseCode/222201,Balod
2206,udiseCode/220602,Baloda
2224,udiseCode/222420,Baloda Bazar
0817,udiseCode/081703,Balotra
0952,udiseCode/095224,Balrampur
1010,udiseCode/101009,Balrampur
2226,udiseCode/222610,Balrampur
0952,udiseCode/095229,Balrampur(Mun. Corp.)
2117,udiseCode/211711,Balugaon Nac
2022,udiseCode/202207,Balumath
1905,udiseCode/190506,Balurghat
1905,udiseCode/190510,Balurghat Municipality
3204,udiseCode/320401,Balussery
0810,udiseCode/081001,Bamanwas
1203,udiseCode/120302,Bameng
1203,udiseCode/120311,Bameng
1203,udiseCode/120310,Bameng Ii
2206,udiseCode/220604,Bamhnindih
0322,udiseCode/032214,Bamial
1906,udiseCode/190613,Bamongola
0936,udiseCode/093602,Bamore
2307,udiseCode/230703,Bamori
2103,udiseCode/210301,Bamra
1601,udiseCode/160121,Bamutia
1203,udiseCode/120308,Bana
2821,udiseCode/282144,Banaganapalli
0960,udiseCode/096010,Banakata
2117,udiseCode/211703,Banapur
2117,udiseCode/211712,Banapur Nac
2115,udiseCode/211503,Banarpal
0922,udiseCode/092206,Banda
2311,udiseCode/231109,Banda
2017,udiseCode/201701,Bandgaon
2129,udiseCode/212901,Bandhugam
2821,udiseCode/282133,Bandiatmakur
0811,udiseCode/081101,Bandikui
0116,udiseCode/011601,Bandipora
3622,udiseCode/362212,Bandlaguda
1014,udiseCode/101416,Bandra
1914,udiseCode/191404,Bandwan
0824,udiseCode/082404,Banera
0306,udiseCode/030603,Banga
0207,udiseCode/020706,Bangana
2919,udiseCode/291902,Bangarapete
2823,udiseCode/282357,Bangarupalem
2124,udiseCode/212403,Bangomunda
0936,udiseCode/093603,Bangra
2107,udiseCode/210702,Bangriposi
0114,udiseCode/011417,Bani
1017,udiseCode/101702,Baniapur
0118,udiseCode/011821,Banihal
0201,udiseCode/020101,Banikhet
0946,udiseCode/094605,Bani Kodar
0904,udiseCode/090405,Baniyakhera
0968,udiseCode/096805,Baniyakhera
0204,udiseCode/020404,Banjar
1002,udiseCode/100203,Banjaria
1023,udiseCode/102325,Banka
0955,udiseCode/095504,Bankati
1002,udiseCode/100204,Bankatwa
0923,udiseCode/092315,Bankeganj
1035,udiseCode/103514,Bankey Bazar
2337,udiseCode/233701,Bankhedi
0946,udiseCode/094604,Banki
2112,udiseCode/211202,Banki
2112,udiseCode/211216,Banki Nac
1913,udiseCode/191301,Bankura-I
1913,udiseCode/191302,Bankura-Ii
1913,udiseCode/191323,Bankura Municipality
1012,udiseCode/101210,Banma Itahari
1009,udiseCode/100907,Banmankhi
2021,udiseCode/202106,Bano
1912,udiseCode/191220,Bansberia Municipality
0963,udiseCode/096309,Bansdeeh
1905,udiseCode/190505,Banshihari
0954,udiseCode/095403,Bansi
2021,udiseCode/202109,Bansjor
2106,udiseCode/210602,Banspal
