Detail Data For Vidyut Pravah Data Having Year : ALL
.
State,YearValue,MonthValue,DayValue,Shrotage_MW,MaxDemand_MW,FileName,DateInFile
PONDY,2019,10,6,0.000,347.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
BIHAR,2019,10,6,0.000,5121.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
DVC,2019,10,6,0.000,2800.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
JHARKHAND,2019,10,6,0.000,1102.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
ODISHA,2019,10,6,0.000,3859.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
WEST BENGAL,2019,10,6,0.000,7058.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
SIKKIM,2019,10,6,0.000,63.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
ARUNACHAL PRADESH,2019,10,6,0.000,126.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
ASSAM,2019,10,6,13.000,1636.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
MANIPUR,2019,10,6,2.000,157.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
MEGHALAYA,2019,10,6,0.000,293.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
MIZORAM,2019,10,6,1.000,83.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
NAGALAND,2019,10,6,2.000,129.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
TRIPURA,2019,10,6,2.000,277.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
ALL INDIA,2019,10,6,464.000,145833.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
PUNJAB,2019,10,7,0.000,6976.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
HARYANA,2019,10,7,0.000,7087.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
RAJASTHAN,2019,10,7,0.000,8301.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
DELHI,2019,10,7,0.000,3943.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
UP,2019,10,7,0.000,16653.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
UTTARAKHAND,2019,10,7,0.000,1739.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
HP,2019,10,7,0.000,1394.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
J&K,2019,10,7,478.000,1914.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
CHANDIGARH,2019,10,7,0.000,211.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
CHHATTISGARH,2019,10,7,0.000,3540.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
GUJARAT,2019,10,7,0.000,13531.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
MP,2019,10,7,0.000,7916.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
MAHARASHTRA,2019,10,7,0.000,18407.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
GOA,2019,10,7,0.000,541.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
DD,2019,10,7,0.000,322.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
DNH,2019,10,7,0.000,718.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
ESSAR STEEL,2019,10,7,0.000,348.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
ANDHRA PRADESH,2019,10,7,0.000,8214.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
TELANGANA,2019,10,7,0.000,8170.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
KARNATAKA,2019,10,7,0.000,6662.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
KERALA,2019,10,7,0.000,3270.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
TAMIL NADU,2019,10,7,0.000,12010.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
PONDY,2019,10,7,0.000,316.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
BIHAR,2019,10,7,0.000,4930.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
DVC,2019,10,7,0.000,2609.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
JHARKHAND,2019,10,7,0.000,1045.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
ODISHA,2019,10,7,0.000,3844.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
WEST BENGAL,2019,10,7,0.000,6509.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
SIKKIM,2019,10,7,0.000,40.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
ARUNACHAL PRADESH,2019,10,7,0.000,115.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
ASSAM,2019,10,7,24.000,1451.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
MANIPUR,2019,10,7,2.000,160.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
MEGHALAYA,2019,10,7,0.000,291.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
MIZORAM,2019,10,7,1.000,94.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
NAGALAND,2019,10,7,3.000,151.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
TRIPURA,2019,10,7,3.000,257.000,NICSI_07-Oct-2019.csv,08/10/2019 09:05:00
