Detail Data For Electricity Consumption per Capita by Broad Category And Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_KWh_PerCapita
NR,JAMMU & KASHMIR,TRACTION,TRANSPORT,2018,1.160
NR,JAMMU & KASHMIR,AGRICULTURE,AGRICULTURE,2019,27.400
NR,JAMMU & KASHMIR,COMMERCIAL,COMMERCIAL,2019,99.200
NR,JAMMU & KASHMIR,RESIDENTIAL,RESIDENTIAL,2019,315.130
NR,JAMMU & KASHMIR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,98.650
NR,JAMMU & KASHMIR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,47.220
NR,JAMMU & KASHMIR,MISCELLANEOUS,OTHER,2019,107.260
NR,JAMMU & KASHMIR,PUBLIC LIGHTING,OTHER,2019,4.660
NR,JAMMU & KASHMIR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,55.040
NR,JAMMU & KASHMIR,TRACTION,TRANSPORT,2019,1.820
SR,KERALA,AGRICULTURE,AGRICULTURE,2006,5.700
SR,KERALA,COMMERCIAL,COMMERCIAL,2006,33.332
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2006,140.204
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,96.470
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,26.974
SR,KERALA,MISCELLANEOUS,OTHER,2006,4.046
SR,KERALA,PUBLIC LIGHTING,OTHER,2006,6.224
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,2.693
SR,KERALA,TRACTION,TRANSPORT,2006,1.736
SR,KERALA,AGRICULTURE,AGRICULTURE,2007,6.553
SR,KERALA,COMMERCIAL,COMMERCIAL,2007,37.624
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2007,155.061
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,101.818
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,28.632
SR,KERALA,MISCELLANEOUS,OTHER,2007,6.517
SR,KERALA,PUBLIC LIGHTING,OTHER,2007,6.782
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,2.903
SR,KERALA,TRACTION,TRANSPORT,2007,2.140
SR,KERALA,AGRICULTURE,AGRICULTURE,2008,7.063
SR,KERALA,COMMERCIAL,COMMERCIAL,2008,56.021
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2008,164.980
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,77.987
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,25.670
SR,KERALA,MISCELLANEOUS,OTHER,2008,4.059
SR,KERALA,PUBLIC LIGHTING,OTHER,2008,7.298
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,9.422
SR,KERALA,TRACTION,TRANSPORT,2008,3.208
SR,KERALA,AGRICULTURE,AGRICULTURE,2009,6.919
SR,KERALA,COMMERCIAL,COMMERCIAL,2009,61.990
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2009,175.266
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,81.818
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,30.802
SR,KERALA,MISCELLANEOUS,OTHER,2009,1.090
SR,KERALA,PUBLIC LIGHTING,OTHER,2009,8.673
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,2.076
SR,KERALA,TRACTION,TRANSPORT,2009,4.186
SR,KERALA,AGRICULTURE,AGRICULTURE,2010,7.773
SR,KERALA,COMMERCIAL,COMMERCIAL,2010,74.186
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2010,193.366
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,95.783
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,31.239
SR,KERALA,MISCELLANEOUS,OTHER,2010,3.422
SR,KERALA,PUBLIC LIGHTING,OTHER,2010,8.921
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,2.267
SR,KERALA,TRACTION,TRANSPORT,2010,4.825
SR,KERALA,AGRICULTURE,AGRICULTURE,2011,6.979
SR,KERALA,COMMERCIAL,COMMERCIAL,2011,80.262
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2011,201.456
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,99.536
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,30.706
SR,KERALA,MISCELLANEOUS,OTHER,2011,2.953
SR,KERALA,PUBLIC LIGHTING,OTHER,2011,7.787
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,2.335
SR,KERALA,TRACTION,TRANSPORT,2011,4.540
SR,KERALA,AGRICULTURE,AGRICULTURE,2012,8.844
SR,KERALA,COMMERCIAL,COMMERCIAL,2012,91.863
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2012,232.810
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,111.143
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,33.007
SR,KERALA,MISCELLANEOUS,OTHER,2012,3.470
SR,KERALA,PUBLIC LIGHTING,OTHER,2012,8.897
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,2.538
SR,KERALA,TRACTION,TRANSPORT,2012,4.630
SR,KERALA,AGRICULTURE,AGRICULTURE,2013,5.513
SR,KERALA,COMMERCIAL,COMMERCIAL,2013,86.675
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2013,239.916
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,115.369
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,31.697
SR,KERALA,MISCELLANEOUS,OTHER,2013,3.590
SR,KERALA,PUBLIC LIGHTING,OTHER,2013,9.044
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,1.578
SR,KERALA,TRACTION,TRANSPORT,2013,4.974
SR,KERALA,AGRICULTURE,AGRICULTURE,2014,9.036
SR,KERALA,COMMERCIAL,COMMERCIAL,2014,84.016
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2014,250.996
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,120.221
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,31.277
SR,KERALA,MISCELLANEOUS,OTHER,2014,12.938
SR,KERALA,PUBLIC LIGHTING,OTHER,2014,9.213
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,5.687
SR,KERALA,TRACTION,TRANSPORT,2014,5.808
SR,KERALA,AGRICULTURE,AGRICULTURE,2015,8.428
SR,KERALA,COMMERCIAL,COMMERCIAL,2015,88.212
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2015,267.516
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,129.720
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,31.091
SR,KERALA,MISCELLANEOUS,OTHER,2015,9.182
SR,KERALA,PUBLIC LIGHTING,OTHER,2015,9.995
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,5.651
SR,KERALA,TRACTION,TRANSPORT,2015,5.801
SR,KERALA,AGRICULTURE,AGRICULTURE,2016,8.090
SR,KERALA,COMMERCIAL,COMMERCIAL,2016,115.670
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2016,282.870
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,83.430
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,32.490
SR,KERALA,MISCELLANEOUS,OTHER,2016,11.690
SR,KERALA,PUBLIC LIGHTING,OTHER,2016,10.510
SR,KERALA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,6.040
SR,KERALA,TRACTION,TRANSPORT,2016,6.190
SR,KERALA,AGRICULTURE,AGRICULTURE,2017,9.260
SR,KERALA,COMMERCIAL,COMMERCIAL,2017,122.620
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2017,288.870
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,76.450
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,31.730
SR,KERALA,MISCELLANEOUS,OTHER,2017,18.960
SR,KERALA,PUBLIC LIGHTING,OTHER,2017,10.570
SR,KERALA,TRACTION,TRANSPORT,2017,6.370
SR,KERALA,AGRICULTURE,AGRICULTURE,2018,10.340
SR,KERALA,COMMERCIAL,COMMERCIAL,2018,127.010
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2018,295.550
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,88.330
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,34.000
SR,KERALA,MISCELLANEOUS,OTHER,2018,20.260
SR,KERALA,PUBLIC LIGHTING,OTHER,2018,10.490
SR,KERALA,TRACTION,TRANSPORT,2018,7.370
SR,KERALA,AGRICULTURE,AGRICULTURE,2019,9.640
SR,KERALA,COMMERCIAL,COMMERCIAL,2019,67.890
SR,KERALA,RESIDENTIAL,RESIDENTIAL,2019,302.080
SR,KERALA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,92.250
SR,KERALA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,32.790
SR,KERALA,MISCELLANEOUS,OTHER,2019,67.920
SR,KERALA,PUBLIC LIGHTING,OTHER,2019,10.540
SR,KERALA,TRACTION,TRANSPORT,2019,8.880
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2006,86.146
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2006,104.252
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2006,314.767
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,1295.447
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,111.010
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2006,16.990
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,23.786
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2007,96.238
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2007,123.390
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2007,340.000
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,1345.543
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,120.171
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2007,14.905
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,24.867
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2008,76.290
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2008,123.364
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2008,367.290
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,1347.972
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,124.523
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2008,15.112
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,24.495
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2009,59.258
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2009,95.815
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2009,285.274
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,1083.766
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,96.718
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2009,11.734
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,19.024
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2010,56.769
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2010,102.015
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2010,349.531
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,935.800
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,102.138
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2010,24.969
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2010,11.515
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,23.385
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2011,54.139
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2011,97.292
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2011,333.350
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,889.190
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,97.409
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2011,23.810
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2011,10.985
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,22.299
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2012,45.449
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2012,133.118
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2012,439.177
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,1170.287
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,166.738
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2012,17.630
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2012,12.190
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,16.513
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2013,38.087
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2013,129.523
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2013,395.846
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,1014.570
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,132.584
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2013,8.128
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2013,10.631
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,26.752
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2014,36.774
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2014,119.465
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2014,391.865
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,875.168
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,103.503
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2014,126.232
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2014,11.071
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,35.942
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2015,41.615
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2015,111.863
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2015,394.770
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,848.683
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,87.702
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2015,50.714
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2015,16.149
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,34.994
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2016,32.950
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2016,112.320
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2016,395.080
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,752.650
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,119.230
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2016,24.810
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2016,15.850
SR,PUDUCHERRY,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,33.940
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2017,34.930
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2017,110.350
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2017,389.450
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,768.500
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,101.780
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2017,88.020
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2017,15.930
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2018,32.340
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2018,116.510
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2018,402.760
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,746.830
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,100.070
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2018,20.150
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2018,15.540
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2019,32.630
SR,PUDUCHERRY,COMMERCIAL,COMMERCIAL,2019,115.800
SR,PUDUCHERRY,RESIDENTIAL,RESIDENTIAL,2019,393.700
SR,PUDUCHERRY,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,789.400
SR,PUDUCHERRY,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,86.830
SR,PUDUCHERRY,MISCELLANEOUS,OTHER,2019,10.500
SR,PUDUCHERRY,PUBLIC LIGHTING,OTHER,2019,15.010
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2006,90.780
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2006,18.256
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2006,56.912
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,111.356
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,25.523
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2006,8.057
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2006,2.021
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,16.587
NR,RAJASTHAN,TRACTION,TRANSPORT,2006,4.189
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2007,105.552
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2007,19.933
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2007,59.572
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,135.593
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,15.127
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2007,8.868
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2007,2.088
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,16.635
NR,RAJASTHAN,TRACTION,TRANSPORT,2007,4.450
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2008,126.902
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2008,23.838
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2008,69.552
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,126.708
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,62.369
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2008,7.809
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2008,2.377
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,18.108
NR,RAJASTHAN,TRACTION,TRANSPORT,2008,4.621
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2009,150.167
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2009,25.030
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2009,76.916
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,151.481
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,63.735
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2009,9.341
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2009,3.005
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,18.993
NR,RAJASTHAN,TRACTION,TRANSPORT,2009,4.636
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2010,182.063
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2010,25.892
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2010,87.808
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,156.171
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,64.710
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2010,11.923
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2010,3.441
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,20.224
NR,RAJASTHAN,TRACTION,TRANSPORT,2010,5.271
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2011,196.378
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2011,28.033
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2011,97.670
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,151.437
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,69.624
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2011,14.287
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2011,3.765
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,20.505
NR,RAJASTHAN,TRACTION,TRANSPORT,2011,4.890
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2012,223.717
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2012,32.483
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2012,105.832
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,224.754
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,35.811
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2012,16.181
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2012,4.095
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,20.933
NR,RAJASTHAN,TRACTION,TRANSPORT,2012,5.396
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2013,263.588
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2013,43.827
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2013,117.317
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,206.768
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,37.961
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2013,8.844
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2013,4.442
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,21.285
NR,RAJASTHAN,TRACTION,TRANSPORT,2013,5.813
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2014,244.655
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2014,47.509
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2014,133.878
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,212.225
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,40.253
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2014,9.386
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2014,5.275
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,23.681
NR,RAJASTHAN,TRACTION,TRANSPORT,2014,5.720
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2015,266.679
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2015,50.434
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2015,136.719
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,272.886
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,42.194
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2015,9.055
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2015,5.352
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,23.030
NR,RAJASTHAN,TRACTION,TRANSPORT,2015,2.038
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2016,275.160
NR,RAJASTHAN,COMMERCIAL,COMMERCIAL,2016,56.010
NR,RAJASTHAN,RESIDENTIAL,RESIDENTIAL,2016,145.630
NR,RAJASTHAN,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,134.340
NR,RAJASTHAN,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,42.920
NR,RAJASTHAN,MISCELLANEOUS,OTHER,2016,7.240
NR,RAJASTHAN,PUBLIC LIGHTING,OTHER,2016,5.690
NR,RAJASTHAN,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,24.850
