"MinDate","Units","NumObservations","MinValue","ScalingFactors","MaxDate","observationPeriods","StatVar","MaxValue","NumPlaces","NumObservationsDates","MeasurementMethods"
"2008","[Ton]","5556","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_SCC_5_WasteDisposal","303042.7140752631","1341","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16124","0.002255992","[]","2020","[P1Y]","Annual_Amount_Emissions_Benzene_SCC_22_MobileSources","3405.31886199771","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","6","2.18E-8","[]","2014","[P1Y]","Annual_Amount_Emissions_Cobalt_SCC_6_MACTSourceCategories","3.4482712E-5","2","3","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4769","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Acetaldehyde_SCC_1_ExternalCombustion","739.9136000000001","1288","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15990","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Lead_SCC_21_StationarySourceFuelCombustion","1.8414650648506599","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","507","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Cadmium_SCC_4_PetroleumAndSolventEvaporation","0.2184","205","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4418","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Cadmium_SCC_3_IndustrialProcesses","8.8727","1311","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","10299","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_PM2.5_SCC_1_ExternalCombustion","35586.398576","2325","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4798","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_23_IndustrialProcesses","2.5380166","2452","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","8669","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Naphthalene_SCC_1_ExternalCombustion","769.016254163202","2068","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","173","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Manganese_SCC_26_WasteDisposalTreatmentAndRecovery","0.480205","59","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2011","[Ton]","2098","0.0","[]","2014","[P1Y]","Annual_Amount_Emissions_Cyanide_SCC_24_SolventUtilization","4.8112100000000004E-4","1965","2","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15789","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_28_MiscellaneousAreaSources","0.9791966140000001","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","9645","5.4872941325E-8","[]","2020","[P1Y]","Annual_Amount_Emissions_Naphthalene_SCC_28_MiscellaneousAreaSources","3800.783963745075","3227","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1138","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Phosphorus_SCC_22_MobileSources","19.257570408903","455","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16124","9.909431308800008E-7","[]","2020","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_22_MobileSources","21.38799780405368","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
