pa,subject_label,object_id,object_label
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600039,Vitória da Conquista
undata-geo:G00000280,Belize,undata-geo:C04700000,Belize: All cities or breakdown by cities not available
undata-geo:C04700000,Belize: All cities or breakdown by cities not available,undata-geo:C04700001,Belmopan
undata-geo:C04700000,Belize: All cities or breakdown by cities not available,undata-geo:C04700002,San Pedro
undata-geo:G00000400,British Indian Ocean Territory,undata-geo:C04800000,British Indian Ocean Territory: All cities or breakdown by cities not available
undata-geo:G00002880,Solomon Islands,undata-geo:C04900000,Solomon Islands: All cities or breakdown by cities not available
undata-geo:C04900000,Solomon Islands: All cities or breakdown by cities not available,undata-geo:C04900001,Honiara
undata-geo:G00000410,British Virgin Islands,undata-geo:C05000000,British Virgin Islands: All cities or breakdown by cities not available
undata-geo:G00000420,Brunei Darussalam,undata-geo:C05100000,Brunei Darussalam: All cities or breakdown by cities not available
undata-geo:C05100000,Brunei Darussalam: All cities or breakdown by cities not available,undata-geo:C05100001,Bandar Seri Begawan (Brunei City)
undata-geo:G00000430,Bulgaria,undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200001,Burgas
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200002,Dobrič (Dobrich)
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200003,Montana
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200004,Pleven
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200005,Plovdiv
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200006,Ruse (Rousse)
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200007,Sofija (Sofia)
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200008,Stara Zagora
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200009,Šumen (Shumen)
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200010,Varna
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200011,Veliko Tǎrnovo
undata-geo:C05200000,Bulgaria: All cities or breakdown by cities not available,undata-geo:C05200012,Yambol
undata-geo:G00002050,Myanmar,undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300001,Aunglan
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300002,Bago (Pegu)
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300003,"Kale (Kalemyo, Kalay)"
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300004,Lashio
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300005,Loikaw
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300006,Mandalay
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300007,Mawlamyine (Moulmein)
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300008,Myeik (Mergui)
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300009,Myitkyina
undata-geo:C05300000,Myanmar: All cities or breakdown by cities not available,undata-geo:C05300010,Naypyitaw (Pyinmana)
