Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
2016,geoId/01069,50068,54287,35334,37268,12987,15079,255,279,421,602,37,47,1034,1012,36260,38156,13550,15623,625,659,621,790,93,116
2017,geoId/01069,50141,54331,35232,37233,13120,15067,261,293,449,636,37,52,1042,1050,36156,38162,13699,15642,647,674,641,843,87,106
2018,geoId/01069,50403,54540,35203,37168,13358,15273,253,300,468,651,43,57,1078,1091,36158,38116,13955,15896,628,684,675,865,106,116
2019,geoId/01069,50799,55441,35370,37600,13499,15634,259,319,501,681,42,60,1128,1147,36367,38608,14134,16288,642,704,726,903,103,137
2020,geoId/01069,50976,55604,35292,37490,13700,15862,275,326,506,696,47,59,1156,1171,36314,38516,14355,16510,662,733,734,939,115,129
2010,geoId/01071,26123,27084,24040,24893,882,942,394,423,99,132,36,26,672,668,24689,25530,1047,1101,883,912,132,173,47,42
2011,geoId/01071,26232,27008,24115,24863,886,899,398,414,107,138,39,24,687,670,24773,25509,1063,1062,900,894,139,179,47,34
2012,geoId/01071,26153,26954,24022,24800,884,893,399,426,115,144,35,24,698,667,24700,25436,1057,1060,892,913,161,181,48,34
2013,geoId/01071,26078,26908,23957,24763,885,874,392,412,126,152,33,23,685,684,24610,25410,1069,1060,879,884,169,198,45,44
2014,geoId/01071,25902,26690,23765,24553,894,889,392,421,129,149,32,23,690,655,24416,25183,1078,1055,893,887,166,185,45,38
2015,geoId/01071,25711,26518,23577,24322,892,881,405,430,132,157,31,23,674,705,24225,24996,1068,1068,891,926,167,201,37,35
2016,geoId/01071,25610,26448,23509,24262,879,878,400,421,130,151,29,24,663,712,24152,24953,1042,1066,869,914,171,193,43,36
2017,geoId/01071,25455,26410,23330,24185,891,886,402,425,133,156,29,26,670,732,23979,24890,1076,1086,856,927,175,211,40,34
2018,geoId/01071,25333,26316,23169,24047,892,902,411,434,139,160,29,26,693,747,23846,24760,1080,1121,878,942,187,202,41,45
2019,geoId/01071,25370,26302,23195,24052,887,884,410,427,135,167,35,27,708,745,23881,24766,1087,1110,895,925,181,213,40,39
2020,geoId/01071,25314,26268,23129,24022,888,872,412,425,137,162,37,30,711,757,23814,24743,1096,1094,889,935,180,217,52,41
2010,geoId/01073,311648,346582,175542,185532,126944,151561,1251,1149,4542,4834,251,193,3118,3313,178199,188300,128522,153301,2549,2513,5320,5678,381,322
2011,geoId/01073,311454,346721,174773,184805,127471,152209,1174,1119,4591,4973,220,168,3225,3447,177534,187691,129124,154043,2448,2485,5429,5862,338,300
2012,geoId/01073,311510,346673,173854,183846,128181,152798,1124,1060,4825,5256,201,148,3325,3565,176719,186849,129914,154712,2424,2452,5675,6177,323,305
2013,geoId/01073,312342,347092,173350,183000,129331,153879,1063,1049,4921,5358,201,152,3476,3654,176347,186099,131166,155847,2372,2445,5832,6311,343,286
2014,geoId/01073,312577,347608,172964,182596,129860,154507,1021,1019,4956,5475,190,167,3586,3844,176048,185845,131758,156606,2353,2454,5916,6474,314,319
2015,geoId/01073,312654,348063,172188,182056,130567,155219,961,1012,5084,5612,174,172,3680,3992,175378,185453,132543,157400,2278,2456,6050,6687,294,309
2016,geoId/01073,312808,347699,171919,181347,130778,155280,951,974,5210,5832,161,194,3789,4072,175222,184821,132832,157537,2266,2417,6246,6918,290,336
2017,geoId/01073,311886,348006,170810,180812,130702,155666,954,945,5358,6076,168,191,3894,4316,174201,184510,132835,158079,2254,2443,6411,7249,290,338
2018,geoId/01073,311677,347995,170350,180488,130665,155767,916,944,5583,6163,152,179,4011,4454,173829,184311,132868,158293,2231,2453,6675,7363,292,329
2019,geoId/01073,311069,347470,169520,179649,130646,155884,893,936,5640,6246,162,180,4208,4575,173189,183570,133005,158499,2234,2436,6804,7499,301,342
2020,geoId/01073,309232,346110,167769,178125,130373,155931,877,963,5672,6333,182,190,4359,4568,171569,182043,132841,158532,2223,2467,6876,7595,339,358
2010,geoId/01075,7063,7433,6207,6440,751,895,10,13,3,3,1,1,91,81,6290,6515,796,932,50,47,13,15,6,5
2011,geoId/01075,6953,7339,6116,6361,725,868,11,13,4,5,1,1,96,91,6203,6441,780,923,53,44,12,19,2,5
2012,geoId/01075,6931,7319,6095,6337,719,866,15,18,4,8,1,1,97,89,6186,6416,770,914,59,54,13,21,2,4
2013,geoId/01075,6927,7287,6098,6304,704,863,16,20,3,6,1,1,105,93,6195,6392,765,910,50,55,21,18,3,6
2014,geoId/01075,6851,7220,6027,6258,700,844,13,18,4,6,1,1,106,93,6124,6346,759,888,53,61,19,13,4,5
2015,geoId/01075,6819,7112,5991,6182,690,798,16,19,4,7,1,1,117,105,6100,6283,752,856,66,57,14,21,4,2
2016,geoId/01075,6804,7122,5972,6210,693,780,17,22,4,7,1,1,117,102,6081,6307,752,831,63,62,20,18,6,6
2017,geoId/01075,6784,7101,5952,6175,687,791,16,22,7,8,1,1,121,104,6062,6275,753,845,70,62,17,19,4,4
2018,geoId/01075,6790,7088,5961,6168,683,771,16,22,6,8,1,1,123,118,6076,6276,741,837,64,71,24,20,9,4
2019,geoId/01075,6783,7034,5954,6134,682,754,19,25,7,8,1,1,120,112,6069,6238,748,813,71,63,15,25,3,7
2020,geoId/01075,6753,7011,5915,6116,687,744,22,26,7,8,1,1,121,116,6026,6223,751,800,66,77,29,23,4,5
2010,geoId/01077,44419,48319,38957,42098,4264,5040,187,176,366,366,26,21,619,618,39534,42671,4574,5360,464,431,437,445,41,40
2011,geoId/01077,44352,48263,38833,41996,4293,5026,205,189,362,374,26,22,633,656,39428,42598,4626,5375,474,451,432,460,42,42
2012,geoId/01077,44307,48380,38715,42025,4326,5085,202,196,387,389,27,21,650,664,39324,42632,4658,5440,468,470,474,473,39,39
2013,geoId/01077,44290,48448,38767,42102,4281,5071,205,205,367,395,29,20,641,655,39371,42707,4622,5415,462,468,444,486,46,37
2014,geoId/01077,44535,48514,38881,42057,4360,5144,207,214,367,398,30,21,690,680,39517,42691,4721,5499,488,486,465,486,48,42
2015,geoId/01077,44273,48251,38672,41889,4272,5045,212,209,366,386,30,22,721,700,39337,42542,4644,5417,495,485,474,481,51,37
2016,geoId/01077,44227,48294,38623,41837,4238,5088,199,195,371,394,32,26,764,754,39347,42537,4641,5499,478,487,482,491,54,47
2017,geoId/01077,44374,48327,38700,41866,4249,5056,208,193,379,400,31,25,807,787,39469,42597,4709,5490,491,500,478,505,48,40
2018,geoId/01077,44506,48227,38770,41760,4294,5039,219,191,360,415,31,26,832,796,39553,42497,4763,5484,499,483,482,519,55,49
2019,geoId/01077,44593,48435,38817,41939,4311,5021,224,192,382,438,35,28,824,817,39576,42697,4762,5478,537,497,501,543,63,54
2020,geoId/01077,44753,48615,38934,42054,4324,5046,225,195,399,454,39,33,832,833,39712,42821,4791,5513,516,507,515,566,64,58
2010,geoId/01079,16778,17536,13201,13685,1858,2088,999,994,18,26,4,3,698,740,13879,14397,1971,2199,1575,1604,52,66,11,15
2011,geoId/01079,16613,17413,13050,13590,1839,2059,976,985,27,32,4,3,717,744,13739,14296,1958,2185,1568,1592,64,72,10,15
2012,geoId/01079,16399,17383,12900,13549,1799,2076,978,976,27,30,4,2,691,750,13566,14261,1901,2203,1548,1592,67,69,11,12
2013,geoId/01079,16349,17204,12873,13437,1775,2018,976,971,28,32,4,2,693,744,13539,14147,1894,2142,1540,1578,67,68,13,17
2014,geoId/01079,16263,17160,12778,13421,1778,1995,966,973,29,36,4,2,708,733,13461,14126,1896,2124,1547,1565,66,74,12,10
2015,geoId/01079,16127,16989,12687,13346,1729,1896,950,965,28,35,5,2,728,745,13382,14065,1857,2020,1535,1567,66,78,18,14
2016,geoId/01079,16173,17023,12717,13364,1719,1896,950,976,32,40,5,2,750,745,13438,14081,1848,2021,1552,1579,76,81,16,14
2017,geoId/01079,16099,16936,12668,13311,1702,1858,937,962,29,40,5,2,758,763,13402,14044,1845,1987,1542,1579,64,80,16,14
2018,geoId/01079,16039,16866,12624,13191,1684,1877,930,960,34,46,4,2,763,790,13358,13953,1824,2019,1526,1582,82,88,18,20
2019,geoId/01079,15985,16866,12596,13167,1667,1887,930,959,32,46,4,2,756,805,13323,13926,1805,2054,1529,1586,75,93,17,19
2020,geoId/01079,16031,16826,12647,13100,1628,1861,931,974,35,52,5,2,785,837,13397,13901,1785,2019,1543,1628,79,98,19,24
2010,geoId/01081,69419,71396,51074,50956,14973,17344,280,228,2006,1809,102,55,984,1004,51956,51846,15414,17824,623,555,2313,2125,143,104
2011,geoId/01081,71187,73007,52326,51847,15275,17812,285,235,2160,2024,91,57,1050,1032,53267,52752,15778,18323,627,549,2483,2356,135,115
2012,geoId/01081,73480,75190,53653,52998,15864,18500,297,242,2449,2297,99,64,1118,1089,54654,53968,16378,19038,647,581,2820,2638,147,113
2013,geoId/01081,75185,76758,54673,53784,16321,18988,274,236,2674,2522,81,68,1162,1160,55709,54817,16874,19561,641,584,3050,2890,134,128
2014,geoId/01081,76406,78276,55230,54577,16675,19507,286,249,2916,2665,83,67,1216,1211,56314,55639,17258,20113,661,596,3313,3049,135,139
2015,geoId/01081,77604,79558,55820,55288,17006,19816,309,265,3145,2829,81,63,1243,1297,56938,56434,17607,20464,671,651,3558,3262,128,135
2016,geoId/01081,78591,80855,56370,56120,17209,20062,296,259,3348,3001,75,61,1293,1352,57534,57326,17838,20741,674,629,3774,3459,141,139
2017,geoId/01081,79756,82052,57028,56938,17401,20296,317,266,3548,3146,80,63,1382,1343,58294,58136,18070,20958,701,664,3997,3586,139,132
2018,geoId/01081,80723,83483,57803,58077,17471,20468,332,272,3636,3231,73,64,1408,1371,59056,59290,18170,21144,723,669,4102,3673,140,140
2019,geoId/01081,81114,83901,58118,58511,17487,20415,317,276,3708,3240,78,70,1406,1389,59395,59738,18167,21120,703,665,4172,3702,137,139
2020,geoId/01081,81985,84846,58769,59192,17662,20580,322,294,3678,3277,87,71,1467,1432,60083,60467,18386,21289,726,703,4171,3745,148,154
2010,geoId/01083,42084,41084,34823,34368,5643,5067,378,339,432,553,75,60,733,697,35497,35011,5929,5349,754,670,567,679,102,90
2011,geoId/01083,43265,42288,35576,35242,5968,5282,377,342,464,589,78,68,802,765,36310,35936,6303,5623,758,692,618,732,107,95
2012,geoId/01083,43932,43404,36109,36052,5980,5463,382,352,517,650,83,73,861,814,36903,36805,6332,5807,791,727,678,797,113,104
2013,geoId/01083,44801,44130,36701,36584,6198,5574,381,352,539,692,87,75,895,853,37532,37368,6582,5951,797,730,703,852,112,111
2014,geoId/01083,45426,45196,37154,37286,6324,5845,384,345,550,724,83,80,931,916,38011,38130,6724,6244,821,745,722,891,116,123
2015,geoId/01083,45885,45711,37512,37676,6372,5901,373,350,587,744,84,82,957,958,38410,38564,6801,6328,799,777,763,934,109,108
2016,geoId/01083,46505,46391,37876,38117,6566,6032,376,349,610,788,79,84,998,1021,38802,39061,7009,6499,821,784,794,988,123,120
2017,geoId/01083,47114,47030,38291,38537,6615,6141,399,356,646,830,90,96,1073,1070,39293,39535,7090,6633,847,811,861,1025,139,136
2018,geoId/01083,48110,48089,38927,39216,6882,6423,412,357,668,871,86,99,1135,1123,39973,40248,7403,6952,871,821,904,1085,133,141
2019,geoId/01083,49558,49578,39988,40314,7174,6645,427,396,726,942,87,99,1156,1182,41070,41401,7712,7220,907,873,943,1181,115,135
2020,geoId/01083,51059,51169,41132,41498,7372,6855,437,417,809,1028,88,99,1221,1272,42270,42679,7953,7465,927,927,1049,1282,131,145
2010,geoId/01085,5298,5996,1453,1423,3793,4516,14,12,10,15,0,0,28,30,1479,1450,3803,4531,31,27,12,18,1,0
2011,geoId/01085,5254,5890,1401,1382,3791,4445,15,14,14,17,0,0,33,32,1432,1411,3805,4459,32,28,17,20,1,4
2012,geoId/01085,5150,5707,1362,1332,3728,4308,17,12,10,21,1,0,32,34,1389,1364,3743,4325,32,28,15,24,3,0
2013,geoId/01085,5059,5607,1334,1301,3663,4231,16,13,9,20,1,0,36,42,1365,1337,3680,4252,37,30,13,31,1,1
2014,geoId/01085,4995,5502,1305,1273,3626,4153,15,14,8,18,4,0,37,44,1338,1313,3645,4171,28,33,16,28,5,1
2015,geoId/01085,4912,5438,1292,1263,3553,4098,16,14,11,20,4,0,36,43,1324,1304,3576,4114,32,36,14,26,5,2
2016,geoId/01085,4853,5392,1290,1256,3490,4061,16,15,16,22,4,0,37,38,1322,1285,3505,4080,36,38,23,28,5,0
2017,geoId/01085,4779,5321,1297,1280,3406,3965,18,15,17,19,4,0,37,42,1328,1317,3425,3988,36,34,23,25,4,0
2018,geoId/01085,4696,5273,1283,1280,3334,3917,18,20,22,22,4,0,35,34,1315,1314,3351,3932,33,36,27,26,5,0
2019,geoId/01085,4581,5145,1269,1243,3232,3827,16,17,24,23,4,0,36,35,1302,1271,3248,3844,36,35,26,30,5,1
2020,geoId/01085,4496,5145,1230,1230,3186,3841,16,18,23,22,4,0,37,34,1264,1260,3206,3852,32,40,28,27,4,3
2010,geoId/01087,9851,11664,1705,1686,7982,9785,13,16,45,35,2,1,104,141,1791,1789,8037,9865,65,78,62,68,6,11
2011,geoId/01087,9800,11499,1715,1684,7930,9615,18,17,32,37,2,3,103,143,1796,1790,7992,9702,65,76,55,70,7,12
2012,geoId/01087,9547,11078,1732,1651,7643,9216,14,20,37,36,2,1,119,154,1821,1778,7714,9302,67,78,60,66,10,14
2013,geoId/01087,9232,10811,1627,1540,7437,9078,14,21,44,27,2,1,108,144,1710,1653,7499,9161,69,74,66,59,6,17
2014,geoId/01087,9031,10639,1601,1549,7248,8893,15,24,51,20,2,1,114,152,1692,1675,7314,8968,70,91,67,57,10,13
2015,geoId/01087,8894,10437,1570,1541,7122,8679,16,25,64,25,2,1,120,166,1666,1673,7188,8782,70,91,90,55,7,18
2016,geoId/01087,8725,10352,1571,1556,6942,8580,21,28,73,28,2,1,116,159,1655,1677,7013,8667,72,85,97,74,10,17
2017,geoId/01087,8633,10195,1579,1530,6838,8444,19,27,73,35,2,1,122,158,1682,1648,6908,8534,76,90,90,71,9,15
2018,geoId/01087,8367,9953,1605,1529,6569,8205,19,29,70,37,2,1,102,152,1683,1644,6626,8289,68,98,93,72,6,12
2019,geoId/01087,8229,9836,1597,1526,6438,8094,19,30,69,37,2,1,104,148,1682,1633,6495,8187,74,84,85,77,5,9
2020,geoId/01087,8109,9786,1612,1553,6309,8010,19,31,56,37,2,1,111,154,1697,1669,6373,8105,73,96,79,76,9,11
2010,geoId/01089,164918,171196,117375,117786,38289,43293,1452,1428,3888,4611,240,221,3674,3857,120621,121147,39907,45113,2984,3053,4984,5742,394,378
2011,geoId/01089,166441,173182,118624,119111,38540,43785,1438,1414,3800,4653,223,196,3816,4023,121996,122610,40273,45697,2995,3056,4941,5852,373,355
2012,geoId/01089,167815,175008,119276,119836,39090,44618,1437,1406,3891,4834,219,207,3902,4107,122715,123417,40868,46571,2992,3058,5059,6038,369,378
2013,geoId/01089,169604,177160,120333,120999,39614,45266,1415,1430,3953,4972,214,198,4075,4295,123948,124748,41490,47336,3033,3115,5195,6252,354,377
2014,geoId/01089,170973,179000,121186,121952,39982,45841,1407,1448,4078,5095,214,203,4106,4461,124821,125850,41879,47982,3003,3170,5357,6454,376,391
2015,geoId/01089,172609,180585,121902,122662,40679,46514,1440,1440,4152,5162,204,207,4232,4600,125686,126703,42629,48745,3047,3203,5476,6564,367,398
2016,geoId/01089,174271,182714,122754,123900,41256,47220,1434,1422,4279,5274,216,211,4332,4687,126623,127997,43270,49506,3075,3206,5641,6735,378,412
2017,geoId/01089,176808,185253,124055,125042,42204,48300,1420,1453,4418,5383,210,213,4501,4862,128080,129302,44303,50666,3084,3288,5839,6892,373,426
2018,geoId/01089,179486,187900,125907,126630,42763,49148,1450,1456,4455,5416,221,214,4690,5036,130105,131044,44993,51633,3122,3306,5949,6981,395,424
2019,geoId/01089,182204,190343,128069,128467,43072,49489,1457,1478,4511,5542,204,201,4891,5166,132463,133010,45387,52033,3194,3358,6076,7187,391,407
2020,geoId/01089,185694,193759,130449,130721,43910,50374,1468,1486,4534,5575,197,200,5136,5403,135026,135498,46389,53063,3255,3416,6194,7293,400,416
2010,geoId/01091,9871,11084,4798,5036,4948,5907,18,21,21,31,21,15,65,74,4855,5102,4978,5946,44,56,30,40,29,15
2011,geoId/01091,9720,10943,4743,4976,4841,5825,21,18,23,30,21,15,71,79,4805,5046,4882,5878,53,47,29,39,24,15
2012,geoId/01091,9570,10808,4679,4968,4761,5693,20,23,21,29,20,15,69,80,4740,5044,4798,5741,53,50,27,37,22,17
2013,geoId/01091,9458,10665,4608,4906,4709,5603,22,23,24,36,20,15,75,82,4673,4985,4745,5650,56,46,36,51,23,15
2014,geoId/01091,9377,10613,4600,4835,4619,5614,25,26,25,33,20,15,88,90,4677,4917,4665,5661,61,66,36,45,27,20
2015,geoId/01091,9345,10427,4533,4732,4656,5527,24,24,24,38,20,14,88,92,4612,4813,4699,5580,62,58,36,52,24,18
2016,geoId/01091,9235,10301,4449,4654,4621,5484,26,22,27,35,19,15,93,91,4529,4731,4670,5541,68,55,39,51,24,16
2017,geoId/01091,9149,10262,4435,4681,4545,5419,28,22,25,32,19,15,97,93,4518,4764,4606,5469,64,59,37,45,23,19
2018,geoId/01091,9012,10081,4386,4587,4460,5325,25,21,29,33,19,16,93,99,4470,4676,4509,5383,57,62,47,43,23,19
2019,geoId/01091,8920,9999,4321,4506,4435,5327,25,22,28,32,19,16,92,96,4399,4588,4481,5379,63,65,43,47,28,18
2020,geoId/01091,8794,9939,4246,4453,4378,5314,25,22,29,35,19,15,97,100,4329,4536,4432,5368,71,68,38,52,24,19
2010,geoId/01093,15300,15522,14351,14796,727,467,51,53,20,39,7,10,144,157,14487,14938,785,535,128,140,33,53,14,13
2011,geoId/01093,15243,15418,14278,14681,723,476,56,55,25,40,7,11,154,155,14418,14823,800,545,134,136,41,59,10,13
2012,geoId/01093,15137,15358,14160,14602,725,459,56,64,30,50,8,12,158,171,14302,14767,806,532,131,151,45,63,11,16
2013,geoId/01093,15036,15200,14057,14438,729,463,53,63,30,57,7,13,160,166,14203,14598,804,541,135,137,46,77,10,15
2014,geoId/01093,14949,15266,13977,14510,708,459,54,60,39,56,7,12,164,169,14130,14668,782,525,133,149,55,75,13,20
2015,geoId/01093,14965,15172,13962,14417,713,456,59,65,43,54,7,12,181,168,14133,14570,793,536,150,147,66,75,13,19
2016,geoId/01093,14827,15131,13856,14368,687,461,60,59,41,54,6,12,177,177,14019,14533,772,543,149,140,55,79,10,19
2017,geoId/01093,14757,15068,13788,14287,670,461,63,55,42,52,6,13,188,200,13963,14473,755,559,150,145,63,76,14,16
2018,geoId/01093,14725,15051,13744,14269,675,479,63,62,39,51,7,13,197,177,13929,14429,769,558,155,149,65,75,11,18
2019,geoId/01093,14757,15069,13745,14264,703,490,64,59,38,55,8,14,199,187,13932,14436,792,576,164,155,57,74,14,20
2020,geoId/01093,14707,14996,13678,14193,705,465,68,67,42,60,8,14,206,197,13868,14374,804,555,170,162,64,86,15,17
2010,geoId/01095,45871,47248,43224,44875,947,814,598,503,259,268,119,107,724,681,43905,45506,1234,1090,995,879,335,343,152,128
2011,geoId/01095,46286,47613,43506,45136,1066,865,582,496,276,318,128,118,728,680,44182,45777,1366,1143,986,849,359,400,153,138
2012,geoId/01095,46454,47810,43496,45292,1216,862,559,469,285,345,126,125,772,717,44204,45962,1549,1167,976,848,374,427,151,142
2013,geoId/01095,46482,47876,43440,45288,1324,907,545,466,277,365,124,123,772,727,44153,45972,1648,1222,966,830,367,446,148,146
2014,geoId/01095,46402,47860,43240,45157,1411,999,539,461,275,382,124,123,813,738,43984,45841,1769,1323,969,849,365,466,155,152
2015,geoId/01095,46565,48023,43271,45212,1495,1057,559,449,278,391,119,120,843,794,44057,45946,1858,1427,989,842,381,484,148,140
2016,geoId/01095,46895,48228,43494,45295,1559,1109,551,456,278,403,128,122,885,843,44309,46076,1958,1498,984,858,386,504,159,159
2017,geoId/01095,47099,48490,43628,45477,1576,1157,569,471,281,390,139,130,906,865,44476,46272,1997,1569,1010,876,378,494,165,172
2018,geoId/01095,47491,48739,43933,45626,1639,1193,550,475,316,415,149,140,904,890,44778,46446,2053,1622,984,901,429,521,187,171
2019,geoId/01095,47664,49087,44027,45815,1692,1300,555,480,318,419,162,157,910,916,44867,46658,2109,1749,1005,905,425,536,195,189
2020,geoId/01095,47771,49219,44035,45838,1685,1345,585,509,337,420,177,168,952,939,44912,46711,2138,1799,1036,935,458,533,220,203
2010,geoId/01097,198505,214823,123614,128507,66156,77653,1943,1979,3935,3813,164,104,2693,2767,125910,130826,67489,79082,3194,3251,4554,4440,286,231
2011,geoId/01097,198146,214980,123128,128155,66234,78022,1905,1986,3966,3946,153,100,2760,2771,125503,130504,67610,79458,3160,3244,4609,4591,278,222
2012,geoId/01097,198370,215523,122427,127838,66980,78623,1946,1999,3967,4036,130,95,2920,2932,124930,130333,68489,80160,3203,3299,4670,4712,263,210
2013,geoId/01097,198310,215715,121930,127444,67430,79016,1936,2029,3917,4079,123,102,2974,3045,124500,130027,68950,80649,3254,3346,4616,4787,226,252
2014,geoId/01097,198153,216145,121605,127394,67522,79282,1912,2012,3974,4234,123,103,3017,3120,124215,130051,69072,80951,3183,3339,4692,4975,246,247
2015,geoId/01097,198111,216543,121087,127044,67903,79809,1890,1985,4036,4366,115,110,3080,3229,123781,129801,69497,81574,3161,3328,4794,5136,253,253
2016,geoId/01097,198289,216880,120754,126626,68226,80376,1890,2015,4104,4464,95,103,3220,3296,123541,129451,69925,82190,3206,3331,4871,5267,227,245
2017,geoId/01097,197625,216584,120008,125947,68215,80680,1894,2023,4114,4476,80,94,3314,3364,122898,128833,69969,82531,3210,3353,4921,5287,209,250
2018,geoId/01097,197355,216920,119458,125741,68530,81094,1864,1993,4077,4525,80,93,3346,3474,122368,128699,70337,83042,3179,3344,4898,5376,209,255
2019,geoId/01097,196704,216812,118464,125166,68806,81429,1820,1987,4080,4600,88,84,3446,3546,121465,128215,70667,83421,3146,3357,4925,5484,228,222
2020,geoId/01097,196061,216655,117815,124719,68831,81586,1801,2000,4050,4654,94,91,3470,3605,120830,127825,70723,83610,3119,3363,4932,5567,236,238
2010,geoId/01099,11089,11915,6253,6490,4521,5083,129,131,32,37,6,3,148,171,6385,6637,4585,5167,203,215,54,60,12,10
2011,geoId/01099,10971,11828,6194,6449,4435,5024,134,136,41,40,6,3,161,176,6336,6610,4515,5112,206,220,64,57,11,8
2012,geoId/01099,10826,11756,6120,6413,4379,4989,135,139,40,40,6,3,146,172,6254,6568,4448,5072,204,219,57,61,10,8
2013,geoId/01099,10611,11563,6019,6259,4254,4947,132,140,40,37,6,2,160,178,6168,6420,4327,5038,209,227,57,53,11,8
2014,geoId/01099,10486,11441,5967,6176,4168,4914,141,137,39,39,6,2,165,173,6122,6336,4251,4996,218,225,53,60,9,5
2015,geoId/01099,10381,11339,5897,6146,4134,4833,136,138,48,46,6,2,160,174,6047,6296,4210,4922,208,217,67,71,11,8
2016,geoId/01099,10315,11238,5892,6058,4065,4815,132,133,47,48,6,2,173,182,6052,6216,4152,4912,218,211,64,74,8,11
2017,geoId/01099,10162,11132,5795,5976,4004,4796,132,133,50,41,6,2,175,184,5957,6144,4094,4889,209,211,71,68,10,6
2018,geoId/01099,10005,11030,5672,5910,3967,4749,133,133,50,48,6,3,177,187,5832,6079,4062,4844,200,221,78,67,12,9
2019,geoId/01099,9841,10848,5602,5862,3873,4623,131,126,49,46,6,2,180,189,5762,6030,3974,4728,212,210,64,69,11,6
2020,geoId/01099,9700,10759,5502,5777,3839,4610,130,132,47,43,6,2,176,195,5661,5951,3930,4709,205,219,72,71,12,8
2010,geoId/01101,109324,120174,46485,47842,58620,67851,423,357,2428,2536,155,115,1213,1473,47446,48944,59350,68776,868,906,2813,2998,230,217
2011,geoId/01101,108907,120311,45557,47037,59042,68711,407,351,2511,2593,145,107,1245,1512,46549,48209,59792,69655,852,909,2906,3066,213,196
2012,geoId/01101,108692,120231,44853,46296,59311,69131,386,372,2694,2795,137,107,1311,1530,45892,47463,60119,70090,834,922,3108,3267,227,199
2013,geoId/01101,108065,120196,43537,45312,59796,69832,393,381,2868,2976,131,99,1340,1596,44611,46526,60627,70866,857,938,3281,3475,208,207
2014,geoId/01101,107735,119912,42823,44412,60020,70192,360,381,3017,3165,129,102,1386,1660,43931,45695,60876,71235,820,978,3466,3700,212,192
2015,geoId/01101,107741,119679,42199,43731,60510,70510,358,381,3166,3329,121,101,1387,1627,43323,44971,61355,71564,818,936,3611,3838,205,193
2016,geoId/01101,107578,119820,41466,43104,60783,71002,381,391,3390,3535,114,108,1444,1680,42613,44393,61696,72090,849,954,3851,4074,195,233
2017,geoId/01101,107394,120120,40739,42258,61153,71940,361,389,3531,3672,127,113,1483,1748,41942,43612,62059,73060,818,970,4018,4214,207,218
2018,geoId/01101,106889,119742,39930,41421,61432,72388,347,376,3574,3711,108,100,1498,1746,41121,42776,62378,73516,812,974,4068,4262,191,201
2019,geoId/01101,106307,119767,39261,40855,61394,72810,360,367,3691,3863,108,97,1493,1775,40459,42229,62322,73945,820,962,4156,4446,206,204
2020,geoId/01101,105575,119064,38227,39772,61629,73094,355,362,3700,3868,117,100,1547,1868,39486,41212,62609,74302,819,956,4206,4491,213,201
2010,geoId/01103,58947,60695,49875,50971,6943,7565,696,620,351,403,90,70,992,1066,50815,51964,7345,8021,1234,1187,473,534,113,100
2011,geoId/01103,59175,60883,50017,51055,7000,7638,684,614,361,421,97,72,1016,1083,50976,52073,7425,8111,1233,1175,488,557,115,110
2012,geoId/01103,59190,60958,49886,51055,7053,7662,677,602,379,443,98,72,1097,1124,50923,52121,7547,8148,1237,1168,501,582,130,102
2013,geoId/01103,58869,60756,49551,50792,7083,7684,656,593,357,451,96,71,1126,1165,50610,51885,7571,8207,1228,1184,490,600,122,108
2014,geoId/01103,58824,60672,49378,50658,7184,7691,652,575,352,452,91,70,1167,1226,50484,51819,7714,8241,1223,1192,499,619,123,95
2015,geoId/01103,58794,60522,49247,50383,7272,7762,674,606,344,462,93,71,1164,1238,50358,51541,7796,8328,1237,1207,504,633,116,108
2016,geoId/01103,58635,60455,48952,50165,7363,7871,672,606,357,469,101,77,1190,1267,50075,51345,7914,8457,1246,1219,513,641,126,116
