District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Budgam,002,2011-03,5716,36,101.8,7373,4442,14187,14583,14435,12931,,,
Bandipora,623,2011-03,4184,43,90,8385,2928,8915,8536,8413,7538,,,
Baramulla,003,2011-03,8005,150,68.1,17558,8725,20741,19663,20401,20810,,98,11
Doda,004,2011-03,8886,17,99.9,9228,3196,10442,9927,9556,8135,,,
Ganderbal,626,2011-03,2292,18,96.3,1643,1575,4554,4489,4606,4304,,,
Jammu,005,2011-03,26867,150,98.8,31803,25146,19295,18966,21328,22544,,,5
Kargil,006,2011-03,2546,47,97.5,2436,1111,2139,1996,2055,2061,,,6
Kathua,007,2011-03,8079,40,99.4,11902,3579,13251,13020,12599,12512,,,
Kishtwar,620,2011-03,3586,98,98.5,3556,3556,5210,4670,4584,3323,,,6
Kulgam,622,2011-03,4354,86,100,6138,2283,8139,8330,8153,8115,,,2
Kupwara,008,2011-03,12904,260,98,17573,7935,19491,19373,19215,20352,,,2
Leh ladakh,009,2011-03,1933,33,98.4,2206,682,1951,1940,1785,2058,,2,47
Poonch,010,2011-03,11819,246,98.8,13123,3814,12387,12058,12355,12867,,,7
Pulwama,011,2011-03,3415,29,99.2,3296,2765,8169,8266,8359,7755,,,8
Rajouri,012,2011-03,10107,153,89.4,15968,7650,15230,15040,15212,14540,,,
Ramban,621,2011-03,5362,60,97.5,5693,4631,6962,6667,6440,5475,,4,
Reasi,627,2011-03,4703,13,100.9,6426,2805,5607,5427,5561,8676,,,11
Samba,624,2011-03,2518,11,100.1,4513,2546,5716,5833,5948,5419,,,1
Shopian,625,2011-03,1803,26,98.7,5324,404,5718,5943,5909,6266,,,
