fips,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,year
dcs:geoId/04023,24650.0,28150.0,31700.0,35200.0,38000.0,40850.0,43650.0,46450.0,46218.75,52781.25,59437.5,66000.0,71250.0,76593.75,81843.75,87093.75,2006
dcs:geoId/04025,27050.0,30900.0,34800.0,38650.0,41750.0,44850.0,47950.0,51000.0,50718.75,57937.5,65250.0,72468.75,78281.25,84093.75,89906.25,95625.0,2006
dcs:geoId/04027,23050.0,26300.0,29600.0,32900.0,35550.0,38150.0,40800.0,43450.0,43218.75,49312.5,55500.0,61687.5,66656.25,71531.25,76500.0,81468.75,2006
dcs:geoId/05001,23250.0,26550.0,29900.0,33200.0,35850.0,38500.0,41150.0,43800.0,43593.75,49781.25,56062.5,62250.0,67218.75,72187.5,77156.25,82125.0,2006
dcs:geoId/05003,24550.0,28050.0,31550.0,35050.0,37850.0,40650.0,43450.0,46250.0,46031.25,52593.75,59156.25,65718.75,70968.75,76218.75,81468.75,86718.75,2006
dcs:geoId/05005,22750.0,26000.0,29250.0,32500.0,35100.0,37700.0,40300.0,42900.0,42656.25,48750.0,54843.75,60937.5,65812.5,70687.5,75562.5,80437.5,2006
dcs:geoId/05007,29100.0,33300.0,37450.0,41600.0,44950.0,48250.0,51600.0,54900.0,54562.5,62437.5,70218.75,78000.0,84281.25,90468.75,96750.0,102937.5,2006
dcs:geoId/05009,22850.0,26100.0,29400.0,32650.0,35250.0,37850.0,40500.0,43100.0,42843.75,48937.5,55125.0,61218.75,66093.75,70968.75,75937.5,80812.5,2006
dcs:geoId/05011,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05013,22800.0,26050.0,29300.0,32550.0,35150.0,37750.0,40350.0,43000.0,42750.0,48843.75,54937.5,61031.25,65906.25,70781.25,75656.25,80625.0,2006
