State,isoCode,Date,Count_BirthControlEvent_Vasectomy,Count_BirthControlEvent_Tubectomy,Count_BirthControlEvent_Sterilization,Count_BirthControlEvent_Vasectomy_AsFractionOf_Count_BirthControlEvent_Sterlization,Count_Death_BirthControlSterilization,Count_BirthControlEvent_IUCDInsertion,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent,Count_ContraceptiveDistribution_OralPill,Count_ContraceptiveDistribution_Condom
Madhya Pradesh,IN-MP,2013-03,16732.0,368447.0,385179.0,4.3,1.0,382018.0,49.8,2832796.0,16193694.0
Maharashtra,IN-MH,2013-03,19591.0,561300.0,580891.0,3.4,13.0,374843.0,39.2,2655159.0,25139454.0
Manipur,IN-MN,2013-03,101.0,1151.0,1252.0,8.1,0.0,5080.0,80.2,27497.0,117123.0
Meghalaya,IN-ML,2013-03,18.0,2765.0,2783.0,0.6,0.0,4795.0,63.3,66635.0,349020.0
Mizoram,IN-MZ,2013-03,1.0,2067.0,2068.0,0.0,0.0,2976.0,59.0,50716.0,78192.0
Nagaland,IN-NL,2013-03,13.0,2214.0,2227.0,0.6,0.0,3335.0,60.0,16171.0,118936.0
Odisha,IN-OR,2013-03,2409.0,144818.0,147227.0,1.6,8.0,134140.0,47.7,2118563.0,10360511.0
Puducherry,IN-PY,2013-03,4.0,8244.0,8248.0,0.0,0.0,3062.0,27.1,17948.0,671736.0
Punjab,IN-PB,2013-03,5851.0,61690.0,67541.0,8.7,1.0,228562.0,77.2,1357250.0,32028086.0
Rajasthan,IN-RJ,2013-03,5173.0,311133.0,316306.0,1.6,3.0,392741.0,55.4,5864010.0,64891654.0
Sikkim,IN-SK,2013-03,45.0,140.0,185.0,24.3,0.0,1083.0,85.4,62876.0,217000.0
Tamil Nadu,IN-TN,2013-03,1524.0,315208.0,316732.0,0.5,33.0,333857.0,51.3,393224.0,7920413.0
Tripura,IN-TR,2013-03,155.0,6661.0,6816.0,2.3,0.0,876.0,11.4,83234.0,499295.0
Uttar Pradesh,IN-UP,2013-03,6534.0,295602.0,302136.0,2.2,32.0,1343948.0,81.6,3136087.0,59311462.0
Uttarakhand,IN-UT,2013-03,1698.0,23388.0,25086.0,6.8,1.0,101480.0,80.2,321448.0,6657193.0
West Bengal,IN-WB,2013-03,7282.0,220229.0,227511.0,3.2,5.0,109573.0,32.5,8384583.0,24699108.0
All India,IN,2014-03,90396.0,4213172.0,4303568.0,2.1,213.0,5199053.0,54.7,39310954.0,333739713.0
A & N Islands,IN-AN,2014-03,1.0,1050.0,1051.0,0.1,2.0,623.0,37.2,22919.0,168456.0
Andhra Pradesh Old,IN-AP,2014-03,9124.0,394889.0,404013.0,2.3,47.0,195203.0,32.6,2272629.0,12275031.0
Arunachal Pradesh,IN-AR,2014-03,2.0,1242.0,1244.0,0.2,6.0,2980.0,70.5,23046.0,42153.0
Assam,IN-AS,2014-03,4137.0,49860.0,53997.0,7.7,5.0,84958.0,61.1,1449077.0,4612155.0
Bihar,IN-BR,2014-03,3294.0,511483.0,514777.0,0.6,30.0,390971.0,43.2,800266.0,6307805.0
Chandigarh,IN-CH,2014-03,74.0,2107.0,2181.0,3.4,0.0,3908.0,64.2,12858.0,1162323.0
Chhattisgarh,IN-CT,2014-03,4046.0,124831.0,128877.0,3.1,2.0,89770.0,41.1,799330.0,4527404.0
