speciesID	reactionID
M_m02040c	R_HMR_4034
M_m02046c	R_HMR_4034
M_m02039c	R_HMR_4036
M_m02660c	R_HMR_4036
M_m02039c	R_HMR_4050
M_m02559c	R_HMR_4050
M_m02751c	R_HMR_4050
M_m01752c	R_HMR_4056
M_m02040c	R_HMR_4056
M_m02040r	R_HMR_4059
M_m03106r	R_HMR_4059
M_m02040s	R_HMR_4060
M_m03106s	R_HMR_4060
M_m02040c	R_HMR_4127
M_m03108c	R_HMR_4127
M_m01590c	R_HMR_4177
M_m02040c	R_HMR_4177
M_m01590s	R_HMR_4179
M_m02040s	R_HMR_4179
M_m01630c	R_HMR_4182
M_m02034c	R_HMR_4182
M_m01424s	R_HMR_4183
M_m02040s	R_HMR_4183
M_m01623s	R_HMR_4192
M_m02040s	R_HMR_4192
M_m01371c	R_HMR_4194
M_m01975c	R_HMR_4194
M_m02040c	R_HMR_4194
M_m03130c	R_HMR_4194
M_m02039c	R_HMR_4210
M_m02696c	R_HMR_4210
M_m03106c	R_HMR_4210
M_m02040s	R_HMR_4211
M_m03130s	R_HMR_4211
M_m02806c	R_HMR_4343
M_m03118c	R_HMR_4343
M_m01052c	R_HMR_4345
M_m02554c	R_HMR_4345
M_m01052c	R_HMR_4346
M_m02040c	R_HMR_4346
M_m02039c	R_HMR_4470
M_m02553c	R_HMR_4470
M_m02997c	R_HMR_4470
M_m02039m	R_HMR_4471
M_m02553m	R_HMR_4471
M_m02997m	R_HMR_4471
M_m02039c	R_HMR_4472
M_m02555c	R_HMR_4472
M_m02997c	R_HMR_4472
M_m01752m	R_HMR_4484
M_m02040m	R_HMR_4484
M_m00639c	R_HMR_4485
M_m02997c	R_HMR_4485
M_m01644c	R_HMR_4510
M_m02040c	R_HMR_4510
M_m01285c	R_HMR_4512
M_m01643c	R_HMR_4512
M_m01371c	R_HMR_4513
M_m01668c	R_HMR_4513
M_m01668c	R_HMR_4514
M_m02040c	R_HMR_4514
M_m02660c	R_HMR_4577
M_m02759c	R_HMR_4577
M_m02751c	R_HMR_4579
