frequenc,sex,age,isced97,time\geo	BE 	BG 	CZ 	EL 	ES 	CY 	LV 	HU 	MT 	RO 	SI 	SK 
NBINGE,M,Y65-74,ED0-2,2008	33.1 u	31.4 	: 	46.5 	51.8 	42.1 	7.7 	36.1 	16.8 	20.4 	45.1 u	19.6 u
NBINGE,M,Y65-74,ED3_4,2008	47.8 	31.9 	28.2 	35.1 u	50.6 	52.2 	9.2 	46.0 	28.9 	17.5 	28.1 	20.1 
NBINGE,M,Y65-74,ED5_6,2008	58.1 	29.6 	: 	62.9 	54.5 	41.1 u	13.9 u	63.8 u	31.6 u	24.5 	: 	9.9 u
NBINGE,M,Y65-74,TOTAL,2008	42.3 	31.3 	28.0 	48.5 	52.0 	44.4 	9.2 	45.3 	22.1 	19.5 	29.8 	18.2 
NBINGE,M,Y75-84,ED0-2,2008	45.4 u	25.8 	: 	41.0 	43.7 	36.5 	3.2 	46.5 u	20.0 	16.4 	: 	20.1 u
NBINGE,M,Y75-84,ED3_4,2008	56.7 	38.6 	27.1 u	42.7 u	54.7 	53.1 u	9.7 u	38.9 	40.0 u	13.6 	43.4 u	24.4 u
NBINGE,M,Y75-84,ED5_6,2008	57.8 	20.0 u	: 	54.0 u	55.3 	: 	: 	7.8 u	: 	12.1 u	: 	: 
NBINGE,M,Y75-84,TOTAL,2008	50.2 u	28.1 	35.5 	42.6 	45.5 	42.6 	6.8 	35.4 	23.6 	15.4 	46.0 	28.4 
NBINGE,M,Y_GE85,ED0-2,2008	39.6 u	25.9 u	: 	24.3 u	33.8 u	23.2 u	: 	: 	: 	13.8 	: 	: 
NBINGE,M,Y_GE85,ED3_4,2008	56.5 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NBINGE,M,Y_GE85,ED5_6,2008	61.5 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NBINGE,M,Y_GE85,TOTAL,2008	47.8 u	33.3 u	: 	25.9 	35.5 u	29.3 u	: 	28.6 u	20.0 u	10.6 	: 	: 
NBINGE,T,TOTAL,ED0-2,2008	24.5 u	16.7 	14.1 	27.9 	27.7 	24.0 	6.9 	14.9 	13.8 	10.1 	14.2 	7.1 
NBINGE,T,TOTAL,ED3_4,2008	24.6 	23.5 	16.8 	36.7 	33.5 	30.0 	11.5 	21.3 	17.2 	13.4 	16.2 	15.0 
NBINGE,T,TOTAL,ED5_6,2008	32.6 	24.8 	28.1 	42.2 	40.4 	37.9 	17.3 	29.8 	25.1 	17.0 	26.9 	22.2 
NBINGE,T,TOTAL,TOTAL,2008	27.2 u	21.5 	17.7 	34.2 	32.0 	29.5 	11.3 	21.1 	17.2 	12.6 	17.4 	15.1 
NBINGE,T,Y15-24,ED0-2,2008	2.0 u	10.1 	8.5 	19.0 	18.9 	15.2 	6.6 	7.6 	10.7 u	4.5 	13.2 	5.6 
NBINGE,T,Y15-24,ED3_4,2008	7.9 	17.9 	6.3 	42.4 	23.6 	28.0 u	15.1 	16.2 	13.9 	9.4 	9.9 	12.5 
NBINGE,T,Y15-24,ED5_6,2008	9.6 	19.1 u	: 	38.9 	30.1 	36.9 	12.3 	7.2 u	19.6 	12.6 	: 	16.1 
NBINGE,T,Y15-24,TOTAL,2008	7.1 	14.3 	8.6 	33.6 	21.7 	23.9 	10.8 	11.9 	14.7 	7.1 	11.5 	10.2 
NBINGE,T,Y25-34,ED0-2,2008	10.7 u	21.9 	11.6 u	33.9 	21.8 	26.0 	10.1 	16.3 	11.1 u	14.9 	: 	: 
NBINGE,T,Y25-34,ED3_4,2008	13.2 u	22.7 	12.3 	37.4 	23.8 	24.8 	13.7 	13.9 	12.1 	13.9 	6.5 	14.6 
NBINGE,T,Y25-34,ED5_6,2008	21.3 	22.8 	18.7 	40.0 	30.8 	39.6 	17.9 	23.0 	20.0 	15.6 	22.4 	19.4 
NBINGE,T,Y25-34,TOTAL,2008	16.6 	22.5 	13.6 	37.6 	25.7 	31.4 	14.2 	16.8 	14.3 	14.5 	10.2 	15.8 
NBINGE,T,Y35-44,ED0-2,2008	14.2 u	14.6 	: 	34.7 	27.2 	29.3 	9.3 	20.1 	16.7 u	11.8 	14.2 u	: 
NBINGE,T,Y35-44,ED3_4,2008	15.2 	27.7 	12.7 	33.4 	32.5 	27.5 	12.4 	20.7 	17.8 	15.1 	12.9 	16.1 
NBINGE,T,Y35-44,ED5_6,2008	32.2 	29.6 	25.9 u	42.1 	40.9 	34.2 	19.0 	26.9 	27.2 	18.4 	25.0 	22.3 
NBINGE,T,Y35-44,TOTAL,2008	22.8 	26.2 	14.9 	36.2 	33.2 	29.8 	13.9 	22.2 	19.3 	15.1 	16.2 	17.3 
NBINGE,T,Y45-54,ED0-2,2008	16.7 u	24.7 	11.0 u	25.8 	33.6 	29.1 	13.1 	13.4 	12.3 	11.4 	11.2 	10.4 u
NBINGE,T,Y45-54,ED3_4,2008	27.6 	27.2 	21.9 	34.3 	43.7 	32.9 	10.0 	21.9 	19.4 	14.5 	16.2 	16.1 
NBINGE,T,Y45-54,ED5_6,2008	33.7 	29.3 	49.8 u	42.7 	49.6 	35.3 	23.3 	38.2 	33.3 	16.5 	26.0 	29.3 
NBINGE,T,Y45-54,TOTAL,2008	26.0 	27.1 	23.2 	33.8 	40.1 	32.2 	13.9 	23.6 	18.7 	14.1 	16.9 	18.2 
NBINGE,T,Y55-64,ED0-2,2008	29.8 	20.2 	19.9 	30.5 	33.9 	27.4 	6.7 	18.7 	15.2 	11.5 	16.1 	14.1 
NBINGE,T,Y55-64,ED3_4,2008	34.6 	22.4 	23.1 	42.5 	47.8 	36.7 	11.1 	27.8 	20.6 	13.5 	27.0 	16.4 
NBINGE,T,Y55-64,ED5_6,2008	38.4 	24.4 	25.4 u	42.5 	53.3 	42.8 	16.4 	41.1 	37.5 	23.4 	32.3 u	22.3 
NBINGE,T,Y55-64,TOTAL,2008	33.6 	22.1 	23.0 	35.7 	39.7 	32.2 	11.0 	28.1 	18.6 	13.5 	24.4 	17.1 
NBINGE,T,Y65-74,ED0-2,2008	31.0 u	18.7 	26.5 	30.4 	30.5 	25.2 	5.6 	18.2 	15.1 	13.1 	19.8 	8.4 
NBINGE,T,Y65-74,ED3_4,2008	46.5 	21.4 	28.4 	28.1 	47.3 	39.9 	7.6 	31.4 	27.2 	12.6 	27.1 	13.2 
NBINGE,T,Y65-74,ED5_6,2008	59.5 	17.7 	: 	53.2 	51.0 	40.2 	8.9 	40.7 	29.6 u	17.7 	27.8 u	14.3 
NBINGE,T,Y65-74,TOTAL,2008	39.6 	19.5 	27.9 	32.9 	34.3 	29.7 	6.9 	26.5 	18.8 	13.2 	24.2 	12.1 
NBINGE,T,Y75-84,ED0-2,2008	36.0 u	12.5 	14.2 	24.9 	25.8 	17.6 	2.2 	16.4 	12.1 	10.1 	16.8 	6.6 
NBINGE,T,Y75-84,ED3_4,2008	52.2 u	18.3 	17.7 	28.7 	40.7 	39.0 	3.2 	24.7 	30.4 	8.8 	34.1 u	12.3 
NBINGE,T,Y75-84,ED5_6,2008	58.6 u	14.8 u	: 	40.9 	45.9 	61.4 u	4.5 	9.8 u	: 	14.0 	: 	: 
NBINGE,T,Y75-84,TOTAL,2008	42.4 u	14.2 	21.1 	26.5 	27.8 	22.9 	2.8 	18.2 	15.7 	10.1 	25.6 	12.4 
NBINGE,T,Y_GE85,ED0-2,2008	27.6 u	14.9 	: 	15.0 	20.6 u	15.7 	3.0 	12.2 	10.0 u	4.8 	: 	: 
NBINGE,T,Y_GE85,ED3_4,2008	48.5 u	: 	: 	: 	40.8 u	: 	: 	: 	: 	1.5 u	: 	: 
NBINGE,T,Y_GE85,ED5_6,2008	57.6 u	: 	: 	: 	39.2 u	: 	: 	: 	: 	: 	: 	: 
NBINGE,T,Y_GE85,TOTAL,2008	35.4 u	16.5 	19.4 u	16.2 	22.6 u	18.9 	4.0 	17.2 	11.4 u	4.0 	: 	8.6 u
NVR_OCC,F,TOTAL,ED0-2,2008	59.1 u	88.3 	71.4 	78.8 	80.2 	87.6 	87.4 	87.9 	84.9 	87.4 	82.0 	90.4 
NVR_OCC,F,TOTAL,ED3_4,2008	48.9 	79.2 	61.9 	62.2 	66.1 	77.2 	77.4 	79.2 	66.3 	84.9 	72.2 	76.5 
NVR_OCC,F,TOTAL,ED5_6,2008	38.6 	73.0 	35.9 	56.8 	56.8 	68.5 	72.1 	70.2 	55.2 	80.8 	59.6 	66.4 
NVR_OCC,F,TOTAL,TOTAL,2008	49.0 u	81.1 	61.1 	68.7 	71.6 	79.3 	78.9 	80.2 	71.6 	85.5 	73.0 	77.2 
NVR_OCC,F,Y15-24,ED0-2,2008	51.5 u	94.2 	66.5 	83.3 	73.8 	89.6 	85.7 	86.1 	: 	95.9 	67.4 	86.8 
NVR_OCC,F,Y15-24,ED3_4,2008	67.5 	86.1 	56.0 	47.0 	61.3 	70.1 u	71.3 	70.4 	50.5 	91.9 	67.0 	72.9 
NVR_OCC,F,Y15-24,ED5_6,2008	53.3 	: 	: 	48.7 u	51.7 	52.8 	68.8 	71.7 u	47.3 	85.8 u	: 	69.4 
NVR_OCC,F,Y15-24,TOTAL,2008	60.4 	89.6 	56.7 	58.1 	66.5 	74.3 	77.4 	77.4 	51.2 	93.6 	66.3 	77.7 
NVR_OCC,F,Y25-34,ED0-2,2008	90.3 u	79.0 	: 	63.5 	82.4 	87.6 	76.9 	88.7 u	: 	79.4 	: 	: 
NVR_OCC,F,Y25-34,ED3_4,2008	59.0 	80.4 	66.0 	66.2 	75.4 	79.9 	68.5 	81.8 	69.6 	82.2 	88.0 	72.2 
NVR_OCC,F,Y25-34,ED5_6,2008	41.9 	73.3 	44.3 u	50.1 	58.2 	65.8 	65.0 	72.8 	56.8 	81.9 	50.7 	65.6 
NVR_OCC,F,Y25-34,TOTAL,2008	54.5 	78.0 	61.0 	60.4 	70.3 	74.0 	68.5 	79.3 	66.3 	81.6 	75.5 	70.4 
NVR_OCC,F,Y35-44,ED0-2,2008	66.6 	89.1 	: 	67.2 	77.0 	81.8 	71.1 u	88.8 	: 	78.3 	89.7 u	: 
NVR_OCC,F,Y35-44,ED3_4,2008	55.8 	71.6 	59.0 	61.2 	69.8 	80.8 	65.8 	82.0 	67.9 	80.7 	72.8 	71.0 
NVR_OCC,F,Y35-44,ED5_6,2008	40.8 	69.3 	: 	54.6 	59.3 	77.7 	68.9 	74.7 	65.8 u	74.1 	66.7 	64.0 
NVR_OCC,F,Y35-44,TOTAL,2008	49.8 	73.1 	57.0 	60.6 	68.6 	80.1 	67.5 	80.5 	67.7 	79.6 	73.1 	69.1 
NVR_OCC,F,Y45-54,ED0-2,2008	52.4 	81.3 	: 	78.4 	76.4 	85.1 	66.8 	88.9 	87.0 	82.2 	95.3 	88.2 u
NVR_OCC,F,Y45-54,ED3_4,2008	40.3 	72.0 	55.7 	68.4 	61.6 	78.8 	77.2 	77.3 	71.2 	83.5 	69.8 	75.0 
NVR_OCC,F,Y45-54,ED5_6,2008	30.3 	61.5 	: 	63.0 	50.1 	75.1 	66.7 	61.7 	48.3 u	80.0 	64.6 u	60.5 
NVR_OCC,F,Y45-54,TOTAL,2008	40.9 	71.3 	53.7 	71.3 	66.4 	80.2 	73.0 	76.7 	74.5 	82.8 	74.9 	73.6 
NVR_OCC,F,Y55-64,ED0-2,2008	43.1 	84.5 	75.2 u	77.0 	79.3 	88.0 	87.6 	84.8 	83.6 	84.1 	76.5 	81.8 u
NVR_OCC,F,Y55-64,ED3_4,2008	35.5 	81.4 	60.3 	61.5 	58.0 	74.0 	83.1 	79.2 	77.6 	86.9 	64.7 	81.5 
NVR_OCC,F,Y55-64,ED5_6,2008	37.3 	76.4 	: 	66.0 	57.4 	70.4 	79.3 	64.5 	47.4 u	81.6 	52.0 u	71.1 
NVR_OCC,F,Y55-64,TOTAL,2008	39.4 	81.3 	60.4 	72.0 	72.7 	82.3 	83.2 	78.4 	79.8 	85.0 	67.5 	79.8 
NVR_OCC,F,Y65-74,ED0-2,2008	60.5 	87.8 	67.2 u	79.9 	84.1 	86.1 	92.5 	88.9 	82.3 	87.1 	84.7 	94.7 
NVR_OCC,F,Y65-74,ED3_4,2008	44.8 u	84.2 	61.2 	72.5 	52.7 	74.7 	90.1 	77.8 	69.0 u	92.1 	66.3 u	89.9 
NVR_OCC,F,Y65-74,ED5_6,2008	28.1 	94.0 	: 	74.6 u	56.1 	: 	92.1 	69.9 u	: 	88.6 	: 	80.1 u
NVR_OCC,F,Y65-74,TOTAL,2008	52.6 	87.2 	64.2 	78.5 	79.7 	83.0 	91.5 	82.7 	80.0 	88.3 	75.8 	90.7 
NVR_OCC,F,Y75-84,ED0-2,2008	65.1 u	93.2 	87.9 u	86.1 	86.1 	93.3 	96.7 	91.1 	92.0 	90.2 	84.9 	97.6 
NVR_OCC,F,Y75-84,ED3_4,2008	38.9 u	92.8 	87.7 	83.9 u	71.9 	78.1 u	99.2 	85.1 	73.1 u	95.2 	: 	93.4 
NVR_OCC,F,Y75-84,ED5_6,2008	40.2 u	: 	: 	89.7 u	73.6 	: 	100.0 u	: 	: 	83.1 u	: 	: 
NVR_OCC,F,Y75-84,TOTAL,2008	57.4 u	93.1 	84.9 	86.0 	84.9 	90.8 	97.9 	89.4 	88.7 	90.6 	83.1 	94.1 
NVR_OCC,F,Y_GE85,ED0-2,2008	75.4 u	93.7 u	: 	91.0 	87.6 u	89.8 	98.5 	81.6 u	91.3 u	98.6 	: 	100.0 u
NVR_OCC,F,Y_GE85,ED3_4,2008	55.5 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NVR_OCC,F,Y_GE85,ED5_6,2008	46.4 u	: 	: 	: 	50.1 u	: 	: 	: 	: 	: 	: 	: 
NVR_OCC,F,Y_GE85,TOTAL,2008	69.3 u	95.6 u	87.0 u	90.3 	85.4 u	90.1 	98.9 	83.9 	91.7 u	98.8 	: 	100.0 u
NVR_OCC,M,TOTAL,ED0-2,2008	37.9 u	55.2 	50.2 	42.8 	48.1 	50.2 	61.0 	53.5 	63.6 	57.6 	53.7 	68.0 
NVR_OCC,M,TOTAL,ED3_4,2008	32.0 	42.4 	29.7 	31.6 	42.5 	39.2 	50.2 	45.5 	43.1 	46.5 	40.8 	43.3 
NVR_OCC,M,TOTAL,ED5_6,2008	17.4 	51.4 	18.4 	31.2 	35.9 	33.9 	49.8 	36.6 	30.7 	55.1 	31.3 	46.5 
NVR_OCC,M,TOTAL,TOTAL,2008	29.1 	47.8 	31.0 	36.0 	43.9 	42.0 	53.6 	45.7 	47.2 	50.7 	42.0 	47.0 
NVR_OCC,M,Y15-24,ED0-2,2008	43.9 u	79.8 	60.0 	70.9 	58.6 	73.0 	75.5 	70.5 	: 	83.3 	68.1 	75.9 
NVR_OCC,M,Y15-24,ED3_4,2008	38.5 u	60.7 	33.4 	27.6 	42.4 	46.9 u	54.9 	54.7 	38.3 	66.2 	39.0 	53.7 
NVR_OCC,M,Y15-24,ED5_6,2008	10.6 u	: 	: 	: 	37.2 	27.7 u	55.3 u	: 	26.2 u	69.1 u	: 	64.9 u
NVR_OCC,M,Y15-24,TOTAL,2008	35.4 u	69.1 	43.9 	46.9 	51.7 	57.2 	65.4 	61.7 	38.5 	74.8 	51.1 	63.5 
NVR_OCC,M,Y25-34,ED0-2,2008	43.7 u	50.9 	: 	35.2 	52.8 	39.8 	45.9 	56.4 	: 	43.0 	: 	: 
NVR_OCC,M,Y25-34,ED3_4,2008	34.0 u	44.5 	32.9 	23.3 	47.8 	32.6 	38.6 	57.6 	40.1 	48.0 	44.1 	45.7 
NVR_OCC,M,Y25-34,ED5_6,2008	20.8 	60.9 	16.9 u	29.6 	40.2 	25.8 	44.4 	43.9 	26.1 	57.7 	32.6 u	45.7 
NVR_OCC,M,Y25-34,TOTAL,2008	29.9 u	49.2 	29.9 	27.5 	47.3 	31.4 	41.8 	54.5 	37.3 	49.1 	42.1 	45.9 
NVR_OCC,M,Y35-44,ED0-2,2008	42.9 u	39.9 	: 	27.9 	46.9 	41.8 	43.6 	43.0 	65.4 u	35.0 	37.3 u	: 
NVR_OCC,M,Y35-44,ED3_4,2008	34.3 	33.6 	26.1 	37.3 	46.5 	39.1 	45.6 	46.6 	42.7 	38.9 	41.7 	35.8 
NVR_OCC,M,Y35-44,ED5_6,2008	21.8 	47.0 	: 	30.6 	34.6 	37.8 	41.7 	29.4 	32.6 u	47.7 	36.4 u	43.1 
NVR_OCC,M,Y35-44,TOTAL,2008	30.9 	37.0 	25.0 	32.7 	43.1 	39.2 	44.5 	43.1 	43.4 	39.5 	40.1 	37.4 
NVR_OCC,M,Y45-54,ED0-2,2008	35.9 u	23.7 	: 	31.6 	38.8 	38.0 	41.2 	45.3 	57.3 	34.6 	49.2 u	: 
NVR_OCC,M,Y45-54,ED3_4,2008	29.7 	34.3 	18.6 	31.5 	33.5 	39.6 	50.5 	39.6 	41.5 	36.0 	39.3 	38.9 
NVR_OCC,M,Y45-54,ED5_6,2008	13.8 	34.7 	: 	30.6 	32.9 	40.9 	46.0 	31.3 	30.0 u	51.8 	24.3 u	41.2 
NVR_OCC,M,Y45-54,TOTAL,2008	26.4 	32.3 	18.3 	31.2 	36.0 	39.4 	47.8 	38.7 	44.6 	37.5 	39.1 	39.8 
NVR_OCC,M,Y55-64,ED0-2,2008	31.0 	43.8 	: 	38.2 	40.6 	42.0 	41.7 	35.6 	56.3 	44.1 	60.1 u	50.7 u
NVR_OCC,M,Y55-64,ED3_4,2008	34.7 	36.0 	30.1 	33.7 	34.1 	37.0 	50.9 	33.4 	53.2 	44.3 	38.2 	38.6 
NVR_OCC,M,Y55-64,ED5_6,2008	8.8 	47.0 	26.8 u	29.7 	31.5 	32.7 	53.2 	21.7 	20.7 u	46.0 	25.1 u	42.3 
NVR_OCC,M,Y55-64,TOTAL,2008	24.7 	40.2 	28.3 	35.0 	37.4 	38.8 	48.4 	31.6 	51.6 	44.4 	41.1 	40.0 
NVR_OCC,M,Y65-74,ED0-2,2008	36.6 u	57.0 	: 	42.0 	45.3 	48.4 	71.9 	40.5 	66.3 	45.9 	32.6 u	48.9 u
NVR_OCC,M,Y65-74,ED3_4,2008	19.8 	52.2 	37.4 	49.8 u	46.0 	39.9 	68.7 	40.6 	53.9 	51.2 	42.1 	50.8 
NVR_OCC,M,Y65-74,ED5_6,2008	24.1 	61.1 	: 	29.0 	37.4 	45.6 u	69.9 u	20.9 u	57.9 u	58.6 	: 	76.6 u
NVR_OCC,M,Y65-74,TOTAL,2008	29.2 	55.9 	39.5 	40.3 	44.3 	45.9 	70.3 	37.4 	61.6 	49.1 	41.0 	55.1 
NVR_OCC,M,Y75-84,ED0-2,2008	41.9 u	60.8 	: 	45.9 	54.7 	61.2 	87.0 	47.8 u	78.3 	60.3 	: 	69.1 u
NVR_OCC,M,Y75-84,ED3_4,2008	26.2 	53.5 	47.7 u	54.8 u	44.1 	46.9 u	78.0 u	40.5 	50.0 u	71.3 	43.2 u	61.7 u
NVR_OCC,M,Y75-84,ED5_6,2008	19.0 	73.3 u	: 	40.8 u	38.9 	: 	: 	83.4 u	: 	80.5 u	: 	: 
NVR_OCC,M,Y75-84,TOTAL,2008	34.1 u	60.9 	46.0 	46.5 	52.5 	55.8 	82.8 	51.9 	69.7 	64.6 	38.8 	58.1 
NVR_OCC,M,Y_GE85,ED0-2,2008	51.3 u	66.7 u	: 	71.5 u	65.6 u	72.9 u	: 	: 	: 	81.3 	: 	: 
NVR_OCC,M,Y_GE85,ED3_4,2008	31.6 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NVR_OCC,M,Y_GE85,ED5_6,2008	26.5 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NVR_OCC,M,Y_GE85,TOTAL,2008	41.9 u	61.2 u	: 	70.5 	62.8 u	67.4 u	: 	67.9 u	80.0 u	84.1 	: 	: 
NVR_OCC,T,TOTAL,ED0-2,2008	49.4 u	73.1 	63.4 	62.3 	64.6 	70.4 	74.5 	75.3 	76.2 	75.9 	71.2 	81.8 
NVR_OCC,T,TOTAL,ED3_4,2008	40.4 	60.9 	45.7 	47.4 	54.4 	58.4 	64.7 	61.4 	55.4 	65.6 	54.5 	59.8 
NVR_OCC,T,TOTAL,ED5_6,2008	28.5 	64.1 	26.8 	42.7 	46.5 	51.6 	64.5 	55.9 	42.4 	68.3 	47.3 	57.0 
NVR_OCC,T,TOTAL,TOTAL,2008	39.6 u	65.4 	46.6 	52.7 	58.0 	61.4 	67.6 	64.1 	60.4 	69.5 	57.8 	62.7 
NVR_OCC,T,Y15-24,ED0-2,2008	46.6 u	86.9 	63.2 	76.1 	65.5 	80.9 	80.3 	78.0 	78.6 u	89.7 	67.8 	81.0 
NVR_OCC,T,Y15-24,ED3_4,2008	50.5 	72.4 	44.0 	37.3 	52.7 	58.7 u	62.8 	62.2 	44.3 	79.0 	52.2 	62.7 
NVR_OCC,T,Y15-24,ED5_6,2008	38.0 	71.3 u	: 	48.2 	45.1 	46.3 	65.1 	65.2 u	38.1 	79.5 	: 	67.8 
NVR_OCC,T,Y15-24,TOTAL,2008	46.8 	79.1 	50.2 	52.5 	59.0 	66.1 	71.4 	69.4 	45.0 	84.3 	58.4 	70.5 
NVR_OCC,T,Y25-34,ED0-2,2008	66.7 u	64.2 	52.7 u	47.6 	65.4 	59.1 	57.3 	72.0 	66.7 u	62.8 	62.9 u	: 
NVR_OCC,T,Y25-34,ED3_4,2008	46.5 u	60.6 	47.6 	44.4 	61.1 	55.9 	52.2 	68.4 	57.0 	65.5 	63.4 	58.3 
NVR_OCC,T,Y25-34,ED5_6,2008	33.0 	68.3 	32.5 	39.8 	50.2 	48.7 	57.8 	61.8 	42.7 	70.5 	43.5 	56.1 
NVR_OCC,T,Y25-34,TOTAL,2008	43.0 	63.3 	44.7 	43.5 	58.5 	53.3 	55.0 	66.9 	53.5 	66.0 	58.0 	57.9 
NVR_OCC,T,Y35-44,ED0-2,2008	53.8 u	60.6 	: 	45.4 	60.5 	61.4 	52.8 	65.7 	66.7 u	60.1 	63.3 u	: 
NVR_OCC,T,Y35-44,ED3_4,2008	44.5 	52.2 	43.8 	50.0 	57.9 	61.7 	54.9 	62.3 	57.5 	60.6 	54.8 	52.3 
NVR_OCC,T,Y35-44,ED5_6,2008	32.7 	61.0 	22.2 u	42.2 	47.9 	56.7 	60.7 	59.1 	48.2 	61.0 	55.4 	55.4 
NVR_OCC,T,Y35-44,TOTAL,2008	40.6 	55.5 	41.8 	46.6 	55.6 	60.1 	56.3 	61.9 	56.8 	60.6 	56.1 	53.1 
NVR_OCC,T,Y45-54,ED0-2,2008	44.1 u	53.2 	44.4 u	58.1 	58.2 	63.9 	51.5 	73.5 	74.0 	66.6 	73.3 	75.6 u
NVR_OCC,T,Y45-54,ED3_4,2008	35.2 	53.2 	37.0 	52.0 	48.0 	59.3 	64.7 	57.3 	57.5 	59.7 	52.8 	57.2 
NVR_OCC,T,Y45-54,ED5_6,2008	22.1 	50.8 	9.6 u	42.9 	41.1 	56.8 	58.7 	47.1 	37.7 	66.1 	47.5 	50.0 
NVR_OCC,T,Y45-54,TOTAL,2008	33.7 	52.7 	35.4 	51.5 	51.4 	60.2 	61.2 	58.1 	60.6 	61.8 	56.5 	56.9 
NVR_OCC,T,Y55-64,ED0-2,2008	37.6 	65.2 	60.9 	60.8 	61.9 	67.7 	62.8 	70.6 	72.6 	71.7 	70.6 	71.3 
NVR_OCC,T,Y55-64,ED3_4,2008	35.2 	60.5 	44.4 	47.0 	46.3 	55.6 	70.5 	56.0 	64.6 	63.1 	49.3 	60.9 
NVR_OCC,T,Y55-64,ED5_6,2008	21.0 	63.9 	31.0 u	43.4 	41.6 	46.7 	69.7 	44.1 	31.3 	64.6 	38.5 u	57.7 
NVR_OCC,T,Y55-64,TOTAL,2008	32.2 	62.5 	44.7 	54.1 	55.6 	61.3 	68.5 	57.2 	66.8 	66.7 	54.3 	61.4 
NVR_OCC,T,Y65-74,ED0-2,2008	50.6 u	75.9 	66.5 	64.2 	68.0 	70.7 	84.8 	74.0 	76.1 	73.2 	73.2 	84.5 
NVR_OCC,T,Y65-74,ED3_4,2008	32.5 	70.5 	50.3 	62.8 	48.9 	55.8 	82.5 	58.8 	59.3 	69.5 	52.2 	72.6 
NVR_OCC,T,Y65-74,ED5_6,2008	25.7 	76.4 	: 	40.8 	43.7 	49.8 	83.9 	48.5 	63.0 u	71.5 	48.7 u	78.1 
NVR_OCC,T,Y65-74,TOTAL,2008	41.8 	74.0 	54.1 	61.1 	63.5 	65.6 	83.7 	64.5 	71.4 	71.9 	60.3 	76.5 
NVR_OCC,T,Y75-84,ED0-2,2008	56.3 u	82.1 	84.9 	69.6 	73.6 	81.5 	94.0 	82.1 	87.3 	80.2 	79.7 	90.9 
NVR_OCC,T,Y75-84,ED3_4,2008	33.2 u	78.9 	73.2 	68.5 	58.7 	59.2 	93.5 	64.0 	63.0 	83.1 	54.3 u	80.7 
NVR_OCC,T,Y75-84,ED5_6,2008	27.7 u	80.9 u	: 	55.4 	50.2 	38.7 u	93.0 	84.1 u	: 	81.5 	: 	: 
NVR_OCC,T,Y75-84,TOTAL,2008	47.7 u	81.1 	71.1 	68.5 	71.3 	76.1 	93.7 	76.8 	81.3 	80.8 	68.3 	82.0 
NVR_OCC,T,Y_GE85,ED0-2,2008	68.7 u	81.9 	: 	83.3 	79.2 u	82.6 	97.0 	82.3 	87.5 u	93.1 	: 	91.8 u
NVR_OCC,T,Y_GE85,ED3_4,2008	46.2 u	: 	: 	: 	59.2 u	: 	: 	: 	: 	95.1 u	: 	: 
NVR_OCC,T,Y_GE85,ED5_6,2008	36.4 u	: 	: 	: 	53.3 u	: 	: 	: 	: 	: 	: 	: 
NVR_OCC,T,Y_GE85,TOTAL,2008	60.4 u	81.2 	78.9 u	82.4 	76.8 u	79.5 	96.0 	79.2 	86.4 u	93.7 	: 	86.3 u
WEEK,F,TOTAL,ED0-2,2008	2.6 u	0.3 	0.9 	0.1 	0.6 	0.1 	1.4 	0.8 	1.0 	0.6 	0.5 	0.5 
WEEK,F,TOTAL,ED3_4,2008	3.1 	0.3 	1.0 	0.2 	1.4 	0.1 	1.3 	1.6 	3.6 	0.5 	0.8 	0.2 
WEEK,F,TOTAL,ED5_6,2008	2.5 	: 	: 	0.6 	1.1 	0.2 	1.1 	0.2 	2.2 	0.6 	: 	0.4 
WEEK,F,TOTAL,TOTAL,2008	2.7 u	0.2 	0.9 	0.2 	0.9 	0.1 	1.3 	1.0 	2.5 	0.5 	0.5 	0.3 
WEEK,F,Y15-24,ED0-2,2008	32.3 u	0.8 	2.7 	: 	3.5 	: 	1.7 	1.7 	: 	0.2 	2.9 	0.6 
WEEK,F,Y15-24,ED3_4,2008	2.5 	: 	2.1 	0.2 	5.0 	: 	2.2 	4.8 	6.9 	0.2 	3.5 	0.4 
WEEK,F,Y15-24,ED5_6,2008	5.6 	: 	: 	0.6 u	0.6 	: 	: 	: 	5.5 	5.5 u	: 	: 
WEEK,F,Y15-24,TOTAL,2008	7.9 	0.4 	2.2 	0.2 	3.7 	: 	1.7 	3.1 	6.3 	0.4 	3.1 	0.4 
WEEK,F,Y25-34,ED0-2,2008	0.4 u	: 	: 	: 	0.4 	: 	: 	: 	: 	1.1 	: 	: 
WEEK,F,Y25-34,ED3_4,2008	1.2 	0.7 	0.9 	0.2 	0.9 	: 	2.0 	0.6 	4.4 	1.0 	: 	: 
WEEK,F,Y25-34,ED5_6,2008	2.2 	: 	: 	0.3 	2.4 	0.5 	2.9 	0.5 	1.2 	: 	: 	1.2 
WEEK,F,Y25-34,TOTAL,2008	1.6 	0.3 	0.6 	0.2 	1.4 	0.2 	2.0 	0.5 	4.0 	0.8 	: 	0.4 
