Date,Location,CumulativePositiveCase
2020-02-29,nuts/ITC15,0
2020-02-29,nuts/ITC11,11
2020-02-29,nuts/ITC14,0
2020-02-29,nuts/ITC12,0
2020-02-29,nuts/ITF47,0
2020-02-29,nuts/ITF48,0
2020-02-29,nuts/ITF44,0
2020-02-29,nuts/ITF46,0
2020-02-29,nuts/ITF45,0
2020-02-29,nuts/ITF43,3
2020-02-29,nuts/ITG27,0
2020-02-29,nuts/ITG26,0
2020-02-29,nuts/ITG28,0
2020-02-29,nuts/ITG25,0
2020-02-29,nuts/ITG14,0
2020-02-29,nuts/ITG15,0
2020-02-29,nuts/ITG17,1
2020-02-29,nuts/ITG16,0
2020-02-29,nuts/ITG13,0
2020-02-29,nuts/ITG12,3
2020-02-29,nuts/ITG18,0
2020-02-29,nuts/ITG19,0
2020-02-29,nuts/ITG11,0
2020-02-29,nuts/ITI18,0
2020-02-29,nuts/ITI14,5
2020-02-29,nuts/ITI1A,0
2020-02-29,nuts/ITI16,0
2020-02-29,nuts/ITI12,1
2020-02-29,nuts/ITI11,1
2020-02-29,nuts/ITI17,0
2020-02-29,nuts/ITI13,1
2020-02-29,nuts/ITI15,0
2020-02-29,nuts/ITI19,3
2020-02-29,nuts/ITH20,0
2020-02-29,nuts/ITI21,0
2020-02-29,nuts/ITI22,0
2020-02-29,nuts/ITC20,0
2020-02-29,nuts/ITH33,0
2020-02-29,nuts/ITH36,81
2020-02-29,nuts/ITH37,0
2020-02-29,nuts/ITH34,35
2020-02-29,nuts/ITH35,19
2020-02-29,nuts/ITH31,0
2020-02-29,nuts/ITH32,3
2020-03-01,nuts/ITF14,0
2020-03-01,nuts/ITF11,0
2020-03-01,nuts/ITF13,0
2020-03-01,nuts/ITF12,5
2020-03-01,nuts/ITF52,0
2020-03-01,nuts/ITF51,0
2020-03-01,nuts/ITH10,1
2020-03-01,nuts/ITF63,0
2020-03-01,nuts/ITF61,1
2020-03-01,nuts/ITF62,0
2020-03-01,nuts/ITF65,0
2020-03-01,nuts/ITF64,0
2020-03-01,nuts/ITF34,0
2020-03-01,nuts/ITF32,0
2020-03-01,nuts/ITF31,0
2020-03-01,nuts/ITF33,17
2020-03-01,nuts/ITF35,0
2020-03-01,nuts/ITH55,2
2020-03-01,nuts/ITH56,0
2020-03-01,nuts/ITH58,1
2020-03-01,nuts/ITH54,24
2020-03-01,nuts/ITH52,59
2020-03-01,nuts/ITH51,174
2020-03-01,nuts/ITH57,2
2020-03-01,nuts/ITH53,7
2020-03-01,nuts/ITH59,16
2020-03-01,nuts/ITH43,0
2020-03-01,nuts/ITH41,0
2020-03-01,nuts/ITH44,6
2020-03-01,nuts/ITH42,0
2020-03-01,nuts/ITI45,0
2020-03-01,nuts/ITI44,0
2020-03-01,nuts/ITI42,0
2020-03-01,nuts/ITI43,6
2020-03-01,nuts/ITI41,0
2020-03-01,nuts/ITC33,1
2020-03-01,nuts/ITC31,1
2020-03-01,nuts/ITC34,1
2020-03-01,nuts/ITC32,19
2020-03-01,nuts/ITC46,209
2020-03-01,nuts/ITC47,49
2020-03-01,nuts/ITC42,2
2020-03-01,nuts/ITC4A,214
2020-03-01,nuts/ITC43,2
2020-03-01,nuts/ITC49,344
2020-03-01,nuts/ITC4B,4
2020-03-01,nuts/ITC4C,46
2020-03-01,nuts/ITC4D,6
2020-03-01,nuts/ITC48,78
2020-03-01,nuts/ITC44,3
