observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod
geoId/05,2018,dcid:Amount_Investment_TechnicalAssistance,1419459,USDollar,,
geoId/05,2019,dcid:Amount_Investment_TechnicalAssistance,576302,USDollar,,
geoId/05,2024,dcid:Amount_Investment_TechnicalAssistance,520000,USDollar,,
geoId/06,2012,dcid:Amount_Investment,18160327,USDollar,,
geoId/06,2013,dcid:Amount_Investment,15459831,USDollar,,
geoId/06,2014,dcid:Amount_Investment,8182003,USDollar,,
geoId/06,2015,dcid:Amount_Investment,18474967,USDollar,,
geoId/06,2016,dcid:Amount_Investment,19249881,USDollar,,
geoId/06,2017,dcid:Amount_Investment,6301667,USDollar,,
geoId/06,2018,dcid:Amount_Investment,3609093,USDollar,,
geoId/06,2019,dcid:Amount_Investment,3585979,USDollar,,
geoId/06,2020,dcid:Amount_Investment,10939824,USDollar,,
geoId/06,2021,dcid:Amount_Investment,7650679,USDollar,,
geoId/06,2022,dcid:Amount_Investment,94081757,USDollar,,
geoId/06,2023,dcid:Amount_Investment,39905971,USDollar,,
geoId/06,2024,dcid:Amount_Investment,5036547,USDollar,,
geoId/06,2025,dcid:Amount_Investment,3896000,USDollar,,
geoId/06,2026,dcid:Amount_Investment,9511123,USDollar,,
geoId/06,2012,dcid:Amount_Investment_EconomicAdjustmentAssistance,9260337,USDollar,,
geoId/06,2013,dcid:Amount_Investment_EconomicAdjustmentAssistance,4379490,USDollar,,
geoId/06,2014,dcid:Amount_Investment_EconomicAdjustmentAssistance,1985432,USDollar,,
geoId/06,2015,dcid:Amount_Investment_EconomicAdjustmentAssistance,3948096,USDollar,,
geoId/06,2016,dcid:Amount_Investment_EconomicAdjustmentAssistance,1949194,USDollar,,
geoId/06,2019,dcid:Amount_Investment_EconomicAdjustmentAssistance,580000,USDollar,,
geoId/06,2020,dcid:Amount_Investment_EconomicAdjustmentAssistance,8138595,USDollar,,
geoId/06,2021,dcid:Amount_Investment_EconomicAdjustmentAssistance,988712,USDollar,,
geoId/06,2022,dcid:Amount_Investment_EconomicAdjustmentAssistance,86207517,USDollar,,
geoId/06,2023,dcid:Amount_Investment_EconomicAdjustmentAssistance,16324817,USDollar,,
geoId/06,2024,dcid:Amount_Investment_EconomicAdjustmentAssistance,4841547,USDollar,,
geoId/06,2025,dcid:Amount_Investment_EconomicAdjustmentAssistance,600000,USDollar,,
geoId/06,2026,dcid:Amount_Investment_EconomicAdjustmentAssistance,2267800,USDollar,,
geoId/06,2012,dcid:Amount_Investment_ProgramPlanning,856001,USDollar,,
geoId/06,2013,dcid:Amount_Investment_ProgramPlanning,166550,USDollar,,
geoId/06,2014,dcid:Amount_Investment_ProgramPlanning,180000,USDollar,,
geoId/06,2015,dcid:Amount_Investment_ProgramPlanning,890000,USDollar,,
geoId/06,2016,dcid:Amount_Investment_ProgramPlanning,58736,USDollar,,
geoId/06,2017,dcid:Amount_Investment_ProgramPlanning,1983300,USDollar,,
geoId/06,2018,dcid:Amount_Investment_ProgramPlanning,184215,USDollar,,
geoId/06,2020,dcid:Amount_Investment_ProgramPlanning,360000,USDollar,,
geoId/06,2021,dcid:Amount_Investment_ProgramPlanning,222450,USDollar,,
geoId/06,2022,dcid:Amount_Investment_ProgramPlanning,1025818,USDollar,,
geoId/06,2023,dcid:Amount_Investment_ProgramPlanning,360000,USDollar,,
geoId/06,2024,dcid:Amount_Investment_ProgramPlanning,195000,USDollar,,
geoId/06,2025,dcid:Amount_Investment_ProgramPlanning,621000,USDollar,,
geoId/06,2012,dcid:Amount_Investment_PublicWorks,6748731,USDollar,,
geoId/06,2013,dcid:Amount_Investment_PublicWorks,10516954,USDollar,,
geoId/06,2014,dcid:Amount_Investment_PublicWorks,5620500,USDollar,,
geoId/06,2015,dcid:Amount_Investment_PublicWorks,12952826,USDollar,,
geoId/06,2016,dcid:Amount_Investment_PublicWorks,15026526,USDollar,,
geoId/06,2021,dcid:Amount_Investment_PublicWorks,2664550,USDollar,,
geoId/06,2022,dcid:Amount_Investment_PublicWorks,2429910,USDollar,,
geoId/06,2023,dcid:Amount_Investment_PublicWorks,16097607,USDollar,,
geoId/06,2025,dcid:Amount_Investment_PublicWorks,2400000,USDollar,,
geoId/06,2026,dcid:Amount_Investment_PublicWorks,7243323,USDollar,,
geoId/06,2016,dcid:Amount_Investment_RegionalInnovationStrategies,1703410,USDollar,,
geoId/06,2017,dcid:Amount_Investment_RegionalInnovationStrategies,1678710,USDollar,,
geoId/06,2018,dcid:Amount_Investment_RegionalInnovationStrategies,1373910,USDollar,,
geoId/06,2019,dcid:Amount_Investment_RegionalInnovationStrategies,1957049,USDollar,,
geoId/06,2020,dcid:Amount_Investment_RegionalInnovationStrategies,1391229,USDollar,,
geoId/06,2021,dcid:Amount_Investment_RegionalInnovationStrategies,1682669,USDollar,,
geoId/06,2022,dcid:Amount_Investment_RegionalInnovationStrategies,2749512,USDollar,,
geoId/06,2023,dcid:Amount_Investment_RegionalInnovationStrategies,6983547,USDollar,,
geoId/06,2012,dcid:Amount_Investment_TechnicalAssistance,1295258,USDollar,,
geoId/06,2013,dcid:Amount_Investment_TechnicalAssistance,396837,USDollar,,
geoId/06,2014,dcid:Amount_Investment_TechnicalAssistance,396071,USDollar,,
geoId/06,2015,dcid:Amount_Investment_TechnicalAssistance,684044,USDollar,,
geoId/06,2016,dcid:Amount_Investment_TechnicalAssistance,512015,USDollar,,
geoId/06,2017,dcid:Amount_Investment_TechnicalAssistance,2639657,USDollar,,
