,,,,,,,,,,,,
YEAR,observationDate,{Data},populationType,Student,measuredProperty,count,statType,measuredValue,,,,
M_ASI_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HIS_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_BLA_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_WHI_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_TOT_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_DIS_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_LEP_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
F_AME_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_ASI_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HIS_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_BLA_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_WHI_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_TOT_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_DIS_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_LEP_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
M_AME_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_ASI_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HIS_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_BLA_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_WHI_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_TOT_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_DIS_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_LEP_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
F_AME_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_ASI_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HIS_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_BLA_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_WHI_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_TOT_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_DIS_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_LEP_5_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
M_AME_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_ASI_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HIS_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_BLA_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_WHI_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_TOT_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_DIS_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_LEP_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
F_AME_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_ASI_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HIS_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_BLA_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_WHI_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_TOT_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_DIS_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_LEP_5_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
