Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Date,State,isoCode
1422728,72442,0,1350286,1015727,97.9,2034000,1921950,1124274,2015-03,Rajasthan,IN-RJ
8008,164,0,7844,6203,98.6,12000,9375,7295,2015-03,Sikkim,IN-SK
976211,719,0,975492,662102,99.9,1264000,1087207,1008097,2015-03,Tamil Nadu,IN-TN
396518,12231,0,384287,240548,98.6,694000,829983,508425,2015-03,Telangana,IN-TG
51514,6779,0,44735,41884,87.1,57000,77290,48499,2015-03,Tripura,IN-TR
3418114,915571,0,2502543,2230032,84.6,6342000,5535650,2833683,2015-03,Uttar Pradesh,IN-UP
158316,34301,0,124015,98520,87.4,212000,215549,127101,2015-03,Uttarakhand,IN-UT
1398144,244937,0,1153207,889924,82.5,1657000,1866097,1364466,2015-03,West Bengal,IN-WB
20786400,5411688,0,15374712,11557916,87,29270000,28316350,14740810,2010-03,All India,IN
5011,539,0,4472,4472,92.9,9000,5715,2271,2010-03,A & N Islands,IN-AN
1531023,117821,0,1413202,663713,97.2,1693000,1808357,1201495,2010-03,Andhra Pradesh Old,IN-AP
9840,418,0,9422,9422,98.6,30000,22414,5439,2010-03,Arunachal Pradesh,IN-AR
511682,114572,0,397110,374527,82.6,790000,734711,278232,2010-03,Assam,IN-AS
1133991,165800,0,968191,955785,94.7,3047000,1816778,810572,2010-03,Bihar,IN-BR
22252,2957,0,19295,19295,88.3,24000,42165,10886,2010-03,Chandigarh,IN-CH
599298,337089,0,262209,227034,67.8,683000,650755,280852,2010-03,Chhattisgarh,IN-CT
5399,2519,0,2880,2880,69.1,10000,10483,3377,2010-03,Dadra & Nagar Haveli,IN-DN
0,0,0,0,0,0,4000,0,0,2010-03,Daman & Diu,IN-DD
157244,11556,0,145688,128497,94.5,359000,779388,188266,2010-03,Delhi,IN-DL
19540,90,0,19450,11186,99.6,25000,30130,17726,2010-03,Goa,IN-GA
1046751,113303,0,933448,288549,92.7,1440000,1425228,854151,2010-03,Gujarat,IN-GJ
503618,152665,0,350953,196954,83.4,629000,654276,291148,2010-03,Haryana,IN-HR
104970,49487,0,55483,45584,61.4,131000,157805,65160,2010-03,Himachal Pradesh,IN-HP
188188,51053,0,137135,135413,87.2,238000,399543,196999,2010-03,Jammu & Kashmir,IN-JK
562066,281048,0,281018,222601,70.5,876000,655311,171155,2010-03,Jharkhand,IN-JH
