rowid,S.No.,StateCode,StateName(InEnglish),DistrictCode,DistrictVersion,DistrictName(InEnglish),DistrictName(InLocal),Census2001Code,Census2011Code,wikidataId
625,625,5,UTTARAKHAND,46,1,BAGESHWAR,BAGESHWAR,08,063,Q1815313
626,626,5,UTTARAKHAND,47,2,CHAMOLI,CHAMOLI,02,057,Q1797372
627,627,5,UTTARAKHAND,48,3,CHAMPAWAT,CHAMPAWAT,10,065,Q288278
628,628,5,UTTARAKHAND,49,1,DEHRADUN,DEHRADUN,05,060,Q1815740
629,629,5,UTTARAKHAND,50,1,HARIDWAR,HARIDWAR,13,068,Q2270438
630,630,5,UTTARAKHAND,51,1,NAINITAL,NAINITAL,11,066,Q1797306
631,631,5,UTTARAKHAND,52,1,PAURI GARHWAL,PAURI GARHWAL,06,061,Q2085474
632,632,5,UTTARAKHAND,53,3,PITHORAGARH,PITHORAGARH,07,062,Q1945425
633,633,5,UTTARAKHAND,54,2,RUDRA PRAYAG,RUDRA PRAYAG,03,058,Q1805059
634,634,5,UTTARAKHAND,55,3,TEHRI GARHWAL,TEHRI GARHWAL,04,059,Q1357107
635,635,5,UTTARAKHAND,56,2,UDAM SINGH NAGAR,UDAM SINGH NAGAR,12,067,Q1805082
636,636,5,UTTARAKHAND,57,2,UTTAR KASHI,UTTAR KASHI,01,056,Q1773437
637,637,9,UTTAR PRADESH,118,1,AGRA,AGRA,15,146,Q606343
638,638,9,UTTAR PRADESH,119,1,ALIGARH,ALIGARH,12,143,Q766918
639,639,9,UTTAR PRADESH,121,1,AMBEDKAR NAGAR,AMBEDKAR NAGAR,48,178,Q456764
640,640,9,UTTAR PRADESH,640,2,Amethi,Amethi,,000,Q1071494
641,641,9,UTTAR PRADESH,154,2,AMROHA,AMROHA,06,137,Q1891677
642,642,9,UTTAR PRADESH,122,1,AURAIYA,AURAIYA,32,162,Q1812533
643,643,9,UTTAR PRADESH,140,2,AYODHYA,AYODHYA,47,177,Q1814132
644,644,9,UTTAR PRADESH,123,1,AZAMGARH,AZAMGARH,61,191,Q793553
645,645,9,UTTAR PRADESH,124,1,BAGHPAT,BAGHPAT,08,139,Q1797363
646,646,9,UTTAR PRADESH,125,1,BAHRAICH,BAHRAICH,50,180,Q1812548
647,647,9,UTTAR PRADESH,126,1,BALLIA,BALLIA,63,193,Q584644
648,648,9,UTTAR PRADESH,127,1,BALRAMPUR,BALRAMPUR,52,182,Q1948380
649,649,9,UTTAR PRADESH,128,1,BANDA,BANDA,40,170,Q2131759
650,650,9,UTTAR PRADESH,129,1,BARABANKI,BARABANKI,46,176,Q633114
651,651,9,UTTAR PRADESH,130,1,BAREILLY,BAREILLY,20,150,Q1797378
652,652,9,UTTAR PRADESH,131,1,BASTI,BASTI,55,185,Q715267
653,653,9,UTTAR PRADESH,179,2,BHADOHI,BHADOHI,68,198,Q127533
654,654,9,UTTAR PRADESH,132,1,BIJNOR,BIJNOR,03,134,Q1937865
655,655,9,UTTAR PRADESH,133,2,BUDAUN,BUDAUN,19,149,Q1815262
656,656,9,UTTAR PRADESH,134,1,BULANDSHAHR,BULANDSHAHR,11,142,Q1752328
657,657,9,UTTAR PRADESH,135,1,CHANDAULI,CHANDAULI,66,196,Q2733369
658,658,9,UTTAR PRADESH,136,1,CHITRAKOOT,CHITRAKOOT,41,171,Q2089141
659,659,9,UTTAR PRADESH,137,1,DEORIA,DEORIA,60,190,Q731746
660,660,9,UTTAR PRADESH,138,1,ETAH,ETAH,17,201,Q1773429
661,661,9,UTTAR PRADESH,139,1,ETAWAH,ETAWAH,31,161,Q1815288
662,662,9,UTTAR PRADESH,141,1,FARRUKHABAD,FARRUKHABAD,29,159,Q1897251
663,663,9,UTTAR PRADESH,142,1,FATEHPUR,FATEHPUR,42,172,Q1946829
664,664,9,UTTAR PRADESH,143,1,FIROZABAD,FIROZABAD,16,147,Q1946950
665,665,9,UTTAR PRADESH,144,1,GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,10,141,Q1785950
666,666,9,UTTAR PRADESH,145,2,GHAZIABAD,GHAZIABAD,09,140,Q1773444
667,667,9,UTTAR PRADESH,146,1,GHAZIPUR,GHAZIPUR,65,195,Q1287993
668,668,9,UTTAR PRADESH,147,1,GONDA,GONDA,53,183,Q1937857
669,669,9,UTTAR PRADESH,148,1,GORAKHPUR,GORAKHPUR,58,188,Q1144349
670,670,9,UTTAR PRADESH,149,1,HAMIRPUR,HAMIRPUR,38,168,Q2019757
671,671,9,UTTAR PRADESH,661,2,HAPUR,HAPUR,,000,Q5653340
672,672,9,UTTAR PRADESH,150,1,HARDOI,HARDOI,25,155,Q1772822
673,673,9,UTTAR PRADESH,163,2,HATHRAS,HATHRAS,13,144,Q1814892
674,674,9,UTTAR PRADESH,151,1,JALAUN,JALAUN,35,165,Q2089115
675,675,9,UTTAR PRADESH,152,1,JAUNPUR,JAUNPUR,64,194,Q1356060
676,676,9,UTTAR PRADESH,153,1,JHANSI,JHANSI,36,166,Q1937885
677,677,9,UTTAR PRADESH,155,1,KANNAUJ,KANNAUJ,30,160,Q627979
678,678,9,UTTAR PRADESH,156,1,KANPUR DEHAT,KANPUR DEHAT,33,163,Q610612
679,679,9,UTTAR PRADESH,157,1,KANPUR NAGAR,KANPUR NAGAR,34,164,Q2089152
680,680,9,UTTAR PRADESH,633,2,Kasganj,Kasganj,,202,Q890800
681,681,9,UTTAR PRADESH,158,1,KAUSHAMBI,KAUSHAMBI,44,174,Q1946937
682,682,9,UTTAR PRADESH,159,1,KHERI,KHERI,23,153,Q1755447
683,683,9,UTTAR PRADESH,160,1,KUSHI NAGAR,KUSHI NAGAR,59,189,Q1840355
684,684,9,UTTAR PRADESH,161,1,LALITPUR,LALITPUR,37,167,Q1947336
685,685,9,UTTAR PRADESH,162,1,LUCKNOW,LUCKNOW,27,157,Q1773416
686,686,9,UTTAR PRADESH,164,1,MAHARAJGANJ,MAHARAJGANJ,57,187,Q1356139
687,687,9,UTTAR PRADESH,165,1,MAHOBA,MAHOBA,39,169,Q1815322
688,688,9,UTTAR PRADESH,166,1,MAINPURI,MAINPURI,18,148,Q1816657
689,689,9,UTTAR PRADESH,167,1,MATHURA,MATHURA,14,145,Q1773422
690,690,9,UTTAR PRADESH,168,1,MAU,MAU,62,192,Q1518847
691,691,9,UTTAR PRADESH,169,1,MEERUT,MEERUT,07,138,Q1764627
692,692,9,UTTAR PRADESH,170,1,MIRZAPUR,मिर्ज़ापुर,69,199,Q1143894
693,693,9,UTTAR PRADESH,171,2,MORADABAD,MORADABAD,04,135,Q1345006
694,694,9,UTTAR PRADESH,172,2,MUZAFFARNAGAR,MUZAFFARNAGAR,02,133,Q2365710
695,695,9,UTTAR PRADESH,173,1,PILIBHIT,PILIBHIT,21,151,Q2980705
696,696,9,UTTAR PRADESH,174,1,PRATAPGARH,PRATAPGARH,43,173,Q1473962
697,697,9,UTTAR PRADESH,120,2,PRAYAGRAJ,PRAYAGRAJ,45,175,Q1773426
698,698,9,UTTAR PRADESH,175,1,RAE BARELI,RAE BARELI,28,158,Q1321157
699,699,9,UTTAR PRADESH,176,1,RAMPUR,RAMPUR,05,136,Q1815331
700,700,9,UTTAR PRADESH,177,1,SAHARANPUR,SAHARANPUR,01,132,Q1797326
701,701,9,UTTAR PRADESH,659,2,SAMBHAL,SAMBHAL,,000,Q3000436
702,702,9,UTTAR PRADESH,178,1,SANT KABEER NAGAR,SANT KABEER NAGAR,56,186,Q1945445
703,703,9,UTTAR PRADESH,180,1,SHAHJAHANPUR,SHAHJAHANPUR,22,152,Q1812557
704,704,9,UTTAR PRADESH,660,2,SHAMLI,SHAMLI,,000,Q2999938
705,705,9,UTTAR PRADESH,181,1,SHRAVASTI,SHRAVASTI,51,181,Q1945458
706,706,9,UTTAR PRADESH,182,1,SIDDHARTH NAGAR,SIDDHARTH NAGAR,54,184,Q1815339
707,707,9,UTTAR PRADESH,183,1,SITAPUR,SITAPUR,24,154,Q1812539
708,708,9,UTTAR PRADESH,184,1,SONBHADRA,SONBHADRA,70,200,Q607798
709,709,9,UTTAR PRADESH,185,1,SULTANPUR,SULTANPUR,49,179,Q1356154
710,710,9,UTTAR PRADESH,186,1,UNNAO,UNNAO,26,156,Q1937875
711,711,9,UTTAR PRADESH,187,1,VARANASI,VARANASI,67,197,Q1321140
712,712,19,WEST BENGAL,303,1,24 PARAGANAS NORTH,24 PARAGANAS NORTH,11,337,Q338425
713,713,19,WEST BENGAL,304,1,24 PARAGANAS SOUTH,24 PARAGANAS SOUTH,18,343,Q2308319
714,714,19,WEST BENGAL,664,1,Alipurduar,,,000,Q4726845
715,715,19,WEST BENGAL,305,1,BANKURA,BANKURA,13,339,Q2088458
716,716,19,WEST BENGAL,307,1,BIRBHUM,BIRBHUM,08,334,Q2088440
717,717,19,WEST BENGAL,308,1,COOCHBEHAR,COOCHBEHAR,03,329,Q2728658
718,718,19,WEST BENGAL,309,2,DARJEELING,DARJEELING,01,327,Q1134759
719,719,19,WEST BENGAL,310,1,DINAJPUR DAKSHIN,DINAJPUR DAKSHIN,05,331,Q533839
720,720,19,WEST BENGAL,311,1,DINAJPUR UTTAR,DINAJPUR UTTAR,04,330,Q2019766
721,721,19,WEST BENGAL,312,2,HOOGHLY,HOOGHLY,12,338,Q548518
722,722,19,WEST BENGAL,313,1,HOWRAH,HOWRAH,16,341,Q1478937
723,723,19,WEST BENGAL,314,2,JALPAIGURI,JALPAIGURI,02,328,Q1351487
724,724,19,WEST BENGAL,703,2,Jhargram,Jhargram,,000,Q29168456
725,725,19,WEST BENGAL,702,1,KALIMPONG,KALIMPONG,,000,Q28769140
726,726,19,WEST BENGAL,315,1,KOLKATA,KOLKATA,17,342,Q2088496
727,727,19,WEST BENGAL,316,1,MALDAH,MALDAH,06,332,Q2049820
728,728,19,WEST BENGAL,317,1,MEDINIPUR EAST,MEDINIPUR EAST,15,345,Q1431920
729,729,19,WEST BENGAL,318,2,MEDINIPUR WEST,MEDINIPUR WEST,15,344,Q1855537
730,730,19,WEST BENGAL,319,1,MURSHIDABAD,MURSHIDABAD,07,333,Q1546240
731,731,19,WEST BENGAL,320,2,NADIA,NADIA,10,336,Q1143880
732,732,19,WEST BENGAL,704,1,PASCHIM BARDHAMAN,PASCHIM BARDHAMAN,,000,Q29215602
733,733,19,WEST BENGAL,306,3,PURBA BARDHAMAN,PURBA BARDHAMAN,09,335,Q29257278
734,734,19,WEST BENGAL,321,1,PURULIA,PURULIA,14,340,Q307474
735,557,33,TAMIL NADU,735,1,Mayiladuthurai,Mayiladuthurai,,000,Q89918869
736,,13,NAGALAND,,,Noklak,,,,Q48731903
737,,18,ASSAM,,,Bajali,,,,Q101088203
738,,29,KARNATAKA,,,Vijayanagara,,,,
