observationDate,observationAbout,value,variableMeasured
2018,wikidataId/Q108025,3576,dcid:Count_Person_50To59Years_Female
2019,wikidataId/Q108025,3616,dcid:Count_Person_50To59Years_Female
2020,wikidataId/Q108025,3673,dcid:Count_Person_50To59Years_Female
2021,wikidataId/Q108025,3780,dcid:Count_Person_50To59Years_Female
2022,wikidataId/Q108025,3878,dcid:Count_Person_50To59Years_Female
2023,wikidataId/Q108025,3968,dcid:Count_Person_50To59Years_Female
2024,wikidataId/Q108025,4027,dcid:Count_Person_50To59Years_Female
2025,wikidataId/Q108025,4055,dcid:Count_Person_50To59Years_Female
1986,wikidataId/Q108025,2693,dcid:Count_Person_60To69Years_Female
1987,wikidataId/Q108025,2679,dcid:Count_Person_60To69Years_Female
1988,wikidataId/Q108025,2635,dcid:Count_Person_60To69Years_Female
1989,wikidataId/Q108025,2580,dcid:Count_Person_60To69Years_Female
1990,wikidataId/Q108025,2522,dcid:Count_Person_60To69Years_Female
1991,wikidataId/Q108025,2497,dcid:Count_Person_60To69Years_Female
1992,wikidataId/Q108025,2453,dcid:Count_Person_60To69Years_Female
1993,wikidataId/Q108025,2364,dcid:Count_Person_60To69Years_Female
1994,wikidataId/Q108025,2289,dcid:Count_Person_60To69Years_Female
1995,wikidataId/Q108025,2244,dcid:Count_Person_60To69Years_Female
1996,wikidataId/Q108025,2217,dcid:Count_Person_60To69Years_Female
1997,wikidataId/Q108025,2205,dcid:Count_Person_60To69Years_Female
1998,wikidataId/Q108025,2205,dcid:Count_Person_60To69Years_Female
1999,wikidataId/Q108025,2208,dcid:Count_Person_60To69Years_Female
2000,wikidataId/Q108025,2199,dcid:Count_Person_60To69Years_Female
2001,wikidataId/Q108025,2175,dcid:Count_Person_60To69Years_Female
2002,wikidataId/Q108025,2187,dcid:Count_Person_60To69Years_Female
2003,wikidataId/Q108025,2229,dcid:Count_Person_60To69Years_Female
2004,wikidataId/Q108025,2328,dcid:Count_Person_60To69Years_Female
2005,wikidataId/Q108025,2479,dcid:Count_Person_60To69Years_Female
2006,wikidataId/Q108025,2614,dcid:Count_Person_60To69Years_Female
2007,wikidataId/Q108025,2755,dcid:Count_Person_60To69Years_Female
2008,wikidataId/Q108025,2863,dcid:Count_Person_60To69Years_Female
2009,wikidataId/Q108025,2965,dcid:Count_Person_60To69Years_Female
2010,wikidataId/Q108025,3067,dcid:Count_Person_60To69Years_Female
2011,wikidataId/Q108025,3141,dcid:Count_Person_60To69Years_Female
2012,wikidataId/Q108025,3195,dcid:Count_Person_60To69Years_Female
2013,wikidataId/Q108025,3244,dcid:Count_Person_60To69Years_Female
2014,wikidataId/Q108025,3289,dcid:Count_Person_60To69Years_Female
2015,wikidataId/Q108025,3246,dcid:Count_Person_60To69Years_Female
2016,wikidataId/Q108025,3170,dcid:Count_Person_60To69Years_Female
2017,wikidataId/Q108025,3147,dcid:Count_Person_60To69Years_Female
2018,wikidataId/Q108025,3175,dcid:Count_Person_60To69Years_Female
2019,wikidataId/Q108025,3174,dcid:Count_Person_60To69Years_Female
2020,wikidataId/Q108025,3201,dcid:Count_Person_60To69Years_Female
2021,wikidataId/Q108025,3210,dcid:Count_Person_60To69Years_Female
2022,wikidataId/Q108025,3286,dcid:Count_Person_60To69Years_Female
2023,wikidataId/Q108025,3351,dcid:Count_Person_60To69Years_Female
2024,wikidataId/Q108025,3392,dcid:Count_Person_60To69Years_Female
2025,wikidataId/Q108025,3454,dcid:Count_Person_60To69Years_Female
1986,wikidataId/Q108025,2143,dcid:Count_Person_70To79Years_Female
1987,wikidataId/Q108025,2160,dcid:Count_Person_70To79Years_Female
1988,wikidataId/Q108025,2172,dcid:Count_Person_70To79Years_Female
1989,wikidataId/Q108025,2206,dcid:Count_Person_70To79Years_Female
1990,wikidataId/Q108025,2225,dcid:Count_Person_70To79Years_Female
1991,wikidataId/Q108025,2273,dcid:Count_Person_70To79Years_Female
1992,wikidataId/Q108025,2299,dcid:Count_Person_70To79Years_Female
1993,wikidataId/Q108025,2289,dcid:Count_Person_70To79Years_Female
1994,wikidataId/Q108025,2270,dcid:Count_Person_70To79Years_Female
1995,wikidataId/Q108025,2251,dcid:Count_Person_70To79Years_Female
1996,wikidataId/Q108025,2220,dcid:Count_Person_70To79Years_Female
1997,wikidataId/Q108025,2207,dcid:Count_Person_70To79Years_Female
1998,wikidataId/Q108025,2189,dcid:Count_Person_70To79Years_Female
1999,wikidataId/Q108025,2167,dcid:Count_Person_70To79Years_Female
2000,wikidataId/Q108025,2124,dcid:Count_Person_70To79Years_Female
2001,wikidataId/Q108025,2125,dcid:Count_Person_70To79Years_Female
2002,wikidataId/Q108025,2107,dcid:Count_Person_70To79Years_Female
2003,wikidataId/Q108025,2037,dcid:Count_Person_70To79Years_Female
2004,wikidataId/Q108025,1962,dcid:Count_Person_70To79Years_Female
2005,wikidataId/Q108025,1935,dcid:Count_Person_70To79Years_Female
2006,wikidataId/Q108025,1908,dcid:Count_Person_70To79Years_Female
2007,wikidataId/Q108025,1917,dcid:Count_Person_70To79Years_Female
2008,wikidataId/Q108025,1933,dcid:Count_Person_70To79Years_Female
2009,wikidataId/Q108025,1960,dcid:Count_Person_70To79Years_Female
2010,wikidataId/Q108025,1952,dcid:Count_Person_70To79Years_Female
2011,wikidataId/Q108025,1898,dcid:Count_Person_70To79Years_Female
2012,wikidataId/Q108025,1913,dcid:Count_Person_70To79Years_Female
2013,wikidataId/Q108025,1974,dcid:Count_Person_70To79Years_Female
2014,wikidataId/Q108025,2060,dcid:Count_Person_70To79Years_Female
2015,wikidataId/Q108025,2167,dcid:Count_Person_70To79Years_Female
2016,wikidataId/Q108025,2314,dcid:Count_Person_70To79Years_Female
2017,wikidataId/Q108025,2440,dcid:Count_Person_70To79Years_Female
2018,wikidataId/Q108025,2529,dcid:Count_Person_70To79Years_Female
2019,wikidataId/Q108025,2629,dcid:Count_Person_70To79Years_Female
2020,wikidataId/Q108025,2729,dcid:Count_Person_70To79Years_Female
2021,wikidataId/Q108025,2818,dcid:Count_Person_70To79Years_Female
2022,wikidataId/Q108025,2852,dcid:Count_Person_70To79Years_Female
2023,wikidataId/Q108025,2892,dcid:Count_Person_70To79Years_Female
2024,wikidataId/Q108025,2959,dcid:Count_Person_70To79Years_Female
2025,wikidataId/Q108025,2942,dcid:Count_Person_70To79Years_Female
1986,wikidataId/Q108025,801,dcid:Count_Person_80To89Years_Female
1987,wikidataId/Q108025,859,dcid:Count_Person_80To89Years_Female
1988,wikidataId/Q108025,891,dcid:Count_Person_80To89Years_Female
1989,wikidataId/Q108025,941,dcid:Count_Person_80To89Years_Female
1990,wikidataId/Q108025,1019,dcid:Count_Person_80To89Years_Female
1991,wikidataId/Q108025,1028,dcid:Count_Person_80To89Years_Female
1992,wikidataId/Q108025,1078,dcid:Count_Person_80To89Years_Female
1993,wikidataId/Q108025,1144,dcid:Count_Person_80To89Years_Female
1994,wikidataId/Q108025,1171,dcid:Count_Person_80To89Years_Female
1995,wikidataId/Q108025,1170,dcid:Count_Person_80To89Years_Female
1996,wikidataId/Q108025,1158,dcid:Count_Person_80To89Years_Female
1997,wikidataId/Q108025,1174,dcid:Count_Person_80To89Years_Female
1998,wikidataId/Q108025,1178,dcid:Count_Person_80To89Years_Female
1999,wikidataId/Q108025,1216,dcid:Count_Person_80To89Years_Female
2000,wikidataId/Q108025,1267,dcid:Count_Person_80To89Years_Female
2001,wikidataId/Q108025,1306,dcid:Count_Person_80To89Years_Female
2002,wikidataId/Q108025,1318,dcid:Count_Person_80To89Years_Female
2003,wikidataId/Q108025,1364,dcid:Count_Person_80To89Years_Female
