,PubChem ID,ChEMBL ID
1459,36523,CHEMBL1981292
1460,,
1461,,
1462,,
1463,,
1464,,
1465,47725,CHEMBL2133738
1466,16130140,
1467,3510,CHEMBL289469
1468,,
1469,,
1470,44603531,CHEMBL2063090
1471,72474,CHEMBL583
1472,441140,CHEMBL562
1473,,
1474,3516,CHEMBL980
1475,5702063,CHEMBL420
1476,38521,CHEMBL1037
1477,3518,CHEMBL765
1478,3519,CHEMBL862
1479,3520,CHEMBL821
1480,,
1481,,
1482,,
1483,,
1484,,
1485,,
1486,31640,CHEMBL970
1487,48175,CHEMBL1876307
1488,37393,CHEMBL1107
1489,,
1490,3559,CHEMBL54
1491,3561,CHEMBL1289
1492,3562,CHEMBL931
1493,,
1494,,
1495,,
1496,,
1497,,
1498,,
1499,772,
1500,,
1501,,
1502,,
1503,,
1504,10518,CHEMBL468837
1505,5462328,CHEMBL459324
1506,72281,CHEMBL399121
1507,,
1508,443387,CHEMBL1201116
1509,3598,CHEMBL496
1510,9434,CHEMBL1200933
1511,3608,CHEMBL7728
1512,,
1513,,
1514,10770,CHEMBL1197
1515,,
1516,,
1517,,
1518,,
1519,,
1520,,
1521,,
1522,6646,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,3637,CHEMBL276832
1531,9954530,
1532,,
1533,,
1534,,
1535,3639,CHEMBL435
